 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    3    313.5274      3.6806    1.930668E+01
    4      2.9344      7.0537    2.323250E-01
    5     96.7178      9.7523    9.359080E+00
    6      1.9586     12.2340    2.239872E-01
    7     50.1489     14.6123    6.617390E+00
    8      1.4118     16.9335    2.111330E-01
    9     31.3171     19.2211    5.234427E+00
   10      1.0268     21.4886    1.896877E-01
   11     21.2406     23.7446    4.297626E+00
   12      0.7023     25.9950    1.544531E-01
   13     14.6767     28.2443    3.485991E+00
   14      0.5211     30.4957    1.329392E-01
   15     10.5399     32.7520    2.874301E+00
   16      0.4169     35.0155    1.210263E-01
   17      7.6986     37.2883    2.370357E+00
   18      0.3401     39.5724    1.106987E-01
   19      5.7614     41.8694    1.976636E+00
   20      0.2728     44.1813    9.839256E-02
   21      4.3658     46.5096    1.651453E+00
   22      0.2130     48.8562    8.431914E-02
   23      3.2849     51.2229    1.358170E+00
   24      0.1654     53.6116    7.129608E-02
   25      2.6059     56.0240    1.169128E+00
   26      0.1298     58.4625    6.051801E-02
   27      2.0759     60.9291    1.004392E+00
   28      0.1024     63.4261    5.134626E-02
   29      1.6977     65.9563    8.811442E-01
   30      0.0809     68.5223    4.341226E-02
   31      1.4285     71.1271    7.916894E-01
   32      0.0635     73.7743    3.630957E-02
   33      1.1775     76.4674    6.940164E-01
   34      0.0494     79.2106    2.998542E-02
   35      0.9909     82.0087    6.189025E-01
   36      0.0378     84.8669    2.427441E-02
   37      0.8618     87.7912    5.685934E-01
   38      0.0281     90.7887    1.903404E-02
   39      0.7622     93.8674    5.297001E-01
   40      0.0201     97.0367    1.432238E-02
   41      0.6742    100.3081    4.922672E-01
   42      0.0135    103.6949    1.009454E-02
   43      0.5536    107.2139    4.236911E-01
   44      0.0083    110.8857    6.498336E-03
   45      0.3941    114.7365    3.154873E-01
   46      0.0050    118.8006    4.090600E-03
   47      0.2673    123.1243    2.233863E-01
   48      0.0029    127.7725    2.474593E-03
   49      0.2058    132.8416    1.792316E-01
   50      0.0015    138.4863    1.332744E-03
   51      0.1701    144.9845    1.541259E-01
   52      0.0006    152.9454    5.542103E-04
   53      0.2071    164.4776    1.949386E-01
