 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    1    634.3791      3.8226    4.617403E+01
    2      0.8326      8.5577    1.010030E-01
    3    111.6516     12.7081    1.896229E+01
    4      0.4878     16.7272    1.065153E-01
    5     49.3843     20.7048    1.317981E+01
    6      0.3123     24.6753    9.850154E-02
    7     28.8894     28.6568    1.051375E+01
    8      0.2113     32.6616    8.715175E-02
    9     18.7314     36.6992    8.634785E+00
   10      0.1499     40.7785    7.637454E-02
   11     12.9564     44.9079    7.230026E+00
   12      0.1109     49.0963    6.726657E-02
   13      9.3136     53.3530    6.101113E+00
   14      0.0846     57.6885    5.952454E-02
   15      6.8749     62.1144    5.170777E+00
   16      0.0653     66.6443    5.228232E-02
   17      5.2609     71.2939    4.467410E+00
   18      0.0503     76.0819    4.515412E-02
   19      4.1286     81.0309    3.906566E+00
   20      0.0382     86.1689    3.799924E-02
   21      3.3742     91.5315    3.520197E+00
   22      0.0284     97.1647    3.100691E-02
   23      2.8630    103.1306    3.264727E+00
   24      0.0203    109.5164    2.413347E-02
   25      2.5965    116.4512    3.212819E+00
   26      0.0135    124.1422    1.735951E-02
   27      2.6628    132.9622    3.553276E+00
   28      0.0075    143.7300    1.037203E-02
   29      4.0942    159.2952    5.860690E+00
