 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    3    311.0483      3.6806    1.917377E+01
    4      3.0602      7.0537    2.425347E-01
    5     97.0833      9.7523    9.404135E+00
    6      1.9066     12.2340    2.182652E-01
    7     51.4636     14.6123    6.797873E+00
    8      1.3617     16.9335    2.038506E-01
    9     32.0079     19.2211    5.355406E+00
   10      0.9897     21.4886    1.830225E-01
   11     21.5429     23.7446    4.363286E+00
   12      0.6849     25.9950    1.507818E-01
   13     14.7569     28.2443    3.508654E+00
   14      0.5195     30.4957    1.326677E-01
   15     10.4855     32.7520    2.862414E+00
   16      0.4210     35.0155    1.223426E-01
   17      7.6161     37.2883    2.347374E+00
   18      0.3418     39.5724    1.113667E-01
   19      5.6714     41.8694    1.947765E+00
   20      0.2714     44.1813    9.798855E-02
   21      4.2835     46.5096    1.621993E+00
   22      0.2090     48.8562    8.282100E-02
   23      3.2441     51.2229    1.342684E+00
   24      0.1605     53.6116    6.925526E-02
   25      2.5629     56.0240    1.151022E+00
   26      0.1264     58.4625    5.899356E-02
   27      2.0129     60.9291    9.749145E-01
   28      0.1002     63.4261    5.029493E-02
   29      1.6210     65.9563    8.422028E-01
   30      0.0789     68.5223    4.238269E-02
   31      1.3569     71.1271    7.527834E-01
   32      0.0617     73.7743    3.531670E-02
   33      1.1212     76.4674    6.615148E-01
   34      0.0478     79.2106    2.904415E-02
   35      0.9451     82.0087    5.909051E-01
   36      0.0366     84.8669    2.352803E-02
   37      0.8247     87.7912    5.446768E-01
   38      0.0272     90.7887    1.844341E-02
   39      0.7404     93.8674    5.150805E-01
   40      0.0194     97.0367    1.383784E-02
   41      0.6716    100.3081    4.908744E-01
   42      0.0128    103.6949    9.580993E-03
   43      0.5411    107.2139    4.145514E-01
   44      0.0079    110.8857    6.191541E-03
   45      0.3658    114.7365    2.931344E-01
   46      0.0048    118.8006    3.931025E-03
   47      0.2530    123.1243    2.116537E-01
   48      0.0028    127.7725    2.391726E-03
   49      0.2058    132.8416    1.794164E-01
   50      0.0014    138.4863    1.245177E-03
   51      0.1676    144.9845    1.520173E-01
   52      0.0006    152.9454    5.547818E-04
   53      0.1882    164.4776    1.773312E-01
