 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   16     16.6062      9.0547    2.113017E+00
   17      0.8236     16.0770    1.111484E-01
   18      5.8987     21.1443    8.415439E-01
   19      0.4547     25.4591    6.837672E-02
   20      3.5419     29.3617    5.599366E-01
   21      0.2592     33.0049    4.297562E-02
   22      2.4226     36.4729    4.203518E-01
   23      0.1465     39.8177    2.654937E-02
   24      1.7255     43.0746    3.260091E-01
   25      0.0858     46.2687    1.687237E-02
   26      1.3812     49.4191    2.822612E-01
   27      0.0564     52.5407    1.196081E-02
   28      1.1517     55.6458    2.531238E-01
   29      0.0434     58.7449    9.873258E-03
   30      0.9155     61.8472    2.153312E-01
   31      0.0358     64.9613    8.696456E-03
   32      0.7465     68.0949    1.870949E-01
   33      0.0286     71.2559    7.388556E-03
   34      0.6595     74.4520    1.754618E-01
   35      0.0220     77.6911    6.022818E-03
   36      0.5175     80.9816    1.456639E-01
   37      0.0171     84.3326    4.945112E-03
   38      0.3778     87.7541    1.121686E-01
   39      0.0133     91.2575    4.051329E-03
   40      0.3134     94.8557    9.788198E-02
   41      0.0100     98.5640    3.200345E-03
   42      0.2827    102.4009    9.265385E-02
   43      0.0072    106.3888    2.415297E-03
   44      0.2521    110.5561    8.651304E-02
   45      0.0049    114.9396    1.719318E-03
   46      0.2084    119.5886    7.473076E-02
   47      0.0031    124.5721    1.135544E-03
   48      0.1690    129.9922    6.320875E-02
   49      0.0017    136.0126    6.489375E-04
   50      0.1747    142.9270    6.803510E-02
   51      0.0007    151.3795    2.780059E-04
   52      0.2775    163.6018    1.123495E-01
