 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   29      9.3990     11.2273    1.522045E+00
   30      0.1131     19.7998    1.893591E-02
   31      4.0109     25.8986    6.935475E-01
   32      0.0771     31.0273    1.375503E-02
   33      2.3574     35.6155    4.335128E-01
   34      0.0583     39.8583    1.104108E-02
   35      1.4366     43.8639    2.799549E-01
   36      0.0426     47.7002    8.535447E-03
   37      0.9892     51.4131    2.036288E-01
   38      0.0298     55.0362    6.297973E-03
   39      0.7908     58.5951    1.714698E-01
   40      0.0196     62.1100    4.357475E-03
   41      0.5693     65.5981    1.296920E-01
   42      0.0120     69.0740    2.799587E-03
   43      0.3466     72.5510    8.276403E-02
   44      0.0069     76.0416    1.685516E-03
   45      0.2377     79.5576    5.936963E-02
   46      0.0040     83.1112    1.021026E-03
   47      0.1775     86.7148    4.628239E-02
   48      0.0023     90.3818    6.123410E-04
   49      0.1057     94.1269    2.872129E-02
   50      0.0014     97.9669    3.880996E-04
   51      0.0578    101.9213    1.634026E-02
   52      0.0007    106.0137    2.017349E-04
   53      0.0395    110.2734    1.160045E-02
   54      0.0003    114.7378    8.975147E-05
   55      0.0248    119.4566    7.555591E-03
   56      0.0001    124.4992    3.101503E-05
   57      0.0109    129.9679    3.440473E-03
   58      0.0000    136.0260    0.000000E+00
   59      0.0041    142.9665    1.339136E-03
   60      0.0000    151.4314    0.000000E+00
   61      0.0027    163.6458    9.115126E-04
