 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   33      5.2187     13.7395    1.024828E+00
   34      0.0234     24.2790    4.732373E-03
   35      1.9402     31.7924    4.037558E-01
   36      0.0218     38.1301    4.664374E-03
   37      1.1246     43.8215    2.472141E-01
   38      0.0168     49.1084    3.791526E-03
   39      0.8250     54.1264    1.910271E-01
   40      0.0115     58.9619    2.730215E-03
   41      0.5881     63.6752    1.430682E-01
   42      0.0071     68.3122    1.768851E-03
   43      0.3635     72.9097    9.269102E-02
   44      0.0041     77.4994    1.069517E-03
   45      0.2492     82.1106    6.646659E-02
   46      0.0023     86.7718    6.269382E-04
   47      0.1896     91.5126    5.279295E-02
   48      0.0013     96.3652    3.695975E-04
   49      0.1182    101.3670    3.429783E-02
   50      0.0008    106.5637    2.368238E-04
   51      0.0663    112.0137    2.001542E-02
   52      0.0004    117.7967    1.231015E-04
   53      0.0473    124.0283    1.483402E-02
   54      0.0002    130.8916    6.389553E-05
   55      0.0353    138.7132    1.148449E-02
   56      0.0000    148.2076    0.000000E+00
   57      0.0270    161.8544    9.100716E-03
