 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   26      6.3390      9.7859    8.890553E-01
   27      0.1548     17.2525    2.253024E-02
   28      2.6403     22.5663    3.982541E-01
   29      0.1143     27.0338    1.784557E-02
   30      1.7745     31.0283    2.864429E-01
   31      0.0844     34.7185    1.407068E-02
   32      1.3665     38.1979    2.350472E-01
   33      0.0566     41.5246    1.003514E-02
   34      0.9837     44.7378    1.796156E-01
   35      0.0379     47.8656    7.120815E-03
   36      0.6637     50.9291    1.282115E-01
   37      0.0280     53.9448    5.557142E-03
   38      0.4733     56.9262    9.644049E-02
   39      0.0222     59.8845    4.641007E-03
   40      0.3881     62.8292    8.318803E-02
   41      0.0172     65.7690    3.777798E-03
   42      0.3309     68.7117    7.442997E-02
   43      0.0128     71.6647    2.946873E-03
   44      0.2331     74.6350    5.489900E-02
   45      0.0090     77.6297    2.167285E-03
   46      0.1470     80.6560    3.617699E-02
   47      0.0057     83.7210    1.432949E-03
   48      0.1216     86.8329    3.121314E-02
   49      0.0032     90.0000    8.383345E-04
   50      0.1044     93.2318    2.790320E-02
   51      0.0015     96.5390    4.088468E-04
   52      0.0636     99.9338    1.767171E-02
   53      0.0006    103.4307    1.698898E-04
   54      0.0285    107.0469    8.220600E-03
   55      0.0003    110.8037    8.812039E-05
   56      0.0128    114.7279    3.827547E-03
   57      0.0001    118.8539    3.043197E-05
   58      0.0061    123.2281    1.888634E-03
   59      0.0000    127.9154    0.000000E+00
   60      0.0023    133.0117    7.364536E-04
   61      0.0000    138.6707    0.000000E+00
   62      0.0006    145.1682    1.984693E-04
   63      0.0000    153.1086    0.000000E+00
   64      0.0002    164.5852    6.827345E-05
