# alpha	alpha^2	B*sin(alpha)
0.000000	0.000000	0.000000
0.100000	0.010000	5.082358
0.200000	0.040000	10.072414
0.300000	0.090000	14.880099
0.400000	0.160000	19.419749
0.500000	0.250000	23.612164
0.600000	0.360000	27.386496
0.700000	0.490000	30.681923
0.800000	0.640000	33.449057
0.900000	0.810000	35.651056
1.000000	1.000000	37.264415
1.100000	1.210000	38.279404
1.200000	1.440000	38.700157
1.300000	1.690000	38.544406
1.400000	1.960000	37.842864
1.500000	2.250000	36.638283
1.600000	2.560000	34.984213
1.700000	2.890000	32.943489
1.800000	3.240000	30.586498
1.900000	3.610000	27.989271
2.000000	4.000000	25.231443
2.100000	4.410000	22.394155
2.200000	4.840000	19.557930
2.300000	5.290000	16.800607
2.400000	5.760000	14.195364
2.500000	6.250000	11.808898
2.600000	6.760000	9.699797
2.700000	7.290000	7.917162
2.800000	7.840000	6.499495
2.900000	8.410000	5.473892
3.000000	9.000000	4.855559
3.100000	9.610000	4.647655
3.200000	10.240000	4.841467
3.300000	10.890000	5.416903
3.400000	11.560000	6.343295
3.500000	12.250000	7.580478
3.600000	12.960000	9.080111
3.700000	13.690000	10.787211
3.800000	14.440000	12.641838
3.900000	15.210000	14.580905
4.000000	16.000000	16.540034
4.100000	16.810000	18.455430
4.200000	17.640000	20.265708
4.300000	18.490000	21.913618
4.400000	19.360000	23.347638
4.500000	20.250000	24.523372
4.600000	21.160000	25.404728
4.700000	22.090000	25.964843
4.800000	23.040000	26.186731
4.900000	24.010000	26.063639
5.000000	25.000000	25.599099
5.100000	26.010000	24.806695
5.200000	27.040000	23.709531
5.300000	28.090000	22.339437
5.400000	29.160000	20.735934
5.500000	30.250000	18.944986
5.600000	31.360000	17.017577
5.700000	32.490000	15.008170
5.800000	33.640000	12.973068
5.900000	34.810000	10.968753
6.000000	36.000000	9.050227
6.100000	37.210000	7.269425
6.200000	38.440000	5.673720
6.300000	39.690000	4.304590
6.400000	40.960000	3.196463
6.500000	42.250000	2.375778
6.600000	43.560000	1.860294
6.700000	44.890000	1.658651
6.800000	46.240000	1.770207
6.900000	47.610000	2.185150
7.000000	49.000000	2.884866
7.100000	50.410000	3.842570
7.200000	51.840000	5.024170
7.300000	53.290000	6.389329
7.400000	54.760000	7.892711
7.500000	56.250000	9.485351
7.600000	57.760000	11.116131
7.700000	59.290000	12.733297
7.800000	60.840000	14.285984
7.900000	62.410000	15.725711
8.000000	64.000000	17.007777
8.100000	65.610000	18.092552
8.200000	67.240000	18.946601
8.300000	68.890000	19.543613
8.400000	70.560000	19.865125
8.500000	72.250000	19.901001
8.600000	73.960000	19.649666
8.700000	75.690000	19.118089
8.800000	77.440000	18.321513
8.900000	79.210000	17.282942
9.000000	81.000000	16.032409
9.100000	82.810000	14.606041
9.200000	84.640000	13.044947
9.300000	86.490000	11.393976
9.400000	88.360000	9.700364
9.500000	90.250000	8.012331
9.600000	92.160000	6.377648
9.700000	94.090000	4.842236
9.800000	96.040000	3.448820
9.900000	98.010000	2.235696
10.000000	100.000000	1.235627
10.100000	102.010000	0.474915
10.200000	104.040000	-0.027334
10.300000	106.090000	-0.259728
10.400000	108.160000	-0.218874
10.500000	110.250000	0.090570
10.600000	112.360000	0.656080
10.700000	114.490000	1.457687
10.800000	116.640000	2.468609
10.900000	118.810000	3.656081
11.000000	121.000000	4.982357
11.100000	123.210000	6.405851
11.200000	125.440000	7.882388
11.300000	127.690000	9.366517
11.400000	129.960000	10.812860
11.500000	132.250000	12.177450
11.600000	134.560000	13.419014
11.700000	136.890000	14.500178
11.800000	139.240000	15.388544
11.900000	141.610000	16.057613
12.000000	144.000000	16.487538
12.100000	146.410000	16.665666
12.200000	148.840000	16.586871
12.300000	151.290000	16.253660
12.400000	153.760000	15.676062
12.500000	156.250000	14.871281
