# alpha	alpha^2	B*sin(alpha)
0.000000	0.000000	0.000000
0.100000	0.010000	0.043166
0.200000	0.040000	0.086278
0.300000	0.090000	0.129281
0.400000	0.160000	0.172120
0.500000	0.250000	0.214742
0.600000	0.360000	0.257093
0.700000	0.490000	0.299120
0.800000	0.640000	0.340772
0.900000	0.810000	0.381995
1.000000	1.000000	0.422740
1.100000	1.210000	0.462956
1.200000	1.440000	0.502595
1.300000	1.690000	0.541609
1.400000	1.960000	0.579951
1.500000	2.250000	0.617577
1.600000	2.560000	0.654443
1.700000	2.890000	0.690506
1.800000	3.240000	0.725726
1.900000	3.610000	0.760064
2.000000	4.000000	0.793482
2.100000	4.410000	0.825944
2.200000	4.840000	0.857418
2.300000	5.290000	0.887871
2.400000	5.760000	0.917273
2.500000	6.250000	0.945596
2.600000	6.760000	0.972815
2.700000	7.290000	0.998906
2.800000	7.840000	1.023848
2.900000	8.410000	1.047620
3.000000	9.000000	1.070207
3.100000	9.610000	1.091593
3.200000	10.240000	1.111765
3.300000	10.890000	1.130714
3.400000	11.560000	1.148431
3.500000	12.250000	1.164910
3.600000	12.960000	1.180148
3.700000	13.690000	1.194144
3.800000	14.440000	1.206898
3.900000	15.210000	1.218415
4.000000	16.000000	1.228700
4.100000	16.810000	1.237760
4.200000	17.640000	1.245607
4.300000	18.490000	1.252251
4.400000	19.360000	1.257707
4.500000	20.250000	1.261992
4.600000	21.160000	1.265124
4.700000	22.090000	1.267124
4.800000	23.040000	1.268014
4.900000	24.010000	1.267818
5.000000	25.000000	1.266562
5.100000	26.010000	1.264275
5.200000	27.040000	1.260984
5.300000	28.090000	1.256723
5.400000	29.160000	1.251523
5.500000	30.250000	1.245418
5.600000	31.360000	1.238445
5.700000	32.490000	1.230638
5.800000	33.640000	1.222038
5.900000	34.810000	1.212681
6.000000	36.000000	1.202609
6.100000	37.210000	1.191863
6.200000	38.440000	1.180484
6.300000	39.690000	1.168515
6.400000	40.960000	1.155999
6.500000	42.250000	1.142980
6.600000	43.560000	1.129501
6.700000	44.890000	1.115608
6.800000	46.240000	1.101345
6.900000	47.610000	1.086757
7.000000	49.000000	1.071888
7.100000	50.410000	1.056785
7.200000	51.840000	1.041491
7.300000	53.290000	1.026050
7.400000	54.760000	1.010508
7.500000	56.250000	0.994907
7.600000	57.760000	0.979291
7.700000	59.290000	0.963703
7.800000	60.840000	0.948183
7.900000	62.410000	0.932774
