# alpha	alpha^2	B*sin(alpha)
21.100000	445.210000	23.652364
21.200000	449.440000	23.738333
21.300000	453.690000	23.825544
21.400000	457.960000	23.913507
21.500000	462.250000	24.001731
21.600000	466.560000	24.089719
21.700000	470.890000	24.176979
21.800000	475.240000	24.263018
21.900000	479.610000	24.347347
22.000000	484.000000	24.429484
22.100000	488.410000	24.508954
22.200000	492.840000	24.585293
22.300000	497.290000	24.658047
22.400000	501.760000	24.726776
22.500000	506.250000	24.791055
22.600000	510.760000	24.850477
22.700000	515.290000	24.904652
22.800000	519.840000	24.953210
22.900000	524.410000	24.995803
23.000000	529.000000	25.032106
23.100000	533.610000	25.061816
23.200000	538.240000	25.084658
23.300000	542.890000	25.100381
23.400000	547.560000	25.108762
23.500000	552.250000	25.109606
23.600000	556.960000	25.102746
23.700000	561.690000	25.088046
23.800000	566.440000	25.065399
23.900000	571.210000	25.034728
24.000000	576.000000	24.995988
24.100000	580.810000	24.949162
24.200000	585.640000	24.894267
24.300000	590.490000	24.831349
24.400000	595.360000	24.760485
24.500000	600.250000	24.681782
24.600000	605.160000	24.595377
24.700000	610.090000	24.501436
24.800000	615.040000	24.400155
24.900000	620.010000	24.291757
25.000000	625.000000	24.176491
25.100000	630.010000	24.054633
25.200000	635.040000	23.926485
25.300000	640.090000	23.792371
25.400000	645.160000	23.652640
25.500000	650.250000	23.507659
25.600000	655.360000	23.357817
25.700000	660.490000	23.203523
25.800000	665.640000	23.045199
25.900000	670.810000	22.883285
26.000000	676.000000	22.718235
26.100000	681.210000	22.550512
26.200000	686.440000	22.380592
26.300000	691.690000	22.208958
26.400000	696.960000	22.036101
26.500000	702.250000	21.862513
26.600000	707.560000	21.688693
26.700000	712.890000	21.515139
26.800000	718.240000	21.342349
26.900000	723.610000	21.170817
27.000000	729.000000	21.001032
27.100000	734.410000	20.833480
27.200000	739.840000	20.668635
27.300000	745.290000	20.506962
27.400000	750.760000	20.348915
27.500000	756.250000	20.194935
27.600000	761.760000	20.045446
27.700000	767.290000	19.900858
27.800000	772.840000	19.761561
27.900000	778.410000	19.627927
28.000000	784.000000	19.500305
