#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 18 85.255400 51.726626 2675.643807 84.876131 nan nan 0 0 0
2 19 81.620263 51.814267 2684.718289 81.407999 nan nan 0 0 0
3 20 78.136934 51.441811 2646.259899 78.094173 nan nan 0 0 0
4 21 74.876524 50.983769 2599.344663 74.993035 nan nan 0 0 0
5 22 71.856725 50.476191 2547.845881 72.118123 nan nan 0 0 0
6 23 68.846270 49.821349 2482.166820 69.292442 nan nan 0 0 0
7 24 66.230333 49.320333 2432.495219 66.788270 nan nan 0 0 0
8 25 63.736882 48.709097 2372.576114 64.419634 nan nan 0 0 0
9 26 61.284043 47.984238 2302.487057 62.113216 nan nan 0 0 0
10 27 59.110498 47.400322 2246.790543 60.034171 nan nan 0 0 0
11 28 57.077903 46.870006 2196.797450 58.078780 nan nan 0 0 0
12 29 55.392141 46.398813 2152.849862 56.423664 nan nan 0 0 0
13 30 53.050528 45.255886 2048.095196 54.312365 nan nan 0 0 0
14 31 49.636915 42.727997 1825.681719 51.436969 nan nan 0 0 0
15 32 45.626477 39.582069 1566.740183 48.017725 nan nan 0 0 0
16 33 42.577108 37.104982 1376.779700 45.306960 nan nan 0 0 0
17 34 39.155731 34.267057 1174.231178 42.231790 nan nan 0 0 0
18 35 36.893889 31.772819 1009.512038 40.115997 nan nan 0 0 0
19 36 34.471248 29.313762 859.296640 37.767725 nan nan 0 0 0
20 37 31.965136 27.332383 747.059168 35.457754 nan nan 0 0 0
21 38 30.283905 25.129170 631.475186 33.710856 nan nan 0 0 0
22 39 28.128184 23.134027 535.183202 31.506412 nan nan 0 0 0
23 40 27.379850 21.798267 475.164447 30.619060 nan nan 0 0 0
24 41 26.198402 20.706634 428.764691 29.369874 nan nan 0 0 0
25 42 25.615653 19.835240 393.436730 28.672889 nan nan 0 0 0
26 43 23.967015 18.482100 341.588038 26.928859 nan nan 0 0 0
27 44 23.324714 18.047474 325.711329 26.275254 nan nan 0 0 0
28 45 23.020915 16.916362 286.163316 25.731255 nan nan 0 0 0
29 46 22.647830 16.318032 266.278157 25.258889 nan nan 0 0 0
30 47 21.582208 16.038246 257.225344 24.259228 nan nan 0 0 0
31 48 21.374898 16.316877 266.240466 24.093842 nan nan 0 0 0
32 49 22.034276 15.103755 228.123413 24.358172 nan nan 0 0 0
33 50 21.303193 14.690313 215.805307 23.609378 nan nan 0 0 0
