#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 13 81.302316 51.358533 2637.698959 81.111548 nan nan 0 0 0
2 14 75.478781 51.084131 2609.588397 75.792220 nan nan 0 0 0
3 15 71.479648 50.799834 2580.623174 71.935746 nan nan 0 0 0
4 16 67.905930 50.281174 2528.196466 68.486766 nan nan 0 0 0
5 17 65.325062 50.086824 2508.689949 65.851948 nan nan 0 0 0
6 18 63.093284 49.850701 2485.092412 63.560285 nan nan 0 0 0
7 19 60.732970 49.325544 2433.009327 61.236487 nan nan 0 0 0
8 20 59.012419 49.140863 2414.824422 59.419262 nan nan 0 0 0
9 21 57.282635 48.782254 2379.708329 57.653884 nan nan 0 0 0
10 22 55.150406 47.998797 2303.884490 55.635241 nan nan 0 0 0
11 23 53.427171 47.484447 2254.772663 53.923270 nan nan 0 0 0
12 24 51.743997 46.857869 2195.659907 52.281305 nan nan 0 0 0
13 25 48.794286 44.884049 2014.577840 49.759295 nan nan 0 0 0
14 26 45.749015 42.816327 1833.237837 47.115627 nan nan 0 0 0
15 27 43.770085 41.600272 1730.582602 45.258540 nan nan 0 0 0
16 28 41.775352 40.441374 1635.504699 43.381891 nan nan 0 0 0
17 29 39.962964 39.112476 1529.785817 41.704401 nan nan 0 0 0
18 30 36.882405 36.736639 1349.580621 38.959441 nan nan 0 0 0
19 31 35.041650 35.191264 1238.425036 37.290981 nan nan 0 0 0
20 32 32.929716 33.333292 1111.108374 35.256901 nan nan 0 0 0
21 33 30.827151 31.336111 981.951822 33.369877 nan nan 0 0 0
22 34 28.532325 28.068938 787.865266 31.174737 nan nan 0 0 0
23 35 26.344023 25.812459 666.283049 29.122861 nan nan 0 0 0
24 36 25.704985 24.053467 578.569274 28.405207 nan nan 0 0 0
25 37 24.296690 22.470747 504.934454 26.983208 nan nan 0 0 0
26 38 23.622666 21.153302 447.462190 26.223572 nan nan 0 0 0
27 39 22.451472 19.972545 398.902541 24.993580 nan nan 0 0 0
28 40 22.374029 19.226956 369.675822 24.837875 nan nan 0 0 0
29 41 21.485584 18.079781 326.878482 23.826699 nan nan 0 0 0
30 42 20.795153 17.781745 316.190457 23.158663 nan nan 0 0 0
31 43 20.506101 17.167817 294.733946 22.793754 nan nan 0 0 0
32 44 20.753951 16.634142 276.694665 22.915582 nan nan 0 0 0
33 45 19.946086 16.255582 264.243959 22.140734 nan nan 0 0 0
34 46 18.694393 16.271861 264.773456 21.019990 nan nan 0 0 0
35 47 18.764680 15.119300 228.593231 20.834905 nan nan 0 0 0
36 48 17.889705 14.754100 217.683454 19.947277 nan nan 0 0 0
37 49 19.059884 14.988194 224.645958 21.047843 nan nan 0 0 0
38 50 18.699595 14.626811 213.943612 20.592462 nan nan 0 0 0
