#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 33 87.882665 51.822885 2685.611448 87.596761 nan nan 0 0 0
2 34 84.641203 51.635821 2666.257992 84.647991 nan nan 0 0 0
3 35 78.201244 50.262935 2526.362671 79.184828 nan nan 0 0 0
4 36 72.639041 49.567845 2456.971278 74.351272 nan nan 0 0 0
5 37 70.908557 49.590955 2459.262849 72.628183 nan nan 0 0 0
6 38 68.378708 49.425635 2442.893422 70.341008 nan nan 0 0 0
7 39 64.685143 47.565367 2262.464149 67.129978 nan nan 0 0 0
8 40 56.630725 44.090489 1943.971201 60.253277 nan nan 0 0 0
9 41 55.334565 44.020247 1937.782121 58.980633 nan nan 0 0 0
10 42 49.137741 41.180402 1695.825513 53.564373 nan nan 0 0 0
11 43 47.283006 38.490905 1481.549730 51.971179 nan nan 0 0 0
12 44 43.244251 33.204792 1102.558237 48.022175 nan nan 0 0 0
13 45 37.992945 30.166163 909.997370 43.160937 nan nan 0 0 0
14 46 36.395733 27.046024 731.487401 41.259309 nan nan 0 0 0
15 47 33.165220 25.086311 629.322994 38.101334 nan nan 0 0 0
16 48 34.983944 25.225289 636.315219 39.755932 nan nan 0 0 0
17 49 29.814867 21.180741 448.623803 34.290984 nan nan 0 0 0
18 50 28.466053 20.593471 424.091065 32.941671 nan nan 0 0 0
