#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 37 82.829062 51.412045 2643.198358 83.367128 nan nan 0 0 0
2 38 79.442452 51.617908 2664.408377 80.516369 nan nan 0 0 0
3 39 76.978708 51.756323 2678.717006 78.315351 nan nan 0 0 0
4 40 71.236006 50.673012 2567.754189 73.499744 nan nan 0 0 0
5 41 69.448850 49.560380 2456.231285 71.862399 nan nan 0 0 0
6 42 63.702422 47.547062 2260.723085 66.944098 nan nan 0 0 0
7 43 62.930293 46.306043 2144.249582 66.012038 nan nan 0 0 0
8 44 55.043404 42.433412 1800.594473 59.167450 nan nan 0 0 0
9 45 50.166134 39.786958 1583.002025 55.038313 nan nan 0 0 0
10 46 44.307585 33.974482 1154.265399 49.463241 nan nan 0 0 0
11 47 40.120153 30.926646 956.457459 45.602687 nan nan 0 0 0
12 48 41.011827 29.018612 842.079818 46.112161 nan nan 0 0 0
13 49 33.545967 23.279970 541.956996 38.336811 nan nan 0 0 0
14 50 32.634290 22.564509 509.157077 37.387344 nan nan 0 0 0
