#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 39 85.382570 51.677202 2670.533208 85.564702 nan nan 0 0 0
2 40 81.781089 51.879540 2691.486684 82.466782 nan nan 0 0 0
3 41 79.417105 51.436670 2645.731059 80.348853 nan nan 0 0 0
4 42 73.378072 50.148065 2514.828374 75.279241 nan nan 0 0 0
5 43 69.448091 47.710694 2276.310367 71.886335 nan nan 0 0 0
6 44 61.543397 45.324187 2054.281971 65.064771 nan nan 0 0 0
7 45 60.147836 45.393670 2060.585250 63.742404 nan nan 0 0 0
8 46 50.915913 39.274759 1542.506703 55.716756 nan nan 0 0 0
9 47 45.903103 35.135050 1234.471705 51.317979 nan nan 0 0 0
10 48 45.007993 31.915254 1018.583445 50.169330 nan nan 0 0 0
11 49 35.086088 24.962181 623.110460 40.185260 nan nan 0 0 0
12 50 34.470908 23.769953 565.010668 39.417266 nan nan 0 0 0
