#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 23 86.825642 51.798670 2683.102217 86.744497 44.977766 2022.999467 0.081145 6.8209 660.103
2 24 84.416876 52.045675 2708.752296 84.424565 47.332222 2240.339225 -0.007689 4.71345 468.413
3 25 83.026096 52.173618 2722.086417 83.041603 48.598134 2361.778617 -0.015507 3.57548 360.308
4 26 80.971925 51.923436 2696.043203 81.021348 49.064993 2407.373507 -0.049423 2.85844 288.67
5 27 78.092940 51.277063 2629.337143 78.195266 48.922893 2393.449440 -0.102326 2.35417 235.888
6 28 76.025758 51.054963 2606.609246 76.140787 49.044581 2405.370879 -0.115029 2.01038 201.238
7 29 73.751214 50.666809 2567.125583 73.885544 48.924946 2393.650358 -0.13433 1.74186 173.475
8 30 68.734427 48.607223 2362.662115 68.957564 47.139698 2222.151112 -0.223137 1.46752 140.511
9 31 64.323604 46.520370 2164.144871 64.595887 45.256838 2048.181420 -0.272283 1.26353 115.963
10 32 60.704315 45.370031 2058.439670 60.994579 44.234190 1956.663564 -0.290264 1.13584 101.776
11 33 58.072122 44.178673 1951.755115 58.363656 43.158818 1862.683559 -0.291534 1.01986 89.0716
12 34 53.749779 42.925249 1842.576999 54.067637 41.994027 1763.498269 -0.317858 0.931222 79.0787
13 35 51.434427 41.374889 1711.881403 51.758101 40.540876 1643.562639 -0.323674 0.834013 68.3188
14 36 46.351805 39.111181 1529.684454 46.703574 38.354117 1471.038278 -0.351769 0.757064 58.6462
15 37 45.602913 38.681130 1496.229814 45.940320 37.967643 1441.541894 -0.337407 0.713487 54.6879
16 38 41.173104 34.631890 1199.367771 41.512715 34.032592 1158.217333 -0.339611 0.599298 41.1504
17 39 37.740244 31.650108 1001.729331 38.116677 31.102129 967.342439 -0.376433 0.547979 34.3869
18 40 34.888040 28.195720 794.998630 35.246672 27.706323 767.640338 -0.358632 0.489397 27.3583
19 41 31.878957 25.789047 665.074949 32.249009 25.303153 640.249530 -0.370052 0.485894 24.8254
20 42 31.395963 23.174646 537.064207 31.712442 22.724705 516.412202 -0.316479 0.449941 20.652
21 43 29.715223 22.091354 488.027942 30.029916 21.652814 468.844353 -0.314693 0.43854 19.1836
22 44 30.136524 22.014506 484.638464 30.429265 21.599478 466.537447 -0.292741 0.415028 18.101
23 45 27.876403 20.684508 427.848858 28.176449 20.266457 410.729269 -0.300046 0.418051 17.1196
24 46 27.988196 20.116441 404.671206 28.270824 19.709737 388.473740 -0.282628 0.406704 16.1975
25 47 25.882489 18.571980 344.918424 26.167638 18.162419 329.873477 -0.285149 0.409561 15.0449
26 48 25.587314 19.370637 375.221588 25.876939 18.974080 360.015720 -0.289625 0.396557 15.2059
27 49 24.725847 17.580722 309.081785 24.991144 17.196499 295.719579 -0.265297 0.384223 13.3622
28 50 23.796349 17.083454 291.844408 24.056870 16.709251 279.199069 -0.260521 0.374203 12.6453
