#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 5 71.211357 49.747559 2474.819665 71.021514 43.370515 1881.001565 0.189843 6.37704 593.818
2 6 59.976699 47.390968 2245.903884 60.280449 43.312877 1876.005303 -0.30375 4.07809 369.899
3 7 51.588232 44.537239 1983.565670 52.053078 41.683284 1737.496130 -0.464846 2.85395 246.07
4 8 45.108760 41.774617 1745.118650 45.621490 39.648477 1572.001743 -0.51273 2.12614 173.117
5 9 40.051342 39.314651 1545.641820 40.564844 37.655312 1417.922552 -0.513502 1.65934 127.719
6 10 36.106900 37.279410 1389.754389 36.600015 35.934923 1291.318690 -0.493115 1.34449 98.4357
7 11 33.121093 35.847710 1285.058324 33.582670 34.719408 1205.437259 -0.461577 1.1283 79.6211
8 12 30.698129 34.659721 1201.296251 31.128789 33.694036 1135.288033 -0.43066 0.965685 66.0082
9 13 28.831646 33.914606 1150.200482 29.229985 33.067198 1093.439574 -0.398339 0.847408 56.7609
10 14 27.332616 33.407623 1116.069276 27.701315 32.653212 1066.232255 -0.368699 0.754411 49.837
11 15 25.988683 32.842381 1078.621971 26.333004 32.168600 1034.818856 -0.344321 0.673781 43.8031
12 16 24.951072 32.598671 1062.673355 25.271205 31.985149 1023.049746 -0.320133 0.613522 39.6236
13 17 23.986526 32.254181 1040.332213 24.286519 31.696136 1004.645043 -0.299993 0.558045 35.6872
14 18 22.938640 31.545974 995.148494 23.224142 31.044266 963.746441 -0.285502 0.501708 31.4021
15 19 22.010064 30.933414 956.876091 22.281249 30.475984 928.785572 -0.271185 0.45743 28.0905
16 20 21.203342 30.438949 926.529607 21.460353 30.017055 901.023591 -0.257011 0.421894 25.506
17 21 20.042879 28.991461 840.504809 20.294037 28.623406 819.299384 -0.251158 0.368055 21.2054
18 22 18.801799 27.208298 740.291499 19.047183 26.887282 722.925917 -0.245384 0.321016 17.3656
19 23 17.841727 25.987415 675.345748 18.078097 25.692973 660.128837 -0.23637 0.294442 15.2169
20 24 16.962879 24.821598 616.111722 17.190061 24.551994 602.800429 -0.227182 0.269604 13.3113
21 25 16.183587 23.865204 569.547962 16.402461 23.614384 557.639137 -0.218874 0.25082 11.9088
22 26 15.403860 22.703669 515.456589 15.614105 22.474571 505.106328 -0.210245 0.229098 10.3503
23 27 14.651385 21.609170 466.956230 14.855692 21.399521 457.939487 -0.204307 0.209649 9.01674
24 28 14.107419 20.762411 431.077707 14.301326 20.564141 422.883912 -0.193907 0.19827 8.19379
25 29 13.397428 19.557659 382.502012 13.584523 19.379021 375.546459 -0.187095 0.178638 6.95555
26 30 12.818375 17.936106 321.703910 12.997355 17.779403 316.107177 -0.17898 0.156703 5.59673
27 31 12.128723 16.533745 273.364710 12.300612 16.390789 268.657961 -0.171889 0.142956 4.70675
28 32 11.864267 15.642974 244.702635 12.029399 15.505225 240.412012 -0.165132 0.137749 4.29062
29 33 11.405834 14.684824 215.644045 11.562127 14.552195 211.766374 -0.156293 0.132629 3.87767
30 34 11.077206 14.116339 199.271016 11.229344 13.987924 195.662013 -0.152138 0.128415 3.609
31 35 10.787254 13.454298 181.018125 10.931013 13.332700 177.760892 -0.143759 0.121598 3.25723
32 36 10.696082 13.106090 171.769601 10.833712 12.985434 168.621508 -0.13763 0.120656 3.14809
33 37 10.415781 12.539247 157.232723 10.546938 12.422856 154.327362 -0.131157 0.116391 2.90536
34 38 10.363762 12.420959 154.280225 10.490425 12.309049 151.512700 -0.126663 0.11191 2.76753
35 39 10.297077 12.069098 145.663135 10.416345 11.960962 143.064611 -0.119268 0.108136 2.59852
36 40 10.023060 11.739436 137.814361 10.138529 11.636070 135.398120 -0.115469 0.103366 2.41624
37 41 9.768904 11.382007 129.550093 9.880407 11.281749 127.277869 -0.111503 0.100258 2.27222
38 42 10.024158 11.511842 132.522498 10.129162 11.416421 130.334675 -0.105004 0.095421 2.18782
39 43 9.955182 11.297122 127.624955 10.054998 11.205897 125.572125 -0.099816 0.091225 2.05283
40 44 9.966672 11.244428 126.437172 10.058190 11.159995 124.545492 -0.091518 0.084433 1.89168
41 45 9.981406 11.189941 125.214772 10.071890 11.105830 123.339461 -0.090484 0.084111 1.87531
42 46 9.521167 10.816564 116.998052 9.609835 10.736195 115.265894 -0.088668 0.080369 1.73216
43 47 9.673868 10.627018 112.933508 9.757779 10.548504 111.270942 -0.083911 0.078514 1.66257
44 48 9.924199 10.885147 118.486416 10.002348 10.811214 116.882338 -0.078149 0.073933 1.60408
45 49 10.437716 11.005951 121.130958 10.511163 10.931940 119.507307 -0.073447 0.074011 1.62365
46 50 10.130408 10.400846 108.177595 10.197509 10.330626 106.721832 -0.067101 0.07022 1.45576
