#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 41 85.312880 51.668609 2669.645182 85.431682 44.837294 2010.382906 -0.118802 6.83131 659.262
2 42 80.973538 51.876117 2691.131470 81.280674 47.149737 2223.097667 -0.307136 4.72638 468.034
3 43 78.703727 50.666301 2567.074068 79.024033 47.132868 2221.507269 -0.320306 3.53343 345.567
4 44 68.905602 47.389552 2245.769648 69.508865 44.647225 1993.374664 -0.603263 2.74233 252.395
5 45 68.468856 48.718908 2373.532008 68.957409 46.378283 2150.945093 -0.488553 2.34062 222.587
6 46 58.856336 45.350795 2056.694631 59.554842 43.398494 1883.429306 -0.698506 1.9523 173.265
7 47 54.373682 40.300314 1624.115270 55.124576 38.728912 1499.928641 -0.750894 1.5714 124.187
8 48 49.586358 34.428147 1185.297280 50.323910 33.098105 1095.484556 -0.737552 1.33004 89.8127
9 49 37.021260 27.050976 731.755316 37.925847 25.668019 658.847217 -0.904587 1.38296 72.9081
10 50 36.117145 25.088954 629.455616 36.926048 23.813077 567.062635 -0.808903 1.27588 62.393
