j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
01 36 18.5 6.8041 44.2041 37.399999999999999 0.83122265856808175 8.312227E-01 17.8403
02 37 19.5 10.6616 34.1616 23.500000000000000 0.81728188596047824 8.172819E-01 16.9483
03 38 20.5 11.3761 28.6761 17.300000000000001 0.81564797975595249 8.156480E-01 16.1413
04 39 21.5 11.3658 25.0658 13.700000000000001 0.79793947943521737 7.979395E-01 15.4076
05 40 22.5 10.9503 22.4503 11.500000000000002 0.82977299934818816 8.297730E-01 14.7377
06 41 23.5 10.6393 20.4393 9.8000000000000007 0.78101763777998667 7.810176E-01 14.1236
07 42 24.5 10.3292 18.8292 8.5000000000000000 0.79918913037735029 7.991891E-01 13.5587
08 43 25.5 9.9015 17.5015 7.6000000000000005 0.79169637749354727 7.916964E-01 13.0372
09 44 26.5 9.4819 16.3819 6.9000000000000004 0.91389377102119185 9.138938E-01 12.5543
10 45 27.5 8.8209 15.4209 6.6000000000000005 0.79209516005361302 7.920952E-01 12.1059
11 46 28.5 8.4844 14.5844 6.1000000000000005 0.77391185606817481 7.739119E-01 11.6885
12 47 29.5 8.1475 13.8475 5.7000000000000011 1.0296319639946430 1.029632E+00 11.2989
13 48 30.5 7.9922 13.1922 5.2000000000000011 1.0719936034645317 1.071994E+00 10.9344
14 49 31.5 7.6044 12.6044 5.0000000000000009 0.94154710895093319 9.415471E-01 10.5927
15 50 32.5 7.3734 12.0734 4.7000000000000011 0.88949106797105160 8.894911E-01 10.2717
