j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
01 28 14.5 6.4766 43.9766 37.500000000000000 1.6046094722165769 1.604609E+00 19.8478
02 29 15.5 10.2545 33.8545 23.600000000000001 1.5816636360132144 1.581664E+00 18.6074
03 30 16.5 11.0165 28.3165 17.300000000000001 1.5547310039772113 1.554731E+00 17.5128
04 31 17.5 10.9683 24.6683 13.700000000000001 1.5364676607940102 1.536468E+00 16.5399
05 32 18.5 10.6243 22.0243 11.400000000000000 1.5211626151308151 1.521163E+00 15.6693
06 33 19.5 10.1916 19.9916 9.8000000000000007 1.4900683072547205 1.490068E+00 14.8859
07 34 20.5 9.7646 18.3646 8.6000000000000014 1.4867703646123163 1.486770E+00 14.177
08 35 21.5 9.4239 17.0239 7.6000000000000005 1.4407792798413690 1.440779E+00 13.5326
09 36 22.5 8.9942 15.8942 6.9000000000000004 1.4474602441993223 1.447460E+00 12.9442
10 37 23.5 8.6256 14.9256 6.3000000000000007 1.4528612919285695 1.452861E+00 12.4049
11 38 24.5 8.1833 14.0833 5.9000000000000004 1.5506450460838856 1.550645E+00 11.9087
12 39 25.5 8.0424 13.3424 5.3000000000000007 1.3935442390994275 1.393544E+00 11.4507
13 40 26.5 7.6842 12.6842 5.0000000000000009 1.4559348393605742 1.455935E+00 11.0266
14 41 27.5 7.2948 12.0948 4.8000000000000007 1.4352996789232597 1.435300E+00 10.6328
15 42 28.5 7.063 11.5630 4.5000000000000009 1.3855186903069947 1.385519E+00 10.2661
16 43 29.5 6.6804 11.0804 4.4000000000000004 1.6232639410697443 1.623264E+00 9.92392
17 44 30.5 6.54 10.6400 4.1000000000000005 1.6681064493923341 1.668106E+00 9.60379
18 45 31.5 6.3361 10.2361 3.8999999999999999 1.7975070600750189 1.797507E+00 9.30368
19 46 32.5 6.1641 9.8641 3.7000000000000002 1.5985199162145995 1.598520E+00 9.02175
20 47 33.5 6.1202 9.5202 3.3999999999999999 1.5896248832602229 1.589625E+00 8.7564
21 48 34.5 6.0011 9.2011 3.2000000000000002 1.6086496162504482 1.608650E+00 8.50622
22 49 35.5 5.8041 8.9041 3.1000000000000001 1.5629899767528883 1.562990E+00 8.26993
23 50 36.5 5.7269 8.6269 2.8999999999999999 1.4933293036432593 1.493329E+00 8.04642
