j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
01 44 22.5 6.0489 44.3489 38.300000000000004 0.36750138105005287 3.675014E-01 16.3354
02 45 23.5 10.2589 34.3589 24.100000000000001 0.32962673431077544 3.296267E-01 15.6547
03 46 24.5 11.3091 28.9091 17.599999999999998 0.32948156042475418 3.294816E-01 15.0285
04 47 25.5 10.6255 25.3255 14.700000000000001 0.39800556187272967 3.980056E-01 14.4505
05 48 26.5 10.3307 22.7307 12.400000000000000 0.47988986188170163 4.798899E-01 13.9153
06 49 27.5 9.0364 20.7364 11.700000000000001 0.30764274817208576 3.076427E-01 13.4183
07 50 28.5 8.7397 19.1397 10.400000000000000 0.29812377077091107 2.981238E-01 12.9556
