# alpha	alpha^2	B*sin(alpha)
0.000000	0.000000	0.000000
0.100000	0.010000	0.657162
0.200000	0.040000	1.309925
0.300000	0.090000	1.953941
0.400000	0.160000	2.584964
0.500000	0.250000	3.198899
0.600000	0.360000	3.791846
0.700000	0.490000	4.360150
0.800000	0.640000	4.900435
0.900000	0.810000	5.409648
1.000000	1.000000	5.885084
1.100000	1.210000	6.324421
1.200000	1.440000	6.725736
1.300000	1.690000	7.087529
1.400000	1.960000	7.408728
1.500000	2.250000	7.688697
1.600000	2.560000	7.927237
1.700000	2.890000	8.124581
1.800000	3.240000	8.281378
1.900000	3.610000	8.398680
2.000000	4.000000	8.477920
2.100000	4.410000	8.520884
2.200000	4.840000	8.529679
2.300000	5.290000	8.506702
2.400000	5.760000	8.454599
2.500000	6.250000	8.376227
2.600000	6.760000	8.274608
2.700000	7.290000	8.152888
2.800000	7.840000	8.014292
2.900000	8.410000	7.862080
3.000000	9.000000	7.699500
3.100000	9.610000	7.529750
3.200000	10.240000	7.355931
3.300000	10.890000	7.181015
3.400000	11.560000	7.007805
3.500000	12.250000	6.838904
3.600000	12.960000	6.676686
3.700000	13.690000	6.523272
3.800000	14.440000	6.380513
3.900000	15.210000	6.249969
4.000000	16.000000	6.132903
4.100000	16.810000	6.030273
4.200000	17.640000	5.942732
4.300000	18.490000	5.870631
4.400000	19.360000	5.814028
4.500000	20.250000	5.772697
4.600000	21.160000	5.746151
4.700000	22.090000	5.733654
4.800000	23.040000	5.734249
4.900000	24.010000	5.746783
5.000000	25.000000	5.769932
5.100000	26.010000	5.802236
5.200000	27.040000	5.842125
5.300000	28.090000	5.887951
5.400000	29.160000	5.938025
5.500000	30.250000	5.990641
5.600000	31.360000	6.044111
5.700000	32.490000	6.096793
5.800000	33.640000	6.147117
5.900000	34.810000	6.193613
6.000000	36.000000	6.234930
6.100000	37.210000	6.269860
6.200000	38.440000	6.297348
6.300000	39.690000	6.316512
6.400000	40.960000	6.326650
6.500000	42.250000	6.327245
6.600000	43.560000	6.317970
6.700000	44.890000	6.298685
6.800000	46.240000	6.269435
6.900000	47.610000	6.230444
7.000000	49.000000	6.182101
7.100000	50.410000	6.124949
7.200000	51.840000	6.059673
7.300000	53.290000	5.987078
7.400000	54.760000	5.908071
7.500000	56.250000	5.823645
7.600000	57.760000	5.734851
7.700000	59.290000	5.642783
7.800000	60.840000	5.548553
7.900000	62.410000	5.453271
8.000000	64.000000	5.358021
8.100000	65.610000	5.263847
8.200000	67.240000	5.171732
8.300000	68.890000	5.082579
8.400000	70.560000	4.997202
8.500000	72.250000	4.916308
8.600000	73.960000	4.840492
8.700000	75.690000	4.770226
8.800000	77.440000	4.705854
8.900000	79.210000	4.647594
9.000000	81.000000	4.595531
9.100000	82.810000	4.549626
9.200000	84.640000	4.509718
9.300000	86.490000	4.475529
9.400000	88.360000	4.446680
9.500000	90.250000	4.422695
9.600000	92.160000	4.403016
9.700000	94.090000	4.387020
9.800000	96.040000	4.374029
9.900000	98.010000	4.363326
10.000000	100.000000	4.354176
10.100000	102.010000	4.345835
10.200000	104.040000	4.337570
10.300000	106.090000	4.328672
10.400000	108.160000	4.318472
