# alpha	alpha^2	B*sin(alpha)
0.000000	0.000000	0.000000
0.100000	0.010000	3.756335
0.200000	0.040000	7.452054
0.300000	0.090000	11.027856
0.400000	0.160000	14.427038
0.500000	0.250000	17.596719
0.600000	0.360000	20.488972
0.700000	0.490000	23.061844
0.800000	0.640000	25.280236
0.900000	0.810000	27.116620
1.000000	1.000000	28.551585
1.100000	1.210000	29.574191
1.200000	1.440000	30.182133
1.300000	1.690000	30.381700
1.400000	1.960000	30.187539
1.500000	2.250000	29.622232
1.600000	2.560000	28.715692
1.700000	2.890000	27.504392
1.800000	3.240000	26.030453
1.900000	3.610000	24.340609
2.000000	4.000000	22.485070
2.100000	4.410000	20.516326
2.200000	4.840000	18.487901
2.300000	5.290000	16.453098
2.400000	5.760000	14.463770
2.500000	6.250000	12.569131
2.600000	6.760000	10.814654
2.700000	7.290000	9.241061
2.800000	7.840000	7.883447
2.900000	8.410000	6.770549
3.000000	9.000000	5.924173
3.100000	9.610000	5.358806
3.200000	10.240000	5.081397
3.300000	10.890000	5.091336
3.400000	11.560000	5.380616
3.500000	12.250000	5.934166
3.600000	12.960000	6.730365
3.700000	13.690000	7.741705
3.800000	14.440000	8.935588
3.900000	15.210000	10.275247
4.000000	16.000000	11.720752
4.100000	16.810000	13.230083
4.200000	17.640000	14.760245
4.300000	18.490000	16.268392
4.400000	19.360000	17.712928
4.500000	20.250000	19.054566
4.600000	21.160000	20.257321
4.700000	22.090000	21.289391
4.800000	23.040000	22.123937
4.900000	24.010000	22.739720
5.000000	25.000000	23.121579
5.100000	26.010000	23.260760
5.200000	27.040000	23.155067
5.300000	28.090000	22.808846
5.400000	29.160000	22.232797
5.500000	30.250000	21.443620
5.600000	31.360000	20.463518
5.700000	32.490000	19.319548
5.800000	33.640000	18.042864
5.900000	34.810000	16.667848
6.000000	36.000000	15.231174
6.100000	37.210000	13.770811
6.200000	38.440000	12.325007
6.300000	39.690000	10.931273
6.400000	40.960000	9.625384
6.500000	42.250000	8.440451
6.600000	43.560000	7.406050
6.700000	44.890000	6.547467
6.800000	46.240000	5.885051
6.900000	47.610000	5.433704
7.000000	49.000000	5.202519
7.100000	50.410000	5.194573
7.200000	51.840000	5.406880
7.300000	53.290000	5.830508
7.400000	54.760000	6.450845
7.500000	56.250000	7.248023
7.600000	57.760000	8.197475
7.700000	59.290000	9.270613
7.800000	60.840000	10.435610
7.900000	62.410000	11.658268
8.000000	64.000000	12.902944
8.100000	65.610000	14.133503
8.200000	67.240000	15.314294
8.300000	68.890000	16.411098
8.400000	70.560000	17.392042
8.500000	72.250000	18.228440
8.600000	73.960000	18.895558
8.700000	75.690000	19.373257
8.800000	77.440000	19.646526
8.900000	79.210000	19.705867
9.000000	81.000000	19.547535
9.100000	82.810000	19.173630
9.200000	84.640000	18.592023
9.300000	86.490000	17.816139
9.400000	88.360000	16.864583
9.500000	90.250000	15.760638
9.600000	92.160000	14.531632
9.700000	94.090000	13.208203
9.800000	96.040000	11.823475
9.900000	98.010000	10.412172
10.000000	100.000000	9.009688
10.100000	102.010000	7.651142
10.200000	104.040000	6.370440
10.300000	106.090000	5.199376
10.400000	108.160000	4.166784
10.500000	110.250000	3.297773
10.600000	112.360000	2.613063
10.700000	114.490000	2.128439
10.800000	116.640000	1.854335
10.900000	118.810000	1.795563
11.000000	121.000000	1.951189
11.100000	123.210000	2.314571
11.200000	125.440000	2.873537
11.300000	127.690000	3.610720
11.400000	129.960000	4.504030
11.500000	132.250000	5.527242
11.600000	134.560000	6.650711
11.700000	136.890000	7.842162
11.800000	139.240000	9.067558
11.900000	141.610000	10.292013
12.000000	144.000000	11.480725
12.100000	146.410000	12.599911
12.200000	148.840000	13.617705
12.300000	151.290000	14.505017
12.400000	153.760000	15.236304
12.500000	156.250000	15.790258
12.600000	158.760000	16.150371
12.700000	161.290000	16.305374
12.800000	163.840000	16.249540
12.900000	166.410000	15.982831
13.000000	169.000000	15.510899
13.100000	171.610000	14.844930
13.200000	174.240000	14.001342
13.300000	176.890000	13.001343
13.400000	179.560000	11.870358
13.500000	182.250000	10.637347
13.600000	184.960000	9.334024
13.700000	187.690000	7.994004
13.800000	190.440000	6.651900
13.900000	193.210000	5.342392
14.000000	196.000000	4.099291
14.100000	198.810000	2.954634
14.200000	201.640000	1.937818
14.300000	204.490000	1.074812
14.400000	207.360000	0.387452
14.500000	210.250000	-0.107142
14.600000	213.160000	-0.397028
14.700000	216.090000	-0.475770
14.800000	219.040000	-0.342608
14.900000	222.010000	-0.002482
15.000000	225.000000	0.534103
15.100000	228.010000	1.251350
15.200000	231.040000	2.128605
15.300000	234.090000	3.140902
15.400000	237.160000	4.259642
15.500000	240.250000	5.453356
15.600000	243.360000	6.688559
15.700000	246.490000	7.930647
15.800000	249.640000	9.144834
15.900000	252.810000	10.297089
16.000000	256.000000	11.355052
16.100000	259.210000	12.288914
16.200000	262.440000	13.072218
16.300000	265.690000	13.682577
16.400000	268.960000	14.102282
16.500000	272.250000	14.318780
16.600000	275.560000	14.325020
16.700000	278.890000	14.119640
16.800000	282.240000	13.707016
16.900000	285.610000	13.097137
17.000000	289.000000	12.305347
17.100000	292.410000	11.351926
17.200000	295.840000	10.261549
17.300000	299.290000	9.062618
17.400000	302.760000	7.786498
17.500000	306.250000	6.466665
17.600000	309.760000	5.137806
17.700000	313.290000	3.834875
17.800000	316.840000	2.592151
17.900000	320.410000	1.442303
18.000000	324.000000	0.415505
18.100000	327.610000	-0.461380
18.200000	331.240000	-1.165540
18.300000	334.890000	-1.678827
18.400000	338.560000	-1.988262
18.500000	342.250000	-2.086385
18.600000	345.960000	-1.971463
18.700000	349.690000	-1.647547
18.800000	353.440000	-1.124361
18.900000	357.210000	-0.417046
19.000000	361.000000	0.454246
19.100000	364.810000	1.464896
19.200000	368.640000	2.586487
19.300000	372.490000	3.787564
19.400000	376.360000	5.034495
19.500000	380.250000	6.292382
19.600000	384.160000	7.526004
19.700000	388.090000	8.700785
19.800000	392.040000	9.783725
19.900000	396.010000	10.744308
20.000000	400.000000	11.555334
20.100000	404.010000	12.193662
20.200000	408.040000	12.640845
20.300000	412.090000	12.883639
20.400000	416.160000	12.914371
20.500000	420.250000	12.731153
20.600000	424.360000	12.337940
20.700000	428.490000	11.744431
20.800000	432.640000	10.965810
20.900000	436.810000	10.022338
21.000000	441.000000	8.938809
21.100000	445.210000	7.743879
21.200000	449.440000	6.469286
21.300000	453.690000	5.148990
21.400000	457.960000	3.818249
21.500000	462.250000	2.512658
21.600000	466.560000	1.267175
21.700000	470.890000	0.115170
21.800000	475.240000	-0.912491
21.900000	479.610000	-1.788295
22.000000	484.000000	-2.488834
22.100000	488.410000	-2.995452
22.200000	492.840000	-3.294763
22.300000	497.290000	-3.379023
22.400000	501.760000	-3.246349
22.500000	506.250000	-2.900780
22.600000	510.760000	-2.352174
22.700000	515.290000	-1.615948
22.800000	519.840000	-0.712667
22.900000	524.410000	0.332519
23.000000	529.000000	1.490547
23.100000	533.610000	2.729236
23.200000	538.240000	4.014160
23.300000	542.890000	5.309589
23.400000	547.560000	6.579461
23.500000	552.250000	7.788374
23.600000	556.960000	8.902549
23.700000	561.690000	9.890764
23.800000	566.440000	10.725207
23.900000	571.210000	11.382244
24.000000	576.000000	11.843073
24.100000	580.810000	12.094246
24.200000	585.640000	12.128045
24.300000	590.490000	11.942699
24.400000	595.360000	11.542446
24.500000	600.250000	10.937419
24.600000	605.160000	10.143383
24.700000	610.090000	9.181308
24.800000	615.040000	8.076800
24.900000	620.010000	6.859408
25.000000	625.000000	5.561818
25.100000	630.010000	4.218962
25.200000	635.040000	2.867061
25.300000	640.090000	1.542634
25.400000	645.160000	0.281496
25.500000	650.250000	-0.882225
25.600000	655.360000	-1.917030
25.700000	660.490000	-2.794914
25.800000	665.640000	-3.492144
25.900000	670.810000	-3.989911
26.000000	676.000000	-4.274863
26.100000	681.210000	-4.339469
26.200000	686.440000	-4.182243
26.300000	691.690000	-3.807789
26.400000	696.960000	-3.226683
26.500000	702.250000	-2.455195
