# alpha	alpha^2	B*sin(alpha)
0.000000	0.000000	0.000000
0.100000	0.010000	0.179971
0.200000	0.040000	0.359610
0.300000	0.090000	0.538583
0.400000	0.160000	0.716560
0.500000	0.250000	0.893214
0.600000	0.360000	1.068221
0.700000	0.490000	1.241262
0.800000	0.640000	1.412023
0.900000	0.810000	1.580197
1.000000	1.000000	1.745485
1.100000	1.210000	1.907594
1.200000	1.440000	2.066241
1.300000	1.690000	2.221154
1.400000	1.960000	2.372070
1.500000	2.250000	2.518737
1.600000	2.560000	2.660915
1.700000	2.890000	2.798379
1.800000	3.240000	2.930912
1.900000	3.610000	3.058317
2.000000	4.000000	3.180405
2.100000	4.410000	3.297006
2.200000	4.840000	3.407963
2.300000	5.290000	3.513136
2.400000	5.760000	3.612400
2.500000	6.250000	3.705646
2.600000	6.760000	3.792781
2.700000	7.290000	3.873729
2.800000	7.840000	3.948432
2.900000	8.410000	4.016847
3.000000	9.000000	4.078947
3.100000	9.610000	4.134725
3.200000	10.240000	4.184187
3.300000	10.890000	4.227360
3.400000	11.560000	4.264282
3.500000	12.250000	4.295011
3.600000	12.960000	4.319621
3.700000	13.690000	4.338199
3.800000	14.440000	4.350850
3.900000	15.210000	4.357692
4.000000	16.000000	4.358857
4.100000	16.810000	4.354493
4.200000	17.640000	4.344760
4.300000	18.490000	4.329831
4.400000	19.360000	4.309890
4.500000	20.250000	4.285134
4.600000	21.160000	4.255770
4.700000	22.090000	4.222016
4.800000	23.040000	4.184099
4.900000	24.010000	4.142253
5.000000	25.000000	4.096721
5.100000	26.010000	4.047755
5.200000	27.040000	3.995609
5.300000	28.090000	3.940545
5.400000	29.160000	3.882830
5.500000	30.250000	3.822733
5.600000	31.360000	3.760526
5.700000	32.490000	3.696483
5.800000	33.640000	3.630880
5.900000	34.810000	3.563992
6.000000	36.000000	3.496094
6.100000	37.210000	3.427458
6.200000	38.440000	3.358356
6.300000	39.690000	3.289054
6.400000	40.960000	3.219816
6.500000	42.250000	3.150900
6.600000	43.560000	3.082559
6.700000	44.890000	3.015040
6.800000	46.240000	2.948582
6.900000	47.610000	2.883416
7.000000	49.000000	2.819765
7.100000	50.410000	2.757844
7.200000	51.840000	2.697856
7.300000	53.290000	2.639996
7.400000	54.760000	2.584447
7.500000	56.250000	2.531380
7.600000	57.760000	2.480957
7.700000	59.290000	2.433326
7.800000	60.840000	2.388621
7.900000	62.410000	2.346967
8.000000	64.000000	2.308473
8.100000	65.610000	2.273236
8.200000	67.240000	2.241338
8.300000	68.890000	2.212851
8.400000	70.560000	2.187830
8.500000	72.250000	2.166317
8.600000	73.960000	2.148342
8.700000	75.690000	2.133919
8.800000	77.440000	2.123050
8.900000	79.210000	2.115723
9.000000	81.000000	2.111913
9.100000	82.810000	2.111584
9.200000	84.640000	2.114683
9.300000	86.490000	2.121149
