# alpha	alpha^2	B*sin(alpha)
0.000000	0.000000	0.000000
0.100000	0.010000	0.128931
0.200000	0.040000	0.257470
0.300000	0.090000	0.385231
0.400000	0.160000	0.511827
0.500000	0.250000	0.636880
0.600000	0.360000	0.760021
0.700000	0.490000	0.880889
0.800000	0.640000	0.999134
0.900000	0.810000	1.114424
1.000000	1.000000	1.226439
1.100000	1.210000	1.334877
1.200000	1.440000	1.439455
1.300000	1.690000	1.539909
1.400000	1.960000	1.635998
1.500000	2.250000	1.727502
1.600000	2.560000	1.814225
1.700000	2.890000	1.895996
1.800000	3.240000	1.972669
1.900000	3.610000	2.044123
2.000000	4.000000	2.110264
2.100000	4.410000	2.171024
2.200000	4.840000	2.226361
2.300000	5.290000	2.276260
2.400000	5.760000	2.320734
2.500000	6.250000	2.359820
2.600000	6.760000	2.393581
2.700000	7.290000	2.422104
2.800000	7.840000	2.445502
2.900000	8.410000	2.463910
3.000000	9.000000	2.477485
3.100000	9.610000	2.486405
3.200000	10.240000	2.490869
3.300000	10.890000	2.491091
3.400000	11.560000	2.487305
3.500000	12.250000	2.479758
3.600000	12.960000	2.468712
3.700000	13.690000	2.454440
3.800000	14.440000	2.437224
3.900000	15.210000	2.417357
4.000000	16.000000	2.395135
4.100000	16.810000	2.370861
4.200000	17.640000	2.344838
4.300000	18.490000	2.317371
4.400000	19.360000	2.288766
4.500000	20.250000	2.259321
4.600000	21.160000	2.229334
4.700000	22.090000	2.199094
4.800000	23.040000	2.168881
4.900000	24.010000	2.138968
5.000000	25.000000	2.109614
5.100000	26.010000	2.081067
5.200000	27.040000	2.053558
5.300000	28.090000	2.027307
5.400000	29.160000	2.002513
5.500000	30.250000	1.979362
5.600000	31.360000	1.958017
5.700000	32.490000	1.938626
5.800000	33.640000	1.921315
5.900000	34.810000	1.906191
6.000000	36.000000	1.893339
6.100000	37.210000	1.882825
6.200000	38.440000	1.874694
6.300000	39.690000	1.868969
6.400000	40.960000	1.865654
6.500000	42.250000	1.864734
6.600000	43.560000	1.866172
6.700000	44.890000	1.869913
6.800000	46.240000	1.875885
6.900000	47.610000	1.883997
7.000000	49.000000	1.894142
7.100000	50.410000	1.906199
7.200000	51.840000	1.920031
7.300000	53.290000	1.935489
7.400000	54.760000	1.952413
7.500000	56.250000	1.970632
7.600000	57.760000	1.989965
7.700000	59.290000	2.010225
7.800000	60.840000	2.031219
