# alpha	alpha^2	B*sin(alpha)
0.000000	0.000000	0.000000
0.100000	0.010000	0.042669
0.200000	0.040000	0.085264
0.300000	0.090000	0.127714
0.400000	0.160000	0.169947
0.500000	0.250000	0.211890
0.600000	0.360000	0.253473
0.700000	0.490000	0.294625
0.800000	0.640000	0.335279
0.900000	0.810000	0.375366
1.000000	1.000000	0.414821
1.100000	1.210000	0.453579
1.200000	1.440000	0.491578
1.300000	1.690000	0.528757
1.400000	1.960000	0.565059
1.500000	2.250000	0.600427
1.600000	2.560000	0.634808
1.700000	2.890000	0.668151
1.800000	3.240000	0.700408
1.900000	3.610000	0.731534
2.000000	4.000000	0.761486
2.100000	4.410000	0.790225
2.200000	4.840000	0.817715
2.300000	5.290000	0.843924
2.400000	5.760000	0.868821
2.500000	6.250000	0.892380
2.600000	6.760000	0.914580
2.700000	7.290000	0.935400
2.800000	7.840000	0.954825
2.900000	8.410000	0.972842
3.000000	9.000000	0.989443
3.100000	9.610000	1.004623
3.200000	10.240000	1.018381
3.300000	10.890000	1.030717
3.400000	11.560000	1.041639
3.500000	12.250000	1.051153
3.600000	12.960000	1.059274
3.700000	13.690000	1.066016
3.800000	14.440000	1.071399
3.900000	15.210000	1.075444
4.000000	16.000000	1.078177
4.100000	16.810000	1.079626
4.200000	17.640000	1.079823
4.300000	18.490000	1.078801
4.400000	19.360000	1.076596
4.500000	20.250000	1.073249
4.600000	21.160000	1.068801
4.700000	22.090000	1.063296
4.800000	23.040000	1.056780
4.900000	24.010000	1.049301
5.000000	25.000000	1.040908
5.100000	26.010000	1.031654
5.200000	27.040000	1.021592
5.300000	28.090000	1.010776
5.400000	29.160000	0.999261
5.500000	30.250000	0.987104
5.600000	31.360000	0.974363
5.700000	32.490000	0.961096
5.800000	33.640000	0.947360
5.900000	34.810000	0.933215
6.000000	36.000000	0.918720
6.100000	37.210000	0.903934
6.200000	38.440000	0.888914
6.300000	39.690000	0.873720
6.400000	40.960000	0.858409
6.500000	42.250000	0.843037
6.600000	43.560000	0.827660
6.700000	44.890000	0.812334
6.800000	46.240000	0.797112
6.900000	47.610000	0.782046
7.000000	49.000000	0.767187
7.100000	50.410000	0.752584
7.200000	51.840000	0.738284
7.300000	53.290000	0.724333
7.400000	54.760000	0.710774
7.500000	56.250000	0.697648
7.600000	57.760000	0.684995
7.700000	59.290000	0.672850
7.800000	60.840000	0.661248
7.900000	62.410000	0.650221
8.000000	64.000000	0.639798
8.100000	65.610000	0.630006
8.200000	67.240000	0.620868
8.300000	68.890000	0.612406
8.400000	70.560000	0.604639
8.500000	72.250000	0.597580
8.600000	73.960000	0.591245
8.700000	75.690000	0.585642
8.800000	77.440000	0.580780
8.900000	79.210000	0.576662
9.000000	81.000000	0.573291
9.100000	82.810000	0.570666
9.200000	84.640000	0.568783
9.300000	86.490000	0.567636
9.400000	88.360000	0.567216
9.500000	90.250000	0.567512
9.600000	92.160000	0.568510
9.700000	94.090000	0.570195
9.800000	96.040000	0.572548
9.900000	98.010000	0.575548
10.000000	100.000000	0.579173
10.100000	102.010000	0.583399
10.200000	104.040000	0.588199
10.300000	106.090000	0.593544
10.400000	108.160000	0.599407
10.500000	110.250000	0.605754
