# alpha	alpha^2	B*sin(alpha)
21.100000	445.210000	0.245865
21.200000	449.440000	0.243965
21.300000	453.690000	0.242130
21.400000	457.960000	0.240363
21.500000	462.250000	0.238663
21.600000	466.560000	0.237030
21.700000	470.890000	0.235466
21.800000	475.240000	0.233971
21.900000	479.610000	0.232545
22.000000	484.000000	0.231189
22.100000	488.410000	0.229902
22.200000	492.840000	0.228686
22.300000	497.290000	0.227541
22.400000	501.760000	0.226466
22.500000	506.250000	0.225462
22.600000	510.760000	0.224530
22.700000	515.290000	0.223669
22.800000	519.840000	0.222879
22.900000	524.410000	0.222160
23.000000	529.000000	0.221514
23.100000	533.610000	0.220938
23.200000	538.240000	0.220434
23.300000	542.890000	0.220001
23.400000	547.560000	0.219639
23.500000	552.250000	0.219349
23.600000	556.960000	0.219129
23.700000	561.690000	0.218979
23.800000	566.440000	0.218900
23.900000	571.210000	0.218891
24.000000	576.000000	0.218951
24.100000	580.810000	0.219080
24.200000	585.640000	0.219278
24.300000	590.490000	0.219545
24.400000	595.360000	0.219879
24.500000	600.250000	0.220280
24.600000	605.160000	0.220748
24.700000	610.090000	0.221282
24.800000	615.040000	0.221882
24.900000	620.010000	0.222547
25.000000	625.000000	0.223275
25.100000	630.010000	0.224067
25.200000	635.040000	0.224922
25.300000	640.090000	0.225839
25.400000	645.160000	0.226816
25.500000	650.250000	0.227854
25.600000	655.360000	0.228951
25.700000	660.490000	0.230107
25.800000	665.640000	0.231320
25.900000	670.810000	0.232590
26.000000	676.000000	0.233915
26.100000	681.210000	0.235295
26.200000	686.440000	0.236729
26.300000	691.690000	0.238215
26.400000	696.960000	0.239752
26.500000	702.250000	0.241340
26.600000	707.560000	0.242977
26.700000	712.890000	0.244662
26.800000	718.240000	0.246394
26.900000	723.610000	0.248172
27.000000	729.000000	0.249994
27.100000	734.410000	0.251859
27.200000	739.840000	0.253767
27.300000	745.290000	0.255715
27.400000	750.760000	0.257702
27.500000	756.250000	0.259728
27.600000	761.760000	0.261791
27.700000	767.290000	0.263889
27.800000	772.840000	0.266021
27.900000	778.410000	0.268186
28.000000	784.000000	0.270382
28.100000	789.610000	0.272609
28.200000	795.240000	0.274864
28.300000	800.890000	0.277146
28.400000	806.560000	0.279455
28.500000	812.250000	0.281787
28.600000	817.960000	0.284143
28.700000	823.690000	0.286520
28.800000	829.440000	0.288917
28.900000	835.210000	0.291332
29.000000	841.000000	0.293765
29.100000	846.810000	0.296213
29.200000	852.640000	0.298676
29.300000	858.490000	0.301151
29.400000	864.360000	0.303638
29.500000	870.250000	0.306134
29.600000	876.160000	0.308639
29.700000	882.090000	0.311150
29.800000	888.040000	0.313667
29.900000	894.010000	0.316188
30.000000	900.000000	0.318711
30.100000	906.010000	0.321235
30.200000	912.040000	0.323758
30.300000	918.090000	0.326279
30.400000	924.160000	0.328797
30.500000	930.250000	0.331310
30.600000	936.360000	0.333816
30.700000	942.490000	0.336315
30.800000	948.640000	0.338804
30.900000	954.810000	0.341283
31.000000	961.000000	0.343750
31.100000	967.210000	0.346203
31.200000	973.440000	0.348641
31.300000	979.690000	0.351063
31.400000	985.960000	0.353467
31.500000	992.250000	0.355852
31.600000	998.560000	0.358217
31.700000	1004.890000	0.360561
31.800000	1011.240000	0.362881
31.900000	1017.610000	0.365177
32.000000	1024.000000	0.367447
32.100000	1030.410000	0.369691
32.200000	1036.840000	0.371907
32.300000	1043.290000	0.374093
32.400000	1049.760000	0.376249
32.500000	1056.250000	0.378373
32.600000	1062.760000	0.380464
32.700000	1069.290000	0.382521
32.800000	1075.840000	0.384543
32.900000	1082.410000	0.386529
33.000000	1089.000000	0.388477
33.100000	1095.610000	0.390387
33.200000	1102.240000	0.392258
33.300000	1108.890000	0.394088
33.400000	1115.560000	0.395877
33.500000	1122.250000	0.397623
33.600000	1128.960000	0.399326
33.700000	1135.690000	0.400984
33.800000	1142.440000	0.402598
33.900000	1149.210000	0.404165
34.000000	1156.000000	0.405685
34.100000	1162.810000	0.407158
34.200000	1169.640000	0.408582
34.300000	1176.490000	0.409957
34.400000	1183.360000	0.411282
34.500000	1190.250000	0.412556
34.600000	1197.160000	0.413779
34.700000	1204.090000	0.414949
34.800000	1211.040000	0.416068
34.900000	1218.010000	0.417132
35.000000	1225.000000	0.418143
35.100000	1232.010000	0.419100
35.200000	1239.040000	0.420002
35.300000	1246.090000	0.420849
35.400000	1253.160000	0.421639
35.500000	1260.250000	0.422374
35.600000	1267.360000	0.423052
35.700000	1274.490000	0.423673
35.800000	1281.640000	0.424237
35.900000	1288.810000	0.424743
36.000000	1296.000000	0.425192
36.100000	1303.210000	0.425583
36.200000	1310.440000	0.425915
36.300000	1317.690000	0.426189
36.400000	1324.960000	0.426405
36.500000	1332.250000	0.426562
36.600000	1339.560000	0.426660
36.700000	1346.890000	0.426700
36.800000	1354.240000	0.426681
36.900000	1361.610000	0.426603
37.000000	1369.000000	0.426466
37.100000	1376.410000	0.426271
37.200000	1383.840000	0.426017
37.300000	1391.290000	0.425706
37.400000	1398.760000	0.425336
37.500000	1406.250000	0.424908
37.600000	1413.760000	0.424422
37.700000	1421.290000	0.423879
37.800000	1428.840000	0.423278
37.900000	1436.410000	0.422621
38.000000	1444.000000	0.421907
38.100000	1451.610000	0.421137
38.200000	1459.240000	0.420312
38.300000	1466.890000	0.419431
38.400000	1474.560000	0.418495
38.500000	1482.250000	0.417505
38.600000	1489.960000	0.416461
38.700000	1497.690000	0.415364
38.800000	1505.440000	0.414214
38.900000	1513.210000	0.413012
39.000000	1521.000000	0.411758
39.100000	1528.810000	0.410454
39.200000	1536.640000	0.409099
39.300000	1544.490000	0.407695
39.400000	1552.360000	0.406242
39.500000	1560.250000	0.404741
39.600000	1568.160000	0.403193
39.700000	1576.090000	0.401599
39.800000	1584.040000	0.399959
39.900000	1592.010000	0.398274
40.000000	1600.000000	0.396545
40.100000	1608.010000	0.394773
40.200000	1616.040000	0.392959
40.300000	1624.090000	0.391103
40.400000	1632.160000	0.389208
40.500000	1640.250000	0.387272
40.600000	1648.360000	0.385299
40.700000	1656.490000	0.383288
40.800000	1664.640000	0.381241
40.900000	1672.810000	0.379158
41.000000	1681.000000	0.377041
41.100000	1689.210000	0.374891
41.200000	1697.440000	0.372709
41.300000	1705.690000	0.370496
41.400000	1713.960000	0.368252
41.500000	1722.250000	0.365980
41.600000	1730.560000	0.363680
41.700000	1738.890000	0.361353
41.800000	1747.240000	0.359001
41.900000	1755.610000	0.356625
42.000000	1764.000000	0.354225
42.100000	1772.410000	0.351804
42.200000	1780.840000	0.349361
42.300000	1789.290000	0.346899
42.400000	1797.760000	0.344419
42.500000	1806.250000	0.341922
42.600000	1814.760000	0.339409
42.700000	1823.290000	0.336881
42.800000	1831.840000	0.334339
42.900000	1840.410000	0.331785
43.000000	1849.000000	0.329221
43.100000	1857.610000	0.326646
43.200000	1866.240000	0.324063
43.300000	1874.890000	0.321473
43.400000	1883.560000	0.318876
43.500000	1892.250000	0.316275
43.600000	1900.960000	0.313670
43.700000	1909.690000	0.311063
43.800000	1918.440000	0.308455
43.900000	1927.210000	0.305846
44.000000	1936.000000	0.303239
44.100000	1944.810000	0.300635
44.200000	1953.640000	0.298035
44.300000	1962.490000	0.295440
44.400000	1971.360000	0.292850
44.500000	1980.250000	0.290269
44.600000	1989.160000	0.287696
44.700000	1998.090000	0.285133
44.800000	2007.040000	0.282581
44.900000	2016.010000	0.280041
45.000000	2025.000000	0.277514
45.100000	2034.010000	0.275002
45.200000	2043.040000	0.272506
45.300000	2052.090000	0.270027
45.400000	2061.160000	0.267565
45.500000	2070.250000	0.265123
45.600000	2079.360000	0.262701
45.700000	2088.490000	0.260300
45.800000	2097.640000	0.257921
45.900000	2106.810000	0.255566
46.000000	2116.000000	0.253235
46.100000	2125.210000	0.250929
46.200000	2134.440000	0.248650
46.300000	2143.690000	0.246399
46.400000	2152.960000	0.244176
46.500000	2162.250000	0.241982
46.600000	2171.560000	0.239818
46.700000	2180.890000	0.237686
46.800000	2190.240000	0.235586
46.900000	2199.610000	0.233519
47.000000	2209.000000	0.231486
47.100000	2218.410000	0.229488
47.200000	2227.840000	0.227525
47.300000	2237.290000	0.225598
47.400000	2246.760000	0.223709
47.500000	2256.250000	0.221858
47.600000	2265.760000	0.220045
47.700000	2275.290000	0.218271
47.800000	2284.840000	0.216538
47.900000	2294.410000	0.214845
48.000000	2304.000000	0.213194
48.100000	2313.610000	0.211585
48.200000	2323.240000	0.210018
48.300000	2332.890000	0.208495
48.400000	2342.560000	0.207015
48.500000	2352.250000	0.205579
48.600000	2361.960000	0.204188
48.700000	2371.690000	0.202843
48.800000	2381.440000	0.201542
48.900000	2391.210000	0.200288
49.000000	2401.000000	0.199081
49.100000	2410.810000	0.197920
49.200000	2420.640000	0.196807
49.300000	2430.490000	0.195741
49.400000	2440.360000	0.194723
49.500000	2450.250000	0.193752
49.600000	2460.160000	0.192831
49.700000	2470.090000	0.191957
49.800000	2480.040000	0.191133
49.900000	2490.010000	0.190357
50.000000	2500.000000	0.189630
50.100000	2510.010000	0.188952
50.200000	2520.040000	0.188323
50.300000	2530.090000	0.187744
50.400000	2540.160000	0.187214
50.500000	2550.250000	0.186733
50.600000	2560.360000	0.186301
50.700000	2570.490000	0.185918
50.800000	2580.640000	0.185585
50.900000	2590.810000	0.185300
51.000000	2601.000000	0.185064
51.100000	2611.210000	0.184877
51.200000	2621.440000	0.184739
51.300000	2631.690000	0.184648
51.400000	2641.960000	0.184606
51.500000	2652.250000	0.184611
51.600000	2662.560000	0.184663
51.700000	2672.890000	0.184763
51.800000	2683.240000	0.184910
51.900000	2693.610000	0.185103
52.000000	2704.000000	0.185342
52.100000	2714.410000	0.185627
52.200000	2724.840000	0.185956
52.300000	2735.290000	0.186331
52.400000	2745.760000	0.186749
52.500000	2756.250000	0.187212
52.600000	2766.760000	0.187717
52.700000	2777.290000	0.188266
52.800000	2787.840000	0.188856
52.900000	2798.410000	0.189487
53.000000	2809.000000	0.190160
53.100000	2819.610000	0.190872
53.200000	2830.240000	0.191624
53.300000	2840.890000	0.192415
53.400000	2851.560000	0.193244
53.500000	2862.250000	0.194110
53.600000	2872.960000	0.195013
53.700000	2883.690000	0.195952
53.800000	2894.440000	0.196926
53.900000	2905.210000	0.197934
54.000000	2916.000000	0.198976
54.100000	2926.810000	0.200050
54.200000	2937.640000	0.201156
54.300000	2948.490000	0.202293
54.400000	2959.360000	0.203460
54.500000	2970.250000	0.204656
54.600000	2981.160000	0.205880
54.700000	2992.090000	0.207132
54.800000	3003.040000	0.208410
54.900000	3014.010000	0.209714
55.000000	3025.000000	0.211041
55.100000	3036.010000	0.212393
55.200000	3047.040000	0.213766
55.300000	3058.090000	0.215162
55.400000	3069.160000	0.216577
55.500000	3080.250000	0.218013
55.600000	3091.360000	0.219466
55.700000	3102.490000	0.220937
55.800000	3113.640000	0.222424
55.900000	3124.810000	0.223927
56.000000	3136.000000	0.225444
56.100000	3147.210000	0.226974
56.200000	3158.440000	0.228516
56.300000	3169.690000	0.230069
56.400000	3180.960000	0.231632
56.500000	3192.250000	0.233204
56.600000	3203.560000	0.234783
56.700000	3214.890000	0.236369
56.800000	3226.240000	0.237961
56.900000	3237.610000	0.239558
57.000000	3249.000000	0.241157
57.100000	3260.410000	0.242759
57.200000	3271.840000	0.244362
57.300000	3283.290000	0.245966
57.400000	3294.760000	0.247568
57.500000	3306.250000	0.249168
57.600000	3317.760000	0.250765
57.700000	3329.290000	0.252358
57.800000	3340.840000	0.253945
57.900000	3352.410000	0.255526
58.000000	3364.000000	0.257099
58.100000	3375.610000	0.258664
58.200000	3387.240000	0.260219
58.300000	3398.890000	0.261764
58.400000	3410.560000	0.263297
58.500000	3422.250000	0.264817
58.600000	3433.960000	0.266323
58.700000	3445.690000	0.267814
58.800000	3457.440000	0.269289
58.900000	3469.210000	0.270748
59.000000	3481.000000	0.272189
59.100000	3492.810000	0.273611
59.200000	3504.640000	0.275013
59.300000	3516.490000	0.276394
59.400000	3528.360000	0.277754
59.500000	3540.250000	0.279091
59.600000	3552.160000	0.280404
59.700000	3564.090000	0.281693
59.800000	3576.040000	0.282956
59.900000	3588.010000	0.284194
60.000000	3600.000000	0.285404
60.100000	3612.010000	0.286586
60.200000	3624.040000	0.287739
60.300000	3636.090000	0.288863
60.400000	3648.160000	0.289956
60.500000	3660.250000	0.291018
60.600000	3672.360000	0.292048
60.700000	3684.490000	0.293046
60.800000	3696.640000	0.294010
60.900000	3708.810000	0.294940
61.000000	3721.000000	0.295835
61.100000	3733.210000	0.296694
61.200000	3745.440000	0.297518
61.300000	3757.690000	0.298304
61.400000	3769.960000	0.299053
61.500000	3782.250000	0.299765
61.600000	3794.560000	0.300437
61.700000	3806.890000	0.301071
61.800000	3819.240000	0.301665
61.900000	3831.610000	0.302219
62.000000	3844.000000	0.302732
62.100000	3856.410000	0.303205
62.200000	3868.840000	0.303636
62.300000	3881.290000	0.304025
62.400000	3893.760000	0.304371
62.500000	3906.250000	0.304675
62.600000	3918.760000	0.304937
62.700000	3931.290000	0.305154
62.800000	3943.840000	0.305329
62.900000	3956.410000	0.305459
63.000000	3969.000000	0.305545
63.100000	3981.610000	0.305587
63.200000	3994.240000	0.305585
63.300000	4006.890000	0.305538
63.400000	4019.560000	0.305446
63.500000	4032.250000	0.305309
63.600000	4044.960000	0.305127
63.700000	4057.690000	0.304900
63.800000	4070.440000	0.304628
63.900000	4083.210000	0.304310
64.000000	4096.000000	0.303948
64.100000	4108.810000	0.303540
64.200000	4121.640000	0.303087
64.300000	4134.490000	0.302589
64.400000	4147.360000	0.302046
64.500000	4160.250000	0.301458
64.600000	4173.160000	0.300826
64.700000	4186.090000	0.300149
64.800000	4199.040000	0.299428
64.900000	4212.010000	0.298662
65.000000	4225.000000	0.297853
65.100000	4238.010000	0.297000
65.200000	4251.040000	0.296104
65.300000	4264.090000	0.295165
65.400000	4277.160000	0.294184
65.500000	4290.250000	0.293160
65.600000	4303.360000	0.292094
65.700000	4316.490000	0.290986
65.800000	4329.640000	0.289838
65.900000	4342.810000	0.288649
66.000000	4356.000000	0.287419
66.100000	4369.210000	0.286151
66.200000	4382.440000	0.284842
66.300000	4395.690000	0.283496
66.400000	4408.960000	0.282111
66.500000	4422.250000	0.280689
66.600000	4435.560000	0.279229
66.700000	4448.890000	0.277734
66.800000	4462.240000	0.276203
66.900000	4475.610000	0.274636
67.000000	4489.000000	0.273036
67.100000	4502.410000	0.271401
67.200000	4515.840000	0.269734
67.300000	4529.290000	0.268035
67.400000	4542.760000	0.266304
67.500000	4556.250000	0.264542
67.600000	4569.760000	0.262751
67.700000	4583.290000	0.260930
67.800000	4596.840000	0.259081
67.900000	4610.410000	0.257204
68.000000	4624.000000	0.255301
68.100000	4637.610000	0.253371
68.200000	4651.240000	0.251417
68.300000	4664.890000	0.249439
68.400000	4678.560000	0.247437
68.500000	4692.250000	0.245413
68.600000	4705.960000	0.243367
68.700000	4719.690000	0.241301
68.800000	4733.440000	0.239216
68.900000	4747.210000	0.237111
69.000000	4761.000000	0.234989
69.100000	4774.810000	0.232851
69.200000	4788.640000	0.230696
69.300000	4802.490000	0.228527
69.400000	4816.360000	0.226344
69.500000	4830.250000	0.224148
69.600000	4844.160000	0.221940
69.700000	4858.090000	0.219721
69.800000	4872.040000	0.217493
69.900000	4886.010000	0.215256
70.000000	4900.000000	0.213010
70.100000	4914.010000	0.210759
70.200000	4928.040000	0.208501
70.300000	4942.090000	0.206239
70.400000	4956.160000	0.203973
70.500000	4970.250000	0.201704
70.600000	4984.360000	0.199434
70.700000	4998.490000	0.197163
70.800000	5012.640000	0.194892
70.900000	5026.810000	0.192623
71.000000	5041.000000	0.190357
71.100000	5055.210000	0.188094
71.200000	5069.440000	0.185835
71.300000	5083.690000	0.183582
71.400000	5097.960000	0.181336
71.500000	5112.250000	0.179097
71.600000	5126.560000	0.176867
71.700000	5140.890000	0.174646
71.800000	5155.240000	0.172437
71.900000	5169.610000	0.170238
72.000000	5184.000000	0.168052
72.100000	5198.410000	0.165880
72.200000	5212.840000	0.163723
72.300000	5227.290000	0.161581
72.400000	5241.760000	0.159455
72.500000	5256.250000	0.157347
72.600000	5270.760000	0.155257
72.700000	5285.290000	0.153186
72.800000	5299.840000	0.151136
72.900000	5314.410000	0.149106
73.000000	5329.000000	0.147099
73.100000	5343.610000	0.145115
73.200000	5358.240000	0.143154
73.300000	5372.890000	0.141218
73.400000	5387.560000	0.139307
73.500000	5402.250000	0.137422
73.600000	5416.960000	0.135565
73.700000	5431.690000	0.133736
73.800000	5446.440000	0.131935
73.900000	5461.210000	0.130163
74.000000	5476.000000	0.128422
74.100000	5490.810000	0.126712
74.200000	5505.640000	0.125033
74.300000	5520.490000	0.123386
74.400000	5535.360000	0.121773
74.500000	5550.250000	0.120193
74.600000	5565.160000	0.118648
74.700000	5580.090000	0.117138
74.800000	5595.040000	0.115663
74.900000	5610.010000	0.114224
75.000000	5625.000000	0.112822
75.100000	5640.010000	0.111458
75.200000	5655.040000	0.110131
75.300000	5670.090000	0.108843
75.400000	5685.160000	0.107593
75.500000	5700.250000	0.106383
75.600000	5715.360000	0.105212
75.700000	5730.490000	0.104082
75.800000	5745.640000	0.102992
75.900000	5760.810000	0.101944
76.000000	5776.000000	0.100936
76.100000	5791.210000	0.099971
76.200000	5806.440000	0.099047
76.300000	5821.690000	0.098166
76.400000	5836.960000	0.097327
76.500000	5852.250000	0.096531
76.600000	5867.560000	0.095778
76.700000	5882.890000	0.095069
76.800000	5898.240000	0.094403
76.900000	5913.610000	0.093780
77.000000	5929.000000	0.093202
77.100000	5944.410000	0.092667
77.200000	5959.840000	0.092176
77.300000	5975.290000	0.091729
77.400000	5990.760000	0.091327
77.500000	6006.250000	0.090968
77.600000	6021.760000	0.090654
77.700000	6037.290000	0.090384
77.800000	6052.840000	0.090157
77.900000	6068.410000	0.089975
78.000000	6084.000000	0.089837
78.100000	6099.610000	0.089742
78.200000	6115.240000	0.089691
78.300000	6130.890000	0.089684
78.400000	6146.560000	0.089720
78.500000	6162.250000	0.089799
78.600000	6177.960000	0.089920
78.700000	6193.690000	0.090085
78.800000	6209.440000	0.090291
78.900000	6225.210000	0.090540
79.000000	6241.000000	0.090831
79.100000	6256.810000	0.091162
79.200000	6272.640000	0.091535
79.300000	6288.490000	0.091949
79.400000	6304.360000	0.092403
79.500000	6320.250000	0.092896
79.600000	6336.160000	0.093429
79.700000	6352.090000	0.094001
