# alpha	alpha^2	B*sin(alpha)
0.000000	0.000000	0.000000
0.100000	0.010000	2.409914
0.200000	0.040000	4.819346
0.300000	0.090000	7.227814
0.400000	0.160000	9.634836
0.500000	0.250000	12.039932
0.600000	0.360000	14.442620
0.700000	0.490000	16.842420
0.800000	0.640000	19.238854
0.900000	0.810000	21.631442
1.000000	1.000000	24.019707
1.100000	1.210000	26.403173
1.200000	1.440000	28.781366
1.300000	1.690000	31.153811
1.400000	1.960000	33.520036
1.500000	2.250000	35.879573
1.600000	2.560000	38.231951
1.700000	2.890000	40.576705
1.800000	3.240000	42.913370
1.900000	3.610000	45.241483
2.000000	4.000000	47.560585
2.100000	4.410000	49.870218
2.200000	4.840000	52.169928
2.300000	5.290000	54.459261
2.400000	5.760000	56.737768
2.500000	6.250000	59.005003
2.600000	6.760000	61.260521
2.700000	7.290000	63.503883
2.800000	7.840000	65.734651
2.900000	8.410000	67.952391
3.000000	9.000000	70.156674
3.100000	9.610000	72.347071
3.200000	10.240000	74.523161
3.300000	10.890000	76.684524
3.400000	11.560000	78.830745
3.500000	12.250000	80.961412
3.600000	12.960000	83.076119
3.700000	13.690000	85.174463
3.800000	14.440000	87.256046
3.900000	15.210000	89.320473
4.000000	16.000000	91.367356
4.100000	16.810000	93.396310
4.200000	17.640000	95.406955
4.300000	18.490000	97.398916
4.400000	19.360000	99.371823
4.500000	20.250000	101.325311
4.600000	21.160000	103.259022
4.700000	22.090000	105.172599
4.800000	23.040000	107.065695
4.900000	24.010000	108.937965
5.000000	25.000000	110.789073
5.100000	26.010000	112.618684
5.200000	27.040000	114.426473
5.300000	28.090000	116.212118
5.400000	29.160000	117.975305
5.500000	30.250000	119.715724
5.600000	31.360000	121.433073
5.700000	32.490000	123.127053
5.800000	33.640000	124.797376
5.900000	34.810000	126.443755
6.000000	36.000000	128.065914
6.100000	37.210000	129.663579
6.200000	38.440000	131.236486
6.300000	39.690000	132.784376
6.400000	40.960000	134.306996
6.500000	42.250000	135.804102
6.600000	43.560000	137.275453
6.700000	44.890000	138.720818
6.800000	46.240000	140.139972
6.900000	47.610000	141.532697
7.000000	49.000000	142.898779
7.100000	50.410000	144.238016
7.200000	51.840000	145.550210
7.300000	53.290000	146.835169
7.400000	54.760000	148.092711
7.500000	56.250000	149.322660
7.600000	57.760000	150.524846
7.700000	59.290000	151.699107
7.800000	60.840000	152.845289
7.900000	62.410000	153.963245
8.000000	64.000000	155.052835
8.100000	65.610000	156.113925
8.200000	67.240000	157.146390
8.300000	68.890000	158.150114
8.400000	70.560000	159.124984
8.500000	72.250000	160.070898
8.600000	73.960000	160.987761
8.700000	75.690000	161.875483
8.800000	77.440000	162.733985
8.900000	79.210000	163.563193
9.000000	81.000000	164.363042
9.100000	82.810000	165.133472
9.200000	84.640000	165.874433
9.300000	86.490000	166.585883
9.400000	88.360000	167.267784
9.500000	90.250000	167.920109
9.600000	92.160000	168.542837
9.700000	94.090000	169.135954
9.800000	96.040000	169.699455
9.900000	98.010000	170.233341
10.000000	100.000000	170.737621
10.100000	102.010000	171.212312
10.200000	104.040000	171.657437
10.300000	106.090000	172.073027
10.400000	108.160000	172.459121
10.500000	110.250000	172.815765
10.600000	112.360000	173.143012
10.700000	114.490000	173.440923
10.800000	116.640000	173.709565
10.900000	118.810000	173.949012
11.000000	121.000000	174.159348
11.100000	123.210000	174.340662
11.200000	125.440000	174.493049
11.300000	127.690000	174.616613
11.400000	129.960000	174.711464
11.500000	132.250000	174.777721
11.600000	134.560000	174.815506
11.700000	136.890000	174.824952
11.800000	139.240000	174.806196
11.900000	141.610000	174.759383
12.000000	144.000000	174.684664
12.100000	146.410000	174.582197
12.200000	148.840000	174.452148
12.300000	151.290000	174.294687
12.400000	153.760000	174.109992
12.500000	156.250000	173.898246
12.600000	158.760000	173.659642
12.700000	161.290000	173.394374
12.800000	163.840000	173.102646
12.900000	166.410000	172.784668
13.000000	169.000000	172.440653
13.100000	171.610000	172.070823
13.200000	174.240000	171.675406
13.300000	176.890000	171.254633
13.400000	179.560000	170.808743
13.500000	182.250000	170.337980
13.600000	184.960000	169.842595
13.700000	187.690000	169.322841
13.800000	190.440000	168.778981
13.900000	193.210000	168.211279
14.000000	196.000000	167.620007
14.100000	198.810000	167.005441
14.200000	201.640000	166.367863
14.300000	204.490000	165.707558
14.400000	207.360000	165.024819
14.500000	210.250000	164.319940
14.600000	213.160000	163.593223
14.700000	216.090000	162.844972
14.800000	219.040000	162.075497
14.900000	222.010000	161.285113
15.000000	225.000000	160.474137
15.100000	228.010000	159.642892
15.200000	231.040000	158.791704
15.300000	234.090000	157.920903
15.400000	237.160000	157.030825
15.500000	240.250000	156.121806
15.600000	243.360000	155.194189
15.700000	246.490000	154.248319
15.800000	249.640000	153.284544
15.900000	252.810000	152.303216
16.000000	256.000000	151.304691
16.100000	259.210000	150.289326
16.200000	262.440000	149.257483
16.300000	265.690000	148.209525
16.400000	268.960000	147.145819
16.500000	272.250000	146.066735
16.600000	275.560000	144.972645
16.700000	278.890000	143.863923
16.800000	282.240000	142.740945
16.900000	285.610000	141.604091
17.000000	289.000000	140.453740
17.100000	292.410000	139.290276
17.200000	295.840000	138.114084
17.300000	299.290000	136.925549
17.400000	302.760000	135.725059
17.500000	306.250000	134.513005
17.600000	309.760000	133.289775
17.700000	313.290000	132.055763
17.800000	316.840000	130.811361
17.900000	320.410000	129.556964
18.000000	324.000000	128.292966
18.100000	327.610000	127.019762
18.200000	331.240000	125.737749
18.300000	334.890000	124.447325
18.400000	338.560000	123.148885
18.500000	342.250000	121.842828
18.600000	345.960000	120.529551
18.700000	349.690000	119.209451
18.800000	353.440000	117.882928
18.900000	357.210000	116.550377
19.000000	361.000000	115.212195
19.100000	364.810000	113.868781
19.200000	368.640000	112.520529
19.300000	372.490000	111.167836
19.400000	376.360000	109.811096
19.500000	380.250000	108.450703
19.600000	384.160000	107.087050
19.700000	388.090000	105.720528
19.800000	392.040000	104.351529
19.900000	396.010000	102.980441
20.000000	400.000000	101.607652
20.100000	404.010000	100.233549
20.200000	408.040000	98.858516
20.300000	412.090000	97.482935
20.400000	416.160000	96.107189
20.500000	420.250000	94.731655
20.600000	424.360000	93.356710
20.700000	428.490000	91.982730
20.800000	432.640000	90.610087
20.900000	436.810000	89.239149
21.000000	441.000000	87.870286
21.100000	445.210000	86.503861
21.200000	449.440000	85.140238
21.300000	453.690000	83.779774
21.400000	457.960000	82.422826
21.500000	462.250000	81.069749
21.600000	466.560000	79.720892
21.700000	470.890000	78.376602
21.800000	475.240000	77.037222
21.900000	479.610000	75.703095
22.000000	484.000000	74.374556
22.100000	488.410000	73.051938
22.200000	492.840000	71.735572
22.300000	497.290000	70.425783
22.400000	501.760000	69.122895
22.500000	506.250000	67.827224
22.600000	510.760000	66.539085
22.700000	515.290000	65.258789
22.800000	519.840000	63.986642
22.900000	524.410000	62.722945
23.000000	529.000000	61.467996
23.100000	533.610000	60.222088
23.200000	538.240000	58.985510
23.300000	542.890000	57.758546
23.400000	547.560000	56.541476
23.500000	552.250000	55.334575
23.600000	556.960000	54.138112
23.700000	561.690000	52.952355
23.800000	566.440000	51.777562
23.900000	571.210000	50.613990
24.000000	576.000000	49.461889
24.100000	580.810000	48.321506
24.200000	585.640000	47.193081
24.300000	590.490000	46.076849
24.400000	595.360000	44.973040
24.500000	600.250000	43.881880
24.600000	605.160000	42.803588
24.700000	610.090000	41.738380
24.800000	615.040000	40.686462
24.900000	620.010000	39.648041
25.000000	625.000000	38.623313
25.100000	630.010000	37.612471
25.200000	635.040000	36.615702
25.300000	640.090000	35.633187
25.400000	645.160000	34.665104
25.500000	650.250000	33.711621
25.600000	655.360000	32.772903
25.700000	660.490000	31.849109
25.800000	665.640000	30.940393
25.900000	670.810000	30.046901
26.000000	676.000000	29.168775
26.100000	681.210000	28.306151
26.200000	686.440000	27.459159
26.300000	691.690000	26.627923
26.400000	696.960000	25.812561
26.500000	702.250000	25.013186
26.600000	707.560000	24.229903
26.700000	712.890000	23.462814
26.800000	718.240000	22.712014
26.900000	723.610000	21.977591
27.000000	729.000000	21.259627
27.100000	734.410000	20.558202
27.200000	739.840000	19.873384
27.300000	745.290000	19.205240
27.400000	750.760000	18.553829
27.500000	756.250000	17.919204
27.600000	761.760000	17.301414
27.700000	767.290000	16.700499
27.800000	772.840000	16.116495
27.900000	778.410000	15.549433
28.000000	784.000000	14.999337
28.100000	789.610000	14.466225
28.200000	795.240000	13.950109
28.300000	800.890000	13.450997
28.400000	806.560000	12.968890
28.500000	812.250000	12.503782
28.600000	817.960000	12.055664
28.700000	823.690000	11.624520
28.800000	829.440000	11.210327
28.900000	835.210000	10.813059
29.000000	841.000000	10.432683
29.100000	846.810000	10.069161
29.200000	852.640000	9.722448
29.300000	858.490000	9.392495
29.400000	864.360000	9.079248
29.500000	870.250000	8.782647
29.600000	876.160000	8.502625
29.700000	882.090000	8.239113
29.800000	888.040000	7.992034
29.900000	894.010000	7.761308
30.000000	900.000000	7.546847
30.100000	906.010000	7.348561
30.200000	912.040000	7.166354
30.300000	918.090000	7.000123
30.400000	924.160000	6.849762
30.500000	930.250000	6.715161
30.600000	936.360000	6.596203
30.700000	942.490000	6.492768
30.800000	948.640000	6.404729
30.900000	954.810000	6.331958
31.000000	961.000000	6.274319
31.100000	967.210000	6.231674
31.200000	973.440000	6.203878
31.300000	979.690000	6.190784
31.400000	985.960000	6.192240
31.500000	992.250000	6.208090
31.600000	998.560000	6.238172
31.700000	1004.890000	6.282323
31.800000	1011.240000	6.340373
31.900000	1017.610000	6.412151
32.000000	1024.000000	6.497479
32.100000	1030.410000	6.596178
32.200000	1036.840000	6.708064
32.300000	1043.290000	6.832949
32.400000	1049.760000	6.970643
32.500000	1056.250000	7.120950
32.600000	1062.760000	7.283675
32.700000	1069.290000	7.458614
32.800000	1075.840000	7.645564
32.900000	1082.410000	7.844318
33.000000	1089.000000	8.054666
33.100000	1095.610000	8.276393
33.200000	1102.240000	8.509284
33.300000	1108.890000	8.753119
33.400000	1115.560000	9.007678
33.500000	1122.250000	9.272736
33.600000	1128.960000	9.548066
33.700000	1135.690000	9.833438
33.800000	1142.440000	10.128623
33.900000	1149.210000	10.433385
34.000000	1156.000000	10.747490
34.100000	1162.810000	11.070698
34.200000	1169.640000	11.402771
34.300000	1176.490000	11.743467
34.400000	1183.360000	12.092542
34.500000	1190.250000	12.449750
34.600000	1197.160000	12.814847
34.700000	1204.090000	13.187582
34.800000	1211.040000	13.567707
34.900000	1218.010000	13.954970
35.000000	1225.000000	14.349120
35.100000	1232.010000	14.749904
35.200000	1239.040000	15.157066
35.300000	1246.090000	15.570353
35.400000	1253.160000	15.989507
35.500000	1260.250000	16.414273
35.600000	1267.360000	16.844392
35.700000	1274.490000	17.279607
35.800000	1281.640000	17.719660
35.900000	1288.810000	18.164292
36.000000	1296.000000	18.613244
36.100000	1303.210000	19.066256
36.200000	1310.440000	19.523070
36.300000	1317.690000	19.983426
36.400000	1324.960000	20.447065
36.500000	1332.250000	20.913729
36.600000	1339.560000	21.383158
36.700000	1346.890000	21.855095
36.800000	1354.240000	22.329281
36.900000	1361.610000	22.805460
37.000000	1369.000000	23.283374
37.100000	1376.410000	23.762769
37.200000	1383.840000	24.243389
37.300000	1391.290000	24.724979
37.400000	1398.760000	25.207288
37.500000	1406.250000	25.690063
37.600000	1413.760000	26.173054
37.700000	1421.290000	26.656010
37.800000	1428.840000	27.138684
37.900000	1436.410000	27.620829
38.000000	1444.000000	28.102200
38.100000	1451.610000	28.582553
38.200000	1459.240000	29.061647
38.300000	1466.890000	29.539241
38.400000	1474.560000	30.015097
38.500000	1482.250000	30.488978
38.600000	1489.960000	30.960651
38.700000	1497.690000	31.429883
38.800000	1505.440000	31.896444
38.900000	1513.210000	32.360105
39.000000	1521.000000	32.820643
39.100000	1528.810000	33.277832
39.200000	1536.640000	33.731453
39.300000	1544.490000	34.181287
39.400000	1552.360000	34.627119
39.500000	1560.250000	35.068736
39.600000	1568.160000	35.505927
39.700000	1576.090000	35.938485
39.800000	1584.040000	36.366205
39.900000	1592.010000	36.788886
40.000000	1600.000000	37.206329
40.100000	1608.010000	37.618339
40.200000	1616.040000	38.024722
40.300000	1624.090000	38.425290
40.400000	1632.160000	38.819856
40.500000	1640.250000	39.208237
40.600000	1648.360000	39.590255
40.700000	1656.490000	39.965732
40.800000	1664.640000	40.334496
40.900000	1672.810000	40.696378
41.000000	1681.000000	41.051211
41.100000	1689.210000	41.398835
41.200000	1697.440000	41.739091
41.300000	1705.690000	42.071822
41.400000	1713.960000	42.396880
41.500000	1722.250000	42.714116
41.600000	1730.560000	43.023386
41.700000	1738.890000	43.324552
41.800000	1747.240000	43.617477
41.900000	1755.610000	43.902029
42.000000	1764.000000	44.178080
42.100000	1772.410000	44.445507
42.200000	1780.840000	44.704189
42.300000	1789.290000	44.954011
42.400000	1797.760000	45.194861
42.500000	1806.250000	45.426630
42.600000	1814.760000	45.649216
42.700000	1823.290000	45.862519
42.800000	1831.840000	46.066443
42.900000	1840.410000	46.260897
43.000000	1849.000000	46.445795
43.100000	1857.610000	46.621053
43.200000	1866.240000	46.786594
43.300000	1874.890000	46.942342
43.400000	1883.560000	47.088229
43.500000	1892.250000	47.224188
43.600000	1900.960000	47.350157
43.700000	1909.690000	47.466081
43.800000	1918.440000	47.571905
43.900000	1927.210000	47.667582
44.000000	1936.000000	47.753068
44.100000	1944.810000	47.828321
44.200000	1953.640000	47.893307
44.300000	1962.490000	47.947995
44.400000	1971.360000	47.992357
44.500000	1980.250000	48.026371
44.600000	1989.160000	48.050018
44.700000	1998.090000	48.063284
44.800000	2007.040000	48.066159
44.900000	2016.010000	48.058639
45.000000	2025.000000	48.040720
45.100000	2034.010000	48.012407
45.200000	2043.040000	47.973705
45.300000	2052.090000	47.924628
45.400000	2061.160000	47.865189
45.500000	2070.250000	47.795409
45.600000	2079.360000	47.715311
45.700000	2088.490000	47.624924
45.800000	2097.640000	47.524279
45.900000	2106.810000	47.413412
46.000000	2116.000000	47.292364
46.100000	2125.210000	47.161177
46.200000	2134.440000	47.019902
46.300000	2143.690000	46.868589
46.400000	2152.960000	46.707294
46.500000	2162.250000	46.536078
46.600000	2171.560000	46.355003
46.700000	2180.890000	46.164138
46.800000	2190.240000	45.963554
46.900000	2199.610000	45.753325
47.000000	2209.000000	45.533530
47.100000	2218.410000	45.304252
47.200000	2227.840000	45.065576
47.300000	2237.290000	44.817592
47.400000	2246.760000	44.560393
47.500000	2256.250000	44.294075
47.600000	2265.760000	44.018738
47.700000	2275.290000	43.734486
47.800000	2284.840000	43.441425
47.900000	2294.410000	43.139665
48.000000	2304.000000	42.829318
48.100000	2313.610000	42.510502
48.200000	2323.240000	42.183334
48.300000	2332.890000	41.847939
48.400000	2342.560000	41.504441
48.500000	2352.250000	41.152968
48.600000	2361.960000	40.793653
48.700000	2371.690000	40.426627
48.800000	2381.440000	40.052030
48.900000	2391.210000	39.669999
49.000000	2401.000000	39.280678
49.100000	2410.810000	38.884210
49.200000	2420.640000	38.480744
49.300000	2430.490000	38.070428
49.400000	2440.360000	37.653416
49.500000	2450.250000	37.229860
49.600000	2460.160000	36.799919
49.700000	2470.090000	36.363751
49.800000	2480.040000	35.921516
49.900000	2490.010000	35.473379
50.000000	2500.000000	35.019503
50.100000	2510.010000	34.560056
50.200000	2520.040000	34.095206
50.300000	2530.090000	33.625125
50.400000	2540.160000	33.149984
50.500000	2550.250000	32.669957
50.600000	2560.360000	32.185221
50.700000	2570.490000	31.695951
50.800000	2580.640000	31.202326
50.900000	2590.810000	30.704526
51.000000	2601.000000	30.202732
51.100000	2611.210000	29.697125
51.200000	2621.440000	29.187891
51.300000	2631.690000	28.675212
51.400000	2641.960000	28.159274
51.500000	2652.250000	27.640264
51.600000	2662.560000	27.118368
51.700000	2672.890000	26.593775
51.800000	2683.240000	26.066672
51.900000	2693.610000	25.537250
52.000000	2704.000000	25.005698
52.100000	2714.410000	24.472205
52.200000	2724.840000	23.936963
52.300000	2735.290000	23.400163
52.400000	2745.760000	22.861995
52.500000	2756.250000	22.322651
52.600000	2766.760000	21.782322
52.700000	2777.290000	21.241199
52.800000	2787.840000	20.699475
52.900000	2798.410000	20.157339
53.000000	2809.000000	19.614983
53.100000	2819.610000	19.072598
53.200000	2830.240000	18.530374
53.300000	2840.890000	17.988501
53.400000	2851.560000	17.447168
53.500000	2862.250000	16.906564
53.600000	2872.960000	16.366878
53.700000	2883.690000	15.828297
53.800000	2894.440000	15.291008
53.900000	2905.210000	14.755196
54.000000	2916.000000	14.221047
54.100000	2926.810000	13.688744
54.200000	2937.640000	13.158471
54.300000	2948.490000	12.630409
54.400000	2959.360000	12.104740
54.500000	2970.250000	11.581641
54.600000	2981.160000	11.061292
54.700000	2992.090000	10.543869
54.800000	3003.040000	10.029547
54.900000	3014.010000	9.518500
55.000000	3025.000000	9.010900
55.100000	3036.010000	8.506917
55.200000	3047.040000	8.006720
55.300000	3058.090000	7.510477
55.400000	3069.160000	7.018352
55.500000	3080.250000	6.530508
55.600000	3091.360000	6.047108
55.700000	3102.490000	5.568309
55.800000	3113.640000	5.094270
55.900000	3124.810000	4.625146
56.000000	3136.000000	4.161090
56.100000	3147.210000	3.702252
56.200000	3158.440000	3.248781
56.300000	3169.690000	2.800823
56.400000	3180.960000	2.358522
56.500000	3192.250000	1.922019
56.600000	3203.560000	1.491453
56.700000	3214.890000	1.066961
56.800000	3226.240000	0.648676
56.900000	3237.610000	0.236729
57.000000	3249.000000	-0.168750
57.100000	3260.410000	-0.567637
57.200000	3271.840000	-0.959808
57.300000	3283.290000	-1.345143
57.400000	3294.760000	-1.723524
57.500000	3306.250000	-2.094837
57.600000	3317.760000	-2.458971
57.700000	3329.290000	-2.815816
57.800000	3340.840000	-3.165267
57.900000	3352.410000	-3.507221
58.000000	3364.000000	-3.841578
