 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    4   1109.3978     15.7932    2.815905E+02
    5     37.9402     30.0000    1.177011E+01
    6    196.7076     41.3615    7.211949E+01
    7     28.7180     51.9870    1.214881E+01
    8     96.0062     62.4915    4.602951E+01
    9     24.0411     73.2213    1.288238E+01
   10     63.3025     84.4782    3.749111E+01
   11     20.6072     96.6307    1.336703E+01
   12     51.1384    110.2679    3.605581E+01
   13     19.1126    126.6264    1.455364E+01
   14     65.4381    150.0000    5.352009E+01
