 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    1  14117.5056      9.5941    2.540971E+03
    2     50.6017     21.6166    1.517944E+01
    3    898.0406     32.3115    3.771504E+02
    4     19.9680     42.9064    1.078196E+01
    5    200.8004     53.7288    1.325189E+02
    6     15.7351     65.0026    1.227251E+01
    7     93.6650     76.9751    8.429254E+01
    8     12.7761     90.0000    1.303070E+01
    9     66.9157    104.6875    7.627850E+01
   10     13.9550    122.3618    1.758206E+01
   11     76.2384    147.6885    1.052016E+02
