 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    5    473.8246     16.7787    1.256632E+02
    6     19.9591     31.4627    6.255790E+00
    7    129.9899     43.0191    4.701092E+01
    8     14.9947     53.7106    6.145887E+00
    9     69.2548     64.2024    3.172498E+01
   10     14.0778     74.8637    7.127742E+00
   11     49.0054     86.0072    2.717501E+01
   12     12.5031     98.0052    7.536255E+00
   13     44.5645    111.4422    2.901020E+01
   14     13.8398    127.5369    9.676665E+00
   15     59.2038    150.5038    4.424958E+01
