 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    1  25275.0398      5.2159    2.485978E+03
    2    211.9049     11.6891    3.473723E+01
    3   1528.0287     17.3761    3.506822E+02
    4     53.4462     22.9023    1.577043E+01
    5    327.8223     28.3967    1.182266E+02
    6     29.6814     33.9133    1.265062E+01
    7    136.5690     39.4850    6.716261E+01
    8     20.1312     45.1381    1.122026E+01
    9     76.5838     50.8974    4.770619E+01
   10     15.7461     56.7891    1.084118E+01
   11     51.5914     62.8427    3.890356E+01
   12     15.4608     69.0932    1.267232E+01
   13     40.3549     75.5837    3.572270E+01
   14     14.2896     82.3697    1.358633E+01
   15     32.5929     89.5245    3.312599E+01
   16     12.9635     97.1509    1.402557E+01
   17     29.2133    105.4004    3.352223E+01
   18     13.3290    114.5156    1.616901E+01
   19     32.3580    124.9331    4.137428E+01
   20     13.6440    137.6119    1.834044E+01
   21     47.3277    155.9052    6.672185E+01
