 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    1  18665.7802      7.1808    2.522393E+03
    2     95.6431     16.1247    2.154116E+01
    3   1153.3078     24.0185    3.636543E+02
    4     35.6029     31.7426    1.443355E+01
    5    248.3183     39.4952    1.230401E+02
    6     20.1098     47.3758    1.177597E+01
    7    109.2405     55.4624    7.381087E+01
    8     15.3142     63.8349    1.172705E+01
    9     66.8995     72.5891    5.725612E+01
   10     14.5949     81.8516    1.380593E+01
   11     49.1935     91.8049    5.096605E+01
   12     13.1953    102.7372    1.485952E+01
   13     45.9653    115.1640    5.590353E+01
   14     14.1710    130.2174    1.851160E+01
   15     61.2140    151.8745    8.547869E+01
