 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    3   2129.9478     11.1658    3.917479E+02
    4     31.5321     21.5486    7.456501E+00
    5    310.0037     29.9570    8.959819E+01
    6     23.3153     37.8189    7.963867E+00
    7    123.2588     45.5116    4.857903E+01
    8     17.4789     53.2135    7.807333E+00
    9     69.4908     61.0422    3.469130E+01
   10     16.4295     69.0991    9.065323E+00
   11     49.3898     77.4906    2.984728E+01
   12     12.7968     86.3474    8.405839E+00
   13     40.9440     95.8503    2.904649E+01
   14     13.5029    106.2785    1.028880E+01
   15     38.9615    118.1267    3.173489E+01
   16     14.5939    132.4761    1.265392E+01
   17     55.0336    153.1108    5.060992E+01
