 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    3   1657.7244     14.4775    3.961046E+02
    4     22.4870     28.0936    6.908338E+00
    5    248.7421     39.2315    9.339885E+01
    6     14.7580     49.7970    6.548931E+00
    7    102.7170     60.3381    5.259363E+01
    8     12.8160     71.1708    7.437054E+00
    9     64.2895     82.5824    4.169588E+01
   10     12.1402     94.9373    8.702513E+00
   11     52.2552    108.8292    4.102578E+01
   12     13.9271    125.5172    1.188503E+01
   13     68.5187    149.3911    6.314986E+01
