 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    2   8695.6880     12.6044    1.881278E+03
    3     56.7181     25.4837    1.717903E+01
    4    595.1577     36.3784    2.317681E+02
    5     37.7138     46.9113    1.795031E+01
    6    160.3088     57.5377    9.017367E+01
    7     29.1521     68.5332    1.892083E+01
    8     87.9610     80.1667    6.470206E+01
    9     23.4177     92.7969    1.925204E+01
   10     66.6269    107.0239    6.054077E+01
   11     20.8272    124.1348    2.072706E+01
   12     78.8822    148.6398    8.532927E+01
