 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    2  10002.7656     10.8934    1.871091E+03
    3     74.5221     21.9629    1.951587E+01
    4    667.6618     31.2749    2.248039E+02
    5     37.3894     40.2030    1.538672E+01
    6    181.4039     49.1066    8.822563E+01
    7     31.0264     58.1728    1.741115E+01
    8     90.0891     67.5497    5.729622E+01
    9     24.3354     77.3956    1.729804E+01
   10     63.4928     87.9157    4.988254E+01
   11     20.3576     99.4196    1.751698E+01
   12     50.8652    112.4503    4.757355E+01
   13     18.5346    128.1909    1.872198E+01
   14     67.5324    150.7941    7.326811E+01
