#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 23 86.435563 51.779124 2681.077640 86.376279 44.959740 2021.378197 0.059284 6.81938 659.699
2 24 83.508077 51.941394 2697.908453 83.562324 47.234292 2231.078302 -0.054247 4.7071 466.83
3 25 81.677299 52.026268 2706.732611 81.750584 48.459301 2348.303867 -0.073285 3.56697 358.429
4 26 79.435810 51.800524 2683.294260 79.539825 48.948419 2395.947756 -0.104015 2.85211 287.347
5 27 76.618416 51.218414 2623.325969 76.766895 48.865234 2387.811065 -0.148479 2.35318 235.515
6 28 74.664195 51.046634 2605.758846 74.816000 49.033871 2404.320461 -0.151805 2.01276 201.438
7 29 72.238588 50.530635 2553.345036 72.411237 48.791327 2380.593635 -0.172649 1.73931 172.751
8 30 67.687937 48.647598 2366.588759 67.934515 47.172529 2225.247509 -0.246578 1.47507 141.341
9 31 63.954595 47.031396 2211.952186 64.233246 45.744687 2092.576363 -0.278651 1.28671 119.376
10 32 60.824904 46.181702 2132.749590 61.113200 45.019087 2026.718233 -0.288296 1.16262 106.031
11 33 58.689730 45.404707 2061.587445 58.973103 44.353050 1967.193022 -0.283373 1.05166 94.3944
12 34 54.189551 43.781314 1916.803450 54.510931 42.839442 1835.217751 -0.32138 0.941872 81.5857
13 35 51.607752 41.876867 1753.672015 51.940621 41.039440 1684.235622 -0.332869 0.837427 69.4364
14 36 46.660342 39.467879 1557.713486 47.015971 38.709944 1498.459800 -0.355629 0.757935 59.2537
15 37 45.254395 38.502494 1482.442065 45.604294 37.795434 1428.494868 -0.349899 0.70706 53.9472
16 38 41.280348 34.644413 1200.235368 41.624653 34.045381 1159.087942 -0.344305 0.599032 41.1474
17 39 38.131297 32.023238 1025.487786 38.504470 31.469351 990.320035 -0.373173 0.553887 35.1678
18 40 35.487000 28.915538 836.108321 35.844328 28.416739 807.511071 -0.357328 0.498799 28.5973
19 41 32.310104 26.363741 695.046846 32.677157 25.876088 669.571917 -0.367053 0.487653 25.4749
20 42 31.539308 23.720194 562.647580 31.860497 23.267642 541.383142 -0.321189 0.452552 21.2644
21 43 30.124692 22.674383 514.127651 30.439787 22.232497 494.283940 -0.315095 0.441886 19.8437
22 44 30.465511 22.504577 506.455965 30.761993 22.091056 488.014765 -0.296482 0.413521 18.4412
23 45 28.517198 21.055569 443.336978 28.812178 20.642856 426.127513 -0.29498 0.412713 17.2095
24 46 28.210447 20.351796 414.195592 28.491467 19.946331 397.856128 -0.28102 0.405465 16.3395
25 47 26.280631 19.085905 364.271778 26.566229 18.678040 348.869182 -0.285598 0.407865 15.4026
26 48 25.837523 19.669151 386.875509 26.126496 19.275340 371.538749 -0.288973 0.393811 15.3368
27 49 25.013842 17.648520 311.470241 25.274818 17.268906 298.215105 -0.260976 0.379614 13.2551
28 50 24.116814 17.131644 293.493242 24.372373 16.762663 280.986867 -0.255559 0.368981 12.5064
