#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 13 81.302316 51.358533 2637.698959 81.333492 44.600150 1989.173381 -0.031176 6.75838 648.526
2 14 75.478781 51.084131 2609.588397 75.742897 46.477195 2160.129673 -0.264116 4.60694 449.459
3 15 71.479648 50.799834 2580.623174 71.793004 47.347889 2241.822620 -0.313356 3.45194 338.801
4 16 67.905930 50.281174 2528.196466 68.239996 47.545431 2260.567978 -0.334066 2.73574 267.628
5 17 65.325062 50.086824 2508.689949 65.643401 47.818890 2286.646276 -0.318339 2.26793 222.044
6 18 63.093284 49.850701 2485.092412 63.395388 47.921544 2296.474333 -0.302104 1.92916 188.618
7 19 60.732970 49.325544 2433.009327 61.031432 47.662109 2271.676593 -0.298462 1.66343 161.333
8 20 59.012419 49.140863 2414.824422 59.291546 47.670452 2272.472002 -0.279127 1.47041 142.352
9 21 57.282635 48.782254 2379.708329 57.549811 47.474257 2253.805119 -0.267176 1.308 125.903
10 22 55.150406 47.998797 2303.884490 55.419852 46.837240 2193.727064 -0.269446 1.16156 110.157
11 23 53.427171 47.484447 2254.772663 53.687510 46.432397 2155.967478 -0.260339 1.05205 98.8052
12 24 51.743997 46.857869 2195.659907 51.998811 45.904129 2107.189077 -0.254814 0.95374 88.4708
13 25 48.794286 44.884049 2014.577840 49.070254 44.052889 1940.656991 -0.275968 0.83116 73.9208
14 26 45.749015 42.816327 1833.237837 46.039081 42.079974 1770.724194 -0.290066 0.736353 62.5136
15 27 43.770085 41.600272 1730.582602 44.054068 40.921337 1674.555819 -0.283983 0.678935 56.0268
16 28 41.775352 40.441374 1635.504699 42.053604 39.816856 1585.382054 -0.278252 0.624518 50.1226
17 29 39.962964 39.112476 1529.785817 40.239982 38.540652 1485.381823 -0.277018 0.571824 44.404
18 30 36.882405 36.736639 1349.580621 37.164556 36.232772 1312.813738 -0.282151 0.503867 36.7669
19 31 35.041650 35.191264 1238.425036 35.327181 34.722788 1205.671983 -0.285531 0.468476 32.7531
20 32 32.929716 33.333292 1111.108374 33.198820 32.909485 1083.034219 -0.269104 0.423807 28.0742
21 33 30.827151 31.336111 981.951822 31.102807 30.950389 957.926551 -0.275656 0.385722 24.0253
22 34 28.532325 28.068938 787.865266 28.794429 27.739854 769.499480 -0.262104 0.329084 18.3658
23 35 26.344023 25.812459 666.283049 26.606610 25.507424 650.628688 -0.262587 0.305035 15.6544
24 36 25.704985 24.053467 578.569274 25.946006 23.770806 565.051238 -0.241021 0.282661 13.518
25 37 24.296690 22.470747 504.934454 24.528002 22.203093 492.977335 -0.231312 0.267654 11.9571
26 38 23.622666 21.153302 447.462190 23.840701 20.896420 436.660386 -0.218035 0.256882 10.8018
27 39 22.451472 19.972545 398.902541 22.658812 19.729882 389.268227 -0.20734 0.242663 9.63431
28 40 22.374029 19.226956 369.675822 22.567065 18.991477 360.676204 -0.193036 0.235479 8.99962
29 41 21.485584 18.079781 326.878482 21.663877 17.860192 318.986454 -0.178293 0.219589 7.89203
30 42 20.795153 17.781745 316.190457 20.974762 17.562698 308.448360 -0.179609 0.219047 7.7421
31 43 20.506101 17.167817 294.733946 20.676781 16.955795 287.499000 -0.17068 0.212022 7.23495
32 44 20.753951 16.634142 276.694665 20.908628 16.436398 270.155175 -0.154677 0.197744 6.53949
33 45 19.946086 16.255582 264.243959 20.108497 16.050603 257.621843 -0.162411 0.204979 6.62212
34 46 18.694393 16.271861 264.773456 18.872283 16.061829 257.982345 -0.17789 0.210032 6.79111
35 47 18.764680 15.119300 228.593231 18.919902 14.920971 222.635365 -0.155222 0.198329 5.95787
36 48 17.889705 14.754100 217.683454 18.049791 14.554748 211.840688 -0.160086 0.199352 5.84277
37 49 19.059884 14.988194 224.645958 19.210368 14.790731 218.765725 -0.150484 0.197463 5.88023
38 50 18.699595 14.626811 213.943612 18.837498 14.444834 208.653234 -0.137903 0.181977 5.29038
