#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 19 84.900748 51.692950 2672.161070 84.874024 44.887207 2014.861371 0.026724 6.80574 657.3
2 20 82.264214 52.065024 2710.766775 82.326846 47.366188 2243.555768 -0.062632 4.69884 467.211
3 21 79.728504 51.918014 2695.480195 79.833345 48.370464 2339.701747 -0.104841 3.54755 355.778
4 22 77.011566 51.555611 2657.981012 77.153089 48.727309 2374.350609 -0.141523 2.8283 283.63
5 23 75.165249 51.515269 2653.822934 75.304052 49.158598 2416.567784 -0.138803 2.35667 237.255
6 24 73.127535 51.246923 2626.247158 73.275446 49.241137 2424.689551 -0.147911 2.00579 201.558
7 25 70.528487 50.585534 2558.896234 70.701229 48.859736 2387.273775 -0.172742 1.7258 171.622
8 26 68.597113 50.274715 2527.546999 68.769563 48.750718 2376.632461 -0.17245 1.524 150.915
9 27 66.449120 49.723684 2472.444791 66.630687 48.373089 2339.955786 -0.181567 1.35059 132.489
10 28 62.378068 47.789756 2283.860798 62.612760 46.627536 2174.127107 -0.234692 1.16222 109.734
11 29 58.910018 45.960441 2112.362108 59.168725 44.938290 2019.449926 -0.258707 1.02215 92.9122
12 30 56.237271 44.919780 2017.786605 56.498018 43.988921 1935.025152 -0.260747 0.930859 82.7615
13 31 54.044368 44.035666 1939.139843 54.303587 43.182713 1864.746738 -0.259219 0.852953 74.3931
14 32 49.860337 42.360031 1794.372255 50.148873 41.589968 1729.725406 -0.288536 0.770063 64.6468
15 33 47.641388 40.521923 1642.026257 47.936837 39.832111 1586.597053 -0.295449 0.689812 55.4292
16 34 43.924158 38.251060 1463.143561 44.221791 37.635837 1416.456252 -0.297633 0.615223 46.6873
17 35 41.996589 37.092770 1375.873557 42.298426 36.510275 1333.000168 -0.301837 0.582495 42.8734
18 36 37.872924 33.577710 1127.462618 38.178049 33.080894 1094.345518 -0.305125 0.496816 33.1171
19 37 34.840481 30.897673 954.666190 35.168362 30.438447 926.499061 -0.327881 0.459226 28.1671
20 38 33.574962 27.919848 779.517928 33.862239 27.523043 757.517882 -0.287277 0.396805 22
21 39 31.206444 26.079575 680.144225 31.498530 25.695555 660.261535 -0.292086 0.38402 19.8827
22 40 29.724385 24.091799 580.414770 29.998752 23.732657 563.238999 -0.274367 0.359142 17.1758
23 41 27.641573 22.196617 492.689793 27.910875 21.846862 477.285375 -0.269302 0.349755 15.4044
24 42 27.685457 21.129700 446.464210 27.933113 20.792290 432.319316 -0.247656 0.33741 14.1449
25 43 26.577959 20.285670 411.508412 26.819584 19.956300 398.253896 -0.241625 0.32937 13.2545
26 44 26.379104 20.002499 400.099947 26.611591 19.687077 387.580991 -0.232487 0.315422 12.519
27 45 25.266209 19.024548 361.933434 25.495364 18.708403 350.004349 -0.229155 0.316145 11.9291
28 46 24.785034 18.832171 354.650658 25.020297 18.512171 342.700485 -0.235263 0.32 11.9502
29 47 23.764365 17.527157 307.201234 23.984383 17.219782 296.520888 -0.220018 0.307375 10.6803
30 48 22.736303 17.696333 313.160194 22.964962 17.394492 302.568341 -0.228659 0.301841 10.5919
31 49 23.400527 16.621346 276.269156 23.598132 16.335663 266.853887 -0.197605 0.285683 9.41527
32 50 22.725436 16.246988 263.964618 22.918598 15.969744 255.032718 -0.193162 0.277244 8.9319
