#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 24 85.723227 51.732663 2676.268424 85.715535 44.913796 2017.249058 0.007692 6.81887 659.019
2 25 82.419705 51.839678 2687.352197 82.541707 47.135736 2221.777645 -0.122002 4.70394 465.575
3 26 79.108051 51.487190 2650.930779 79.304646 47.943103 2298.541127 -0.196595 3.54409 352.39
4 27 76.430391 51.238687 2625.403000 76.651599 48.404102 2342.957094 -0.221208 2.83458 282.446
5 28 73.811210 50.812632 2581.923588 74.051696 48.465196 2348.875235 -0.240486 2.34744 233.048
6 29 71.123508 50.293858 2529.472132 71.381429 48.299704 2332.861397 -0.257921 1.99415 196.611
7 30 68.623194 49.899752 2489.985202 68.889832 48.165140 2319.880698 -0.266638 1.73461 170.105
8 31 66.692171 49.548247 2455.028829 66.953786 48.016321 2305.567094 -0.261615 1.53193 149.462
9 32 64.882855 49.203036 2420.938721 65.138455 47.834198 2288.110481 -0.2556 1.36884 132.828
10 33 62.138728 48.045467 2308.366925 62.413889 46.837131 2193.716873 -0.275161 1.20834 114.65
11 34 56.911271 45.163572 2039.748268 57.250059 44.130263 1947.480104 -0.338788 1.03331 92.2682
12 35 52.494544 42.146659 1776.340907 52.871408 41.246347 1701.261135 -0.376864 0.900312 75.0798
13 36 48.265362 39.356669 1548.947408 48.659546 38.550026 1486.104506 -0.394184 0.806643 62.8429
14 37 45.230408 36.441104 1327.954042 45.623385 35.724714 1276.255160 -0.392977 0.71639 51.6989
15 38 41.118721 33.139579 1098.231728 41.520552 32.490219 1055.614343 -0.401831 0.64936 42.6174
16 39 38.299921 31.039526 963.452155 38.712893 30.420511 925.407481 -0.412972 0.619015 38.0447
17 40 35.785800 28.107412 790.026598 36.179079 27.538497 758.368825 -0.393279 0.568915 31.6578
18 41 32.223539 25.768318 664.006207 32.638941 25.207322 635.409066 -0.415402 0.560996 28.5971
19 42 31.109756 24.218690 586.544965 31.500917 23.689152 561.175944 -0.391161 0.529538 25.369
20 43 29.115734 22.393318 501.460694 29.496409 21.879619 478.717706 -0.380675 0.513699 22.743
21 44 28.485342 21.132505 446.582780 28.837478 20.640413 426.026644 -0.352136 0.492092 20.5561
22 45 26.602646 19.314305 373.042392 26.940300 18.833755 354.710329 -0.337654 0.48055 18.3321
23 46 25.791060 18.689610 349.301507 26.117860 18.226512 332.205727 -0.3268 0.463098 17.0958
24 47 25.684047 18.457489 340.678892 25.999083 18.005509 324.198368 -0.315036 0.45198 16.4805
25 48 25.784785 18.550625 344.125674 26.087336 18.116350 328.202119 -0.302551 0.434275 15.9236
26 49 24.771311 16.799164 282.211919 25.050536 16.376522 268.190479 -0.279225 0.422642 14.0214
27 50 23.972984 16.129360 260.156248 24.235394 15.730651 247.453388 -0.26241 0.398709 12.7029
