j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 28 14.5 6.46901 43.9766 37.507587342762257 1.5603828373539366 1.560383E+00 19.8478
2 29 15.5 10.1967 33.8545 23.657806805699401 1.5353259006945836 1.535321E+00 18.6074
3 30 16.5 10.955 28.3165 17.361483272820010 1.5063992264186339 1.506391E+00 17.5128
4 31 17.5 10.9014 24.6683 13.766878021518357 1.4854905106366987 1.485481E+00 16.5399
5 32 18.5 10.5878 22.0243 11.436549946235651 1.4720406945088225 1.472025E+00 15.6693
6 33 19.5 10.1874 19.9916 9.8042121629733572 1.4453423423570824 1.445342E+00 14.8859
7 34 20.5 9.73109 18.3646 8.6335104140479544 1.4425370426706037 1.442514E+00 14.177
8 35 21.5 9.37306 17.0239 7.6508418319339766 1.3936197146915570 1.393560E+00 13.5326
9 36 22.5 8.96843 15.8942 6.9257661926355158 1.4064263317036596 1.406406E+00 12.9442
10 37 23.5 8.57253 14.9256 6.3530676933416901 1.4131385465985560 1.413060E+00 12.4049
11 38 24.5 8.16053 14.0833 5.9227701567267541 1.4931927527697160 1.493170E+00 11.9087
12 39 25.5 7.96758 13.3424 5.3748184249379731 1.3444408464738979 1.344411E+00 11.4507
13 40 26.5 7.64647 12.6842 5.0377283263836548 1.3982054504349331 1.398125E+00 11.0266
14 41 27.5 7.23864 12.0948 4.8561579635969663 1.4088508211626187 1.408739E+00 10.6328
15 42 28.5 7.03242 11.5630 4.5305778772737453 1.3400723781476531 1.340011E+00 10.2661
16 43 29.5 6.69663 11.0804 4.3837713715066862 1.5317240672963863 1.531704E+00 9.92392
17 44 30.5 6.55426 10.6400 4.0857388722953702 1.6060570567291115 1.606038E+00 9.60379
18 45 31.5 6.34127 10.2361 3.8948304746316849 1.7200117425011399 1.720009E+00 9.30368
19 46 32.5 6.12845 9.8641 3.7356505394587094 1.5403023499687614 1.540162E+00 9.02175
20 47 33.5 6.05969 9.5202 3.4605067511903611 1.4906101290552429 1.490420E+00 8.7564
21 48 34.5 5.94279 9.2011 3.2583137931644321 1.5366890113303413 1.536441E+00 8.50622
22 49 35.5 5.84554 8.9041 3.0585571656637169 1.5115485774233626 1.511271E+00 8.26993
23 50 36.5 5.67338 8.6269 2.9535198532318225 1.4500868416547239 1.449730E+00 8.04642
