j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 41 21 6.8438 44.3012 37.457400933765449 0.26514350514859575 2.651431E-01 16.8544
2 42 22 10.5326 34.2938 23.761202170779633 0.27175097784087310 2.717502E-01 16.1053
3 43 23 11.5975 28.8320 17.234490769403632 0.27089800285834142 2.708968E-01 15.42
4 44 24 11.4515 25.2394 13.787893040160712 0.32156473488369935 3.215645E-01 14.7906
5 45 25 11.1654 22.6375 11.472108011380930 0.27274251257652282 2.727408E-01 14.2106
6 46 26 10.4763 20.6375 10.161155779743359 0.35097315504489296 3.509678E-01 13.6744
7 47 27 10.0428 19.0361 8.9933054459696642 0.30857752009159983 3.085773E-01 13.1771
8 48 28 9.96705 17.7155 7.7484490665107257 0.29770814157491932 2.976961E-01 12.7147
9 49 29 9.12433 16.6015 7.4771706580006470 0.29672794266592706 2.967252E-01 12.2837
10 50 30 8.98763 15.6452 6.6575742556294966 0.25465786042222893 2.546475E-01 11.881
