j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 7 4 2.81267 40.8934 38.080731213176215 22.938965651201563 2.293896E+01 31.1879
2 8 5 5.54335 30.0000 24.456651561094596 22.689181557486258 2.268910E+01 25.5174
3 9 6 5.89683 24.0948 18.197967066556540 22.427694808077437 2.242769E+01 21.5916
4 10 7 5.69303 20.2679 14.574874999502976 22.198572145034255 2.219850E+01 18.7127
5 11 8 5.34912 17.5484 12.199281333907297 21.999302760095087 2.199930E+01 16.5112
6 12 9 4.98616 15.5014 10.515242620187198 21.819736059102127 2.181969E+01 14.7732
7 13 10 4.64249 13.8979 9.2554050470976250 21.653945182920058 2.165343E+01 13.3662
8 14 11 4.32898 12.6044 8.2754223412552701 21.497864015325266 2.149767E+01 12.204
9 15 12 4.04635 11.5370 7.4906520109841752 21.348126638186528 2.134809E+01 11.2276
10 16 13 3.79318 10.6400 6.8468238537117179 21.204771954879345 2.120376E+01 10.396
11 17 14 3.56628 9.8750 6.3087180908344234 21.058220802064337 2.105818E+01 9.67899
12 18 15 3.36208 9.2143 5.8522160408680355 20.904371999335517 2.090298E+01 9.05454
13 19 16 3.17788 8.6378 5.4599245583860245 20.760300764010061 2.075918E+01 8.50578
14 20 17 3.01201 8.1301 5.1180877239931393 20.617147504922659 2.061689E+01 8.01974
15 21 18 2.86085 7.6794 4.8185491974300589 20.452936726697502 2.045263E+01 7.58624
16 22 19 2.72197 7.2766 4.5546298321948147 20.297338287870975 2.029535E+01 7.1972
17 23 20 2.59699 6.9144 4.3174145307722220 20.133957252253879 2.013363E+01 6.84612
18 24 21 2.47937 6.5868 4.1074253307916075 19.996659794480816 1.999659E+01 6.52769
19 25 22 2.37301 6.2891 3.9160889520630393 19.809317502511281 1.980898E+01 6.23757
20 26 23 2.26863 6.0173 3.7486746548505159 19.640783025445845 1.963747E+01 5.97215
21 27 24 2.18145 5.7682 3.5867489177776894 19.392346869273577 1.939209E+01 5.72838
22 28 25 2.09401 5.5390 3.4449921621949833 19.336087050787821 1.933280E+01 5.50374
23 29 26 2.00703 5.3275 3.3204699777329405 19.369212205237385 1.936849E+01 5.29605
24 30 27 1.92742 5.1315 3.2040764891955513 19.073544685274477 1.907351E+01 5.10347
25 31 28 1.83671 4.9496 3.1128916751256863 18.976418625548170 1.897610E+01 4.9244
26 32 29 1.80127 4.7802 2.9789326516788610 18.511131424762581 1.851024E+01 4.75747
27 33 30 1.73338 4.6220 2.8886234747171367 18.481017660384655 1.848074E+01 4.60149
28 34 31 1.67552 4.4741 2.7985780337289041 17.944245382826196 1.794424E+01 4.45541
29 35 32 1.62566 4.3353 2.7096410906396282 17.632485458859360 1.763227E+01 4.31832
30 36 33 1.57759 4.2049 2.6273147429826285 17.454602884036653 1.745277E+01 4.18942
31 37 34 1.51344 4.0822 2.5687624347271103 17.297150889105666 1.729475E+01 4.06798
32 38 35 1.47406 3.9664 2.4923442423107249 16.784865656413963 1.678472E+01 3.95339
33 39 36 1.43588 3.8570 2.4211220121303665 16.657735001613954 1.665652E+01 3.84508
34 40 37 1.36125 3.7536 2.3923496819397307 16.894054420165997 1.689389E+01 3.74254
35 41 38 1.36472 3.6555 2.2907783482411355 16.275359849534368 1.627511E+01 3.64534
36 42 39 1.32537 3.5625 2.2371294631672702 15.765534152287701 1.576135E+01 3.55305
37 43 40 1.24919 3.4741 2.2249096970666451 15.028427650146654 1.502667E+01 3.46532
38 44 41 1.18604 3.3899 2.2038649304566684 14.434110536008950 1.443407E+01 3.38182
39 45 42 1.05277 3.3098 2.2570283037479282 15.792179276969797 1.578718E+01 3.30225
40 46 43 0.93059 3.2334 2.3028102464935651 16.223855176165586 1.622383E+01 3.22633
41 47 44 1.13873 3.1604 2.0216688366115338 14.934775339150967 1.493316E+01 3.15383
42 48 45 1.15844 3.0907 1.9322644546158598 16.105577195690849 1.610123E+01 3.08451
43 49 46 1.28188 3.0240 1.7421179772431659 16.449905440104033 1.644027E+01 3.01818
44 50 47 1.31229 2.9601 1.6478075400563936 16.182790035631818 1.616891E+01 2.95464
