#jbar theta B
3 26.6 604.3099891
3 26.7 603.4705269
3 26.8 602.6287520
3 26.9 601.7846732
3 27.0 600.9382996
3 27.1 600.0896399
3 27.2 599.2387031
3 27.3 598.3854981
3 27.4 597.5300340
3 27.5 596.6723197
3 27.6 595.8123643
3 27.7 594.9501769
3 27.8 594.0857663
3 27.9 593.2191419
3 28.0 592.3503127
3 28.1 591.4792878
3 28.2 590.6060763
3 28.3 589.7306876
3 28.4 588.8531307
3 28.5 587.9734149
3 28.6 587.0915494
3 28.7 586.2075435
3 28.8 585.3214066
3 28.9 584.4331478
3 29.0 583.5427766
3 29.1 582.6503023
3 29.2 581.7557342
3 29.3 580.8590818
3 29.4 579.9603544
3 29.5 579.0595616
3 29.6 578.1567127
3 29.7 577.2518172
3 29.8 576.3448847
3 29.9 575.4359246
3 30.0 574.5249465
3 30.1 573.6119599
3 30.2 572.6969744
3 30.3 571.7799997
3 30.4 570.8610453
3 30.5 569.9401208
3 30.6 569.0172359
3 30.7 568.0924004
3 30.8 567.1656238
3 30.9 566.2369159
3 31.0 565.3062864
3 31.1 564.3737450
3 31.2 563.4393017
3 31.3 562.5029660
3 31.4 561.5647478
3 31.5 560.6246570
3 31.6 559.6827034
3 31.7 558.7388969
3 31.8 557.7932472
3 31.9 556.8457644
3 32.0 555.8964583
3 32.1 554.9453389
3 32.2 553.9924161
3 32.3 553.0376999
3 32.4 552.0812002
3 32.5 551.1229271
3 32.6 550.1628905
3 32.7 549.2011006
3 32.8 548.2375673
3 32.9 547.2723008
3 33.0 546.3053110
3 33.1 545.3366082
3 33.2 544.3662024
3 33.3 543.3941038
3 33.4 542.4203224
3 33.5 541.4448686
3 33.6 540.4677524
3 33.7 539.4889840
3 33.8 538.5085738
3 33.9 537.5265318
3 34.0 536.5428683
3 34.1 535.5575936
3 34.2 534.5707180
3 34.3 533.5822518
3 34.4 532.5922052
3 34.5 531.6005886
3 34.6 530.6074123
3 34.7 529.6126867
3 34.8 528.6164220
3 34.9 527.6186288
3 35.0 526.6193174
3 35.1 525.6184981
3 35.2 524.6161815
3 35.3 523.6123779
3 35.4 522.6070978
3 35.5 521.6003516
3 35.6 520.5921499
3 35.7 519.5825031
3 35.8 518.5714216
3 35.9 517.5589161
3 36.0 516.5449971
3 36.1 515.5296750
3 36.2 514.5129604
3 36.3 513.4948640
3 36.4 512.4753962
3 36.5 511.4545677
3 36.6 510.4323891
3 36.7 509.4088709
3 36.8 508.3840239
3 36.9 507.3578586
3 37.0 506.3303856
3 37.1 505.3016158
3 37.2 504.2715596
3 37.3 503.2402278
3 37.4 502.2076312
3 37.5 501.1737803
3 37.6 500.1386860
3 37.7 499.1023589
3 37.8 498.0648098
3 37.9 497.0260495
3 38.0 495.9860886
3 38.1 494.9449380
3 38.2 493.9026085
3 38.3 492.8591107
3 38.4 491.8144557
3 38.5 490.7686540
3 38.6 489.7217166
3 38.7 488.6736543
3 38.8 487.6244780
3 38.9 486.5741984
3 39.0 485.5228265
3 39.1 484.4703730
3 39.2 483.4168490
3 39.3 482.3622652
3 39.4 481.3066325
3 39.5 480.2499619
3 39.6 479.1922643
3 39.7 478.1335506
3 39.8 477.0738316
3 39.9 476.0131185
3 40.0 474.9514220
3 40.1 473.8887531
3 40.2 472.8251229
3 40.3 471.7605422
3 40.4 470.6950220
3 40.5 469.6285734
3 40.6 468.5612073
3 40.7 467.4929347
3 40.8 466.4237665
3 40.9 465.3537139
3 41.0 464.2827878
3 41.1 463.2109993
3 41.2 462.1383594
3 41.3 461.0648790
3 41.4 459.9905693
