#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 25 88.447216 48.616056 2363.520908 87.961625 nan nan 0 0 0
2 26 87.626874 49.256575 2426.210177 86.859379 nan nan 0 0 0
3 27 86.518067 49.152631 2415.981181 85.539418 nan nan 0 0 0
4 28 83.322759 49.093131 2410.135517 82.570822 nan nan 0 0 0
5 29 83.830860 49.081013 2408.945829 82.625457 nan nan 0 0 0
6 30 81.520690 49.181229 2418.793333 80.396539 nan nan 0 0 0
7 31 82.811834 49.528081 2453.030775 81.111602 nan nan 0 0 0
8 32 78.381376 49.518064 2452.038630 77.173115 nan nan 0 0 0
9 33 80.210770 49.356717 2436.085528 78.523989 nan nan 0 0 0
10 34 76.123004 49.454881 2445.785303 74.828429 nan nan 0 0 0
11 35 74.074894 48.993443 2400.357441 72.967316 nan nan 0 0 0
12 36 76.156953 49.539701 2454.181942 74.339393 nan nan 0 0 0
13 37 78.287028 49.455256 2445.822348 76.003362 nan nan 0 0 0
14 38 70.861988 48.867869 2388.068585 69.702669 nan nan 0 0 0
15 39 73.371125 49.902709 2490.280351 71.490488 nan nan 0 0 0
16 40 70.408853 48.839769 2385.323075 68.901879 nan nan 0 0 0
