#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 31 88.995506 50.262100 2526.278734 88.534193 nan nan 0 0 0
2 32 86.476802 50.079504 2507.956724 86.101507 nan nan 0 0 0
3 33 87.858418 49.932696 2493.274111 86.914108 nan nan 0 0 0
4 34 83.830772 50.349195 2535.041465 83.278768 nan nan 0 0 0
5 35 83.399995 50.398253 2539.983905 82.639996 nan nan 0 0 0
6 36 82.242636 50.268922 2526.964560 81.416228 nan nan 0 0 0
7 37 84.173920 50.447192 2544.919147 82.702880 nan nan 0 0 0
8 38 78.700961 49.631596 2463.295326 78.049144 nan nan 0 0 0
9 39 79.681694 50.809199 2581.574689 78.454077 nan nan 0 0 0
10 40 76.941864 49.790307 2479.074655 76.130312 nan nan 0 0 0
