#j jp SCavg SCstd SCvar QMavg QMstd QMvar diffavg diffstd diffvar
1 26 87.877140 49.185185 2419.182424 87.492279 nan nan 0 0 0
2 27 86.933465 49.259260 2426.474657 86.328658 nan nan 0 0 0
3 28 84.692865 49.575032 2457.683843 84.095957 nan nan 0 0 0
4 29 83.672568 49.252409 2425.799810 82.938574 nan nan 0 0 0
5 30 82.221975 49.518031 2452.035364 81.405762 nan nan 0 0 0
6 31 82.824171 49.665317 2466.643696 81.503415 nan nan 0 0 0
7 32 80.241068 50.154492 2515.473087 79.120585 nan nan 0 0 0
8 33 78.898309 49.547399 2454.944728 77.757396 nan nan 0 0 0
9 34 78.085052 49.944602 2494.463294 76.753805 nan nan 0 0 0
10 35 81.129308 50.064597 2506.463916 78.880335 nan nan 0 0 0
11 36 76.934213 50.511260 2551.387385 75.219972 nan nan 0 0 0
12 37 75.883300 50.201300 2520.170567 74.300349 nan nan 0 0 0
13 38 69.173024 49.231018 2423.693109 68.593507 nan nan 0 0 0
14 39 70.895231 49.252055 2425.764908 69.816403 nan nan 0 0 0
15 40 69.415591 49.278433 2428.363986 68.301562 nan nan 0 0 0
