  # July 4, 2014 12:22:22
 # jmin,jmax    0   50
 # Eau     0.00200000
 # r0,ra,rb,rdel,tol,Bau,mu   3.5000  25.0000  25.0000   4.0000  1.0000E-03  3.0130E-07  6.8548E+03
 # parity bigJ  0  0        1  0        1  1        2  0        2  1        2  2        3  0        3  1        3  2        3  3
 # jmin,jmax,maxlamb are            0          50         100
 # j and jp are           2           3
 # lam  B-lambda(j,jp)  angle
#    1    129.7085     19.4712
#    2      0.0063     45.0000
#    3     27.0657     69.2952
#    4      0.0024     96.7681
#    5     21.3015    135.0000
  -3  -2               60.2041   0
  -3  -1               11.9901   1
  -3   0               14.1186   2
  -3   1                8.5220   3
  -3   2               21.3015   4
#
  -2  -2               28.0615   5
  -2  -1               46.2613   6
  -2   0                6.3935   7
  -2   1               22.6383   8
  -2   2               12.7818   9
#
  -1  -2               16.0558  10
  -1  -1               35.6234  11
  -1   0               35.4259  12
  -1   1               17.4186  13
  -1   2               11.6126  14
#
   0  -2               12.5736  15
   0  -1               20.1372  16
   0   0               50.7147  17
   0   1               20.1372  18
   0   2               12.5736  19
#
   1  -2               11.6126  20
   1  -1               17.4186  21
   1   0               35.4259  22
   1   1               35.6234  23
   1   2               16.0558  24
#
   2  -2               12.7818  25
   2  -1               22.6383  26
   2   0                6.3935  27
   2   1               46.2613  28
   2   2               28.0615  29
#
   3  -2               21.3015  30
   3  -1                8.5220  31
   3   0               14.1186  32
   3   1               11.9901  33
   3   2               60.2041  34
#
