  # July 4, 2014 12:22:22
 # jmin,jmax    0   50
 # Eau     0.00200000
 # r0,ra,rb,rdel,tol,Bau,mu   3.5000  25.0000  25.0000   4.0000  1.0000E-03  3.0130E-07  6.8548E+03
 # parity bigJ  0  0        1  0        1  1        2  0        2  1        2  2        3  0        3  1        3  2        3  3
 # jmin,jmax,maxlamb are            0          50         100
 # j and jp are          27          29
 # lam  B-lambda(j,jp)  angle
#    2   3080.4641      2.8447
#    3     81.9148      5.6925
#    4    373.9111      8.0540
#    5     25.6351     10.2724
#    6    113.6059     12.4265
#    7      8.0858     14.5471
#    8     45.3403     16.6491
#    9      3.3978     18.7412
#   10     21.1976     20.8284
#   11      1.5303     22.9147
#   12     11.0018     25.0025
#   13      0.7440     27.0941
#   14      6.4659     29.1912
#   15      0.3882     31.2953
#   16      4.1436     33.4078
#   17      0.2475     35.5301
#   18      2.8616     37.6632
#   19      0.1759     39.8085
#   20      2.1442     41.9673
#   21      0.1320     44.1406
#   22      1.7200     46.3298
#   23      0.1066     48.5363
#   24      1.3891     50.7613
#   25      0.0889     53.0063
#   26      1.1945     55.2730
#   27      0.0741     57.5628
#   28      1.0381     59.8775
#   29      0.0613     62.2191
#   30      0.8500     64.5895
#   31      0.0504     66.9910
#   32      0.7113     69.4259
#   33      0.0408     71.8969
#   34      0.6472     74.4069
#   35      0.0322     76.9590
#   36      0.5033     79.5570
#   37      0.0253     82.2047
#   38      0.3388     84.9066
#   39      0.0199     87.6680
#   40      0.2691     90.4945
#   41      0.0152     93.3931
#   42      0.2308     96.3715
#   43      0.0112     99.4389
#   44      0.2005    102.6062
#   45      0.0078    105.8867
#   46      0.1754    109.2965
#   47      0.0051    112.8556
#   48      0.1357    116.5895
#   49      0.0032    120.5317
#   50      0.1227    124.7270
#   51      0.0017    129.2387
#   52      0.1270    134.1605
#   53      0.0007    139.6428
#   54      0.0986    145.9559
#   55      0.0002    153.6920
#   56      0.0698    164.9006
 -29 -27              337.7415   0
 -29 -26               32.8631   1
 -29 -25               11.6976   2
 -29 -24                5.5081   3
 -29 -23                3.2126   4
 -29 -22                2.1447   5
 -29 -21                1.5764   6
 -29 -20                1.2411   7
 -29 -19                1.0264   8
 -29 -18                0.8792   9
 -29 -17                0.7720  10
 -29 -16                0.6898  11
 -29 -15                0.6238  12
 -29 -14                0.5687  13
 -29 -13                0.5212  14
 -29 -12                0.4792  15
 -29 -11                0.4414  16
 -29 -10                0.4072  17
 -29  -9                0.3757  18
 -29  -8                0.3464  19
 -29  -7                0.3187  20
 -29  -6                0.2922  21
 -29  -5                0.2667  22
 -29  -4                0.2424  23
 -29  -3                0.2195  24
 -29  -2                0.1984  25
 -29  -1                0.1796  26
 -29   0                0.1633  27
 -29   1                0.1496  28
 -29   2                0.1381  29
 -29   3                0.1286  30
 -29   4                0.1205  31
 -29   5                0.1136  32
 -29   6                0.1074  33
 -29   7                0.1017  34
 -29   8                0.0963  35
 -29   9                0.0912  36
 -29  10                0.0862  37
 -29  11                0.0815  38
 -29  12                0.0771  39
 -29  13                0.0731  40
 -29  14                0.0697  41
 -29  15                0.0670  42
 -29  16                0.0650  43
 -29  17                0.0635  44
 -29  18                0.0624  45
 -29  19                0.0612  46
 -29  20                0.0597  47
 -29  21                0.0574  48
 -29  22                0.0542  49
 -29  23                0.0502  50
 -29  24                0.0463  51
 -29  25                0.0429  52
 -29  26                0.0337  53
 -29  27                0.0698  54
#
 -28 -27               53.8892  55
 -28 -26              278.0335  56
 -28 -25               33.7318  57
 -28 -24               14.0820  58
 -28 -23                6.6834  59
 -28 -22                3.8669  60
 -28 -21                2.5145  61
 -28 -20                1.7919  62
 -28 -19                1.3674  63
 -28 -18                1.0987  64
 -28 -17                0.9176  65
 -28 -16                0.7885  66
 -28 -15                0.6920  67
 -28 -14                0.6171  68
 -28 -13                0.5572  69
 -28 -12                0.5079  70
 -28 -11                0.4655  71
 -28 -10                0.4273  72
 -28  -9                0.3916  73
 -28  -8                0.3579  74
 -28  -7                0.3268  75
 -28  -6                0.2995  76
 -28  -5                0.2764  77
 -28  -4                0.2574  78
 -28  -3                0.2412  79
 -28  -2                0.2264  80
 -28  -1                0.2116  81
 -28   0                0.1961  82
 -28   1                0.1800  83
 -28   2                0.1639  84
 -28   3                0.1488  85
 -28   4                0.1355  86
 -28   5                0.1241  87
 -28   6                0.1147  88
 -28   7                0.1070  89
 -28   8                0.1005  90
 -28   9                0.0950  91
 -28  10                0.0904  92
 -28  11                0.0866  93
 -28  12                0.0835  94
 -28  13                0.0806  95
 -28  14                0.0778  96
 -28  15                0.0745  97
 -28  16                0.0708  98
 -28  17                0.0669  99
 -28  18                0.0630 100
 -28  19                0.0594 101
 -28  20                0.0564 102
 -28  21                0.0543 103
 -28  22                0.0537 104
 -28  23                0.0534 105
 -28  24                0.0507 106
 -28  25                0.0355 107
 -28  26                0.0840 108
 -28  27                0.0362 109
#
 -27 -27               15.6468 110
 -27 -26               69.4380 111
 -27 -25              245.2107 112
 -27 -24               32.0938 113
 -27 -23               15.5122 114
 -27 -22                7.4319 115
 -27 -21                4.3498 116
 -27 -20                2.8019 117
 -27 -19                1.9652 118
 -27 -18                1.4710 119
 -27 -17                1.1587 120
 -27 -16                0.9499 121
 -27 -15                0.8047 122
 -27 -14                0.6990 123
 -27 -13                0.6174 124
 -27 -12                0.5502 125
 -27 -11                0.4931 126
 -27 -10                0.4452 127
 -27  -9                0.4063 128
 -27  -8                0.3755 129
 -27  -7                0.3502 130
 -27  -6                0.3276 131
 -27  -5                0.3052 132
