  # July 4, 2014 12:22:22
 # jmin,jmax    0   50
 # Eau     0.00200000
 # r0,ra,rb,rdel,tol,Bau,mu   3.5000  25.0000  25.0000   4.0000  1.0000E-03  3.0130E-07  6.8548E+03
 # parity bigJ  0  0        1  0        1  1        2  0        2  1        2  2        3  0        3  1        3  2        3  3
 # jmin,jmax,maxlamb are            0          50         100
 # j and jp are           1           2
 # lam  B-lambda(j,jp)  angle
#    1     86.5127     30.0000
#    2      0.0016     73.2213
#    3     26.1124    125.2644
  -2  -1               53.6490   0
  -2   0                8.7052   1
  -2   1               26.1124   2
#
  -1  -1               31.1771   3
  -1   0               39.8807   4
  -1   1               17.4088   5
#
   0  -1               19.0970   6
   0   0               50.2725   7
   0   1               19.0970   8
#
   1  -1               17.4088   9
   1   0               39.8807  10
   1   1               31.1771  11
#
   2  -1               26.1124  12
   2   0                8.7052  13
   2   1               53.6490  14
#
