  # July 4, 2014 12:22:22
 # jmin,jmax    0   50
 # Eau     0.00200000
 # r0,ra,rb,rdel,tol,Bau,mu   3.5000  25.0000  25.0000   4.0000  1.0000E-03  3.0130E-07  6.8548E+03
 # parity bigJ  0  0        1  0        1  1        2  0        2  1        2  2        3  0        3  1        3  2        3  3
 # jmin,jmax,maxlamb are            0          50         100
 # j and jp are           4           5
 # lam  B-lambda(j,jp)  angle
#    1    215.8571     11.5370
#    2      0.0314     26.0845
#    3     40.0858     39.1340
#    4      0.0146     52.2388
#    5     19.4311     65.9052
#    6      0.0090     80.6015
#    7     13.7523     97.0349
#    8      0.0046    116.6842
#    9     16.6709    144.7356
  -5  -4               69.0780   0
  -5  -3               15.2342   1
  -5  -2               11.9383   2
  -5  -1                8.5930   3
  -5   0                7.8750   4
  -5   1                6.9978   5
  -5   2                7.6035   6
  -5   3                7.4118   7
  -5   4               16.6709   8
#
  -4  -4               26.0030   9
  -4  -3               53.6950  10
  -4  -2               10.5309  11
  -4  -1               13.1786  12
  -4   0                7.5567  13
  -4   1                9.8423  14
  -4   2                6.2450  15
  -4   3               15.0874  16
  -4   4                9.2636  17
#
  -3  -4               14.3800  18
  -3  -3               29.1825  19
  -3  -2               45.9688  20
  -3  -1                6.8319  21
  -3   0               16.1661  22
  -3   1                5.2856  23
  -3   2               15.9650  24
  -3   3                9.8858  25
  -3   4                7.7368  26
#
  -2  -4               10.5969  27
  -2  -3               15.6559  28
  -2  -2               33.4025  29
  -2  -1               39.2030  30
  -2   0                5.7776  31
  -2   1               18.9447  32
  -2   2               11.6993  33
  -2   3                8.8145  34
  -2   4                7.3081  35
#
  -1  -4                8.7997  36
  -1  -3               11.4896  37
  -1  -2               17.4870  38
  -1  -1               39.3455  39
  -1   0               30.1536  40
  -1   1               16.5896  41
  -1   2               11.2583  42
  -1   3                8.9082  43
  -1   4                7.3710  44
#
   0  -4                7.8396  45
   0  -3                9.6825  46
   0  -2               12.9488  47
   0  -1               20.2354  48
   0   0               49.9898  49
   0   1               20.2354  50
   0   2               12.9488  51
   0   3                9.6825  52
   0   4                7.8396  53
#
   1  -4                7.3710  54
   1  -3                8.9082  55
   1  -2               11.2583  56
   1  -1               16.5896  57
   1   0               30.1536  58
   1   1               39.3455  59
   1   2               17.4870  60
   1   3               11.4896  61
   1   4                8.7997  62
#
   2  -4                7.3081  63
   2  -3                8.8145  64
   2  -2               11.6993  65
   2  -1               18.9447  66
   2   0                5.7776  67
   2   1               39.2030  68
   2   2               33.4025  69
   2   3               15.6559  70
   2   4               10.5969  71
#
   3  -4                7.7368  72
   3  -3                9.8858  73
   3  -2               15.9650  74
   3  -1                5.2856  75
   3   0               16.1661  76
   3   1                6.8319  77
   3   2               45.9688  78
   3   3               29.1825  79
   3   4               14.3800  80
#
   4  -4                9.2636  81
   4  -3               15.0874  82
   4  -2                6.2450  83
   4  -1                9.8423  84
   4   0                7.5567  85
   4   1               13.1786  86
   4   2               10.5309  87
   4   3               53.6950  88
   4   4               26.0030  89
#
   5  -4               16.6709  90
   5  -3                7.4118  91
   5  -2                7.6035  92
   5  -1                6.9978  93
   5   0                7.8750  94
   5   1                8.5930  95
   5   2               11.9383  96
   5   3               15.2342  97
   5   4               69.0780  98
#
