j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 11 6 1.24001 42.3920 41.151994726674481 52.253347790802799 5.225327E+01 27.8746
2 12 7 5.84559 31.8061 25.960506866106748 48.380060928145824 4.837995E+01 24.158
3 13 8 6.84583 26.0101 19.164268624813559 44.300298027456527 4.430015E+01 21.3159
4 14 9 6.8019 22.2077 15.405796461247819 43.140939670428445 4.314093E+01 19.0721
5 15 10 6.65628 19.4712 12.814915615569323 42.176543283727923 4.217649E+01 17.2557
6 16 11 6.39091 17.3860 10.995090946243069 40.080223233464913 4.008022E+01 15.7552
7 17 12 6.18287 15.7335 9.5506291287317975 38.941903579031084 3.894091E+01 14.4948
8 18 13 5.7343 14.3859 8.6515991851106637 38.239214816722978 3.823810E+01 13.4211
9 19 14 5.47217 13.2627 7.7905329742702163 37.583528728103538 3.758348E+01 12.4955
10 20 15 5.16002 12.3100 7.1499838424276208 37.398216836146268 3.739649E+01 11.6894
11 21 16 4.97112 11.4905 6.5193750834386206 36.091739174042026 3.609144E+01 10.9809
12 22 17 4.714 10.7771 6.0631026410934181 35.709300477753303 3.570807E+01 10.3534
13 23 18 4.44099 10.1501 5.7091077927658125 35.112161807845744 3.511208E+01 9.79379
14 24 19 4.26233 9.5941 5.3317726160549412 35.330261676517942 3.532909E+01 9.29155
15 25 20 4.06494 9.0974 5.0324552698163041 34.579508800397264 3.457817E+01 8.8383
16 26 21 3.89462 8.6509 4.7562847353637761 33.670552042511012 3.366798E+01 8.42722
17 27 22 3.73915 8.2472 4.5080526270615477 33.264114464182029 3.326402E+01 8.05267
18 28 23 3.46803 7.8802 4.4121747455918845 33.916957165737927 3.391672E+01 7.71001
19 29 24 3.31128 7.5451 4.2338183434896841 32.228177952878902 3.222633E+01 7.39531
20 30 25 3.17942 7.2378 4.0583826559492584 33.446342190358649 3.344329E+01 7.1053
21 31 26 3.00788 6.9550 3.9471163849397719 33.125422233928958 3.312121E+01 6.83718
22 32 27 2.86925 6.6938 3.8245456384691705 31.676946604513891 3.167581E+01 6.58855
23 33 28 2.86141 6.4518 3.5903919689488544 31.769638235461564 3.176944E+01 6.35737
24 34 29 2.59148 6.2269 3.6354190452193103 33.851447208624904 3.384860E+01 6.14187
25 35 30 2.43614 6.0173 3.5811626557543330 33.275374845687509 3.327460E+01 5.9405
26 36 31 2.5399 5.8215 3.2816001708657425 35.134565100071491 3.513359E+01 5.75191
27 37 32 2.45015 5.6382 3.1880480173406389 34.491822531590159 3.449140E+01 5.57493
28 38 33 2.5463 5.4663 2.9200007746952994 37.001846942087525 3.700026E+01 5.40851
29 39 34 2.53098 5.3046 2.7736178284486774 28.601260664854856 2.859897E+01 5.25174
30 40 35 2.57947 5.1523 2.5728328673401348 37.263720497949322 3.725985E+01 5.10381
