j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 9 5 1.4358 41.8103 40.374497957314091 71.381258034421222 7.138123E+01 29.4649
2 10 6 5.6336 31.0909 25.457302121330844 65.773022975268987 6.577283E+01 24.9318
3 11 7 6.39955 25.2394 18.839852729912280 62.535934553257874 6.253565E+01 21.6076
4 12 8 6.32159 21.4167 15.095112885829113 59.624707489541706 5.962470E+01 19.0655
5 13 9 6.07661 18.6784 12.601785352765477 58.516349265922997 5.851635E+01 17.0586
6 14 10 5.62242 16.6015 10.979082805115182 58.122529012993517 5.812232E+01 15.434
7 15 11 5.43856 14.9632 9.5246431599378703 55.861090678143583 5.586072E+01 14.0919
8 16 12 5.15853 13.6330 8.4744721128511014 54.208396853938126 5.420792E+01 12.9646
9 17 13 4.90701 12.5288 7.6217866145684523 52.606070088870261 5.260565E+01 12.0042
10 18 14 4.55282 11.5959 7.0430816117408996 53.520379837255604 5.351845E+01 11.1763
11 19 15 4.29489 10.7963 6.5014136702571994 51.873185205101883 5.187318E+01 10.4553
12 20 16 4.11849 10.1026 5.9841069931099469 51.032198621764806 5.103186E+01 9.82163
13 21 17 3.89261 9.4947 5.6020925641711230 50.481812102751263 5.048181E+01 9.2604
14 22 18 3.67342 8.9574 5.2839775266350513 50.277852886519163 5.027742E+01 8.75983
15 23 19 3.49189 8.4787 4.9868101729406185 50.171890719757535 5.017156E+01 8.31061
16 24 20 3.3735 8.0495 4.6759984907055658 48.906512180674937 4.890531E+01 7.90522
17 25 21 3.17267 7.6623 4.4896337951806276 49.082633806070902 4.908239E+01 7.53753
18 26 22 3.07483 7.3111 4.2362682204705360 47.186294783583591 4.718304E+01 7.20253
19 27 23 2.92627 6.9912 4.0649308163317990 47.347861887076824 4.734465E+01 6.89604
20 28 24 2.73343 6.6984 3.9649678290209831 47.941569395462537 4.793819E+01 6.61457
21 29 25 2.61958 6.4294 3.8098160302768274 46.470994596488246 4.647071E+01 6.35517
22 30 26 2.52927 6.1814 3.6521302158413227 46.722267812273202 4.671514E+01 6.11536
23 31 27 2.36993 5.9520 3.5820746330375428 46.875879254435944 4.687484E+01 5.89298
24 32 28 2.29306 5.7392 3.4461414022249484 44.759255677932408 4.475202E+01 5.68621
25 33 29 2.22989 5.5412 3.3113052073289562 45.769636737606362 4.576916E+01 5.49346
26 34 30 1.9935 5.3565 3.3630034915059639 47.682545416083521 4.767760E+01 5.31334
27 35 31 1.87024 5.1838 3.3135600173963784 47.156818702012039 4.715612E+01 5.14466
28 36 32 2.02078 5.0220 3.0012204320843594 51.009025439120322 5.100902E+01 4.98637
29 37 33 1.95528 4.8700 2.9147241897735614 49.727530151075818 4.972638E+01 4.83752
30 38 34 2.04246 4.7270 2.6845371749796545 51.405121822677046 5.140356E+01 4.6973
31 39 35 2.04357 4.5922 2.5486252279562263 40.099138118081513 4.008535E+01 4.56498
32 40 36 2.08498 4.4650 2.3800247758878768 55.746156302942168 5.574244E+01 4.43992
