j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 10 5.5 2.62947 42.1304 39.500925534255153 51.308847919832061 5.130885E+01 28.6479
2 11 6.5 6.15951 31.4822 25.322690523754137 50.678219279253938 5.067818E+01 24.5553
3 12 7.5 7.2543 25.6589 18.404603151428031 45.922237416367032 4.592223E+01 21.4859
4 13 8.5 6.86253 21.8454 14.982870083984951 46.014215808147135 4.601416E+01 19.0986
5 14 9.5 6.78937 19.1066 12.317234474027085 43.777288296803761 4.377720E+01 17.1887
6 15 10.5 6.27911 17.0239 10.744788562538091 43.867614000063028 4.386686E+01 15.6261
7 16 11.5 6.06531 15.3768 9.3114926373599562 41.942605837457876 4.194254E+01 14.3239
8 17 12.5 5.61312 14.0362 8.4230780900285183 42.329207063208834 4.232890E+01 13.2221
9 18 13.5 5.31359 12.9210 7.6074122372912010 40.511811898218745 4.051178E+01 12.2777
10 19 14.5 4.9072 11.9767 7.0695027044992482 41.200505497507841 4.119979E+01 11.4592
11 20 15.5 4.72405 11.1658 6.4417532690767390 39.654194532310370 3.965261E+01 10.743
12 21 16.5 4.43574 10.4611 6.0253565471467603 39.636480766756904 3.963582E+01 10.111
13 22 17.5 4.27905 9.8425 5.5634457280663039 37.652444356324523 3.765094E+01 9.5493
14 23 18.5 3.98146 9.2948 5.3133443614263918 38.234703284398392 3.823448E+01 9.0467
15 24 19.5 3.81518 8.8062 4.9910172363345024 37.142053662449783 3.714194E+01 8.59437
16 25 20.5 3.62484 8.3675 4.7426599434015522 36.289492392380410 3.628680E+01 8.18511
17 26 21.5 3.47186 7.9712 4.4993406934693043 36.423731969825788 3.642373E+01 7.81306
18 27 22.5 3.30598 7.6114 4.3054184255502816 35.038847746590676 3.503880E+01 7.47336
19 28 23.5 3.19126 7.2832 4.0919396637652197 34.657262001922454 3.465714E+01 7.16197
20 29 24.5 3.06006 6.9825 3.9224423307972298 34.753999865065488 3.475299E+01 6.87549
21 30 25.5 2.81223 6.7060 3.8937730292445747 34.855514816496175 3.485544E+01 6.61105
22 31 26.5 2.73111 6.4509 3.7197948788148962 32.921030260008664 3.292024E+01 6.3662
23 32 27.5 2.61491 6.2146 3.5996905341001995 34.127105401951972 3.412711E+01 6.13883
24 33 28.5 2.47025 5.9953 3.5250477187814431 33.398291034181248 3.339687E+01 5.92715
25 34 29.5 2.39018 5.7911 3.4009199095284606 32.512445380902946 3.251244E+01 5.72958
26 35 30.5 2.43392 5.6004 3.1664835560434690 34.164341431487451 3.416122E+01 5.54475
27 36 31.5 2.01497 5.4220 3.4070347986264697 36.337601054671822 3.633748E+01 5.37148
28 37 32.5 1.93051 5.2548 3.3242945369541848 34.178989274552045 3.417753E+01 5.20871
29 38 33.5 2.24819 5.0976 2.8494060483110695 35.326050053183195 3.531640E+01 5.05551
30 39 34.5 2.29273 4.9496 2.6568720094044500 29.316003275630695 2.930927E+01 4.91107
31 40 35.5 2.45038 4.8100 2.3596233136643154 40.896407992013032 4.088498E+01 4.77465
