j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 32 16.5 6.63497 44.1046 37.469629995966883 1.1714610385095527 1.171460E+00 18.7653
2 33 17.5 10.409 34.0269 23.617889710772616 1.1497193813383588 1.149719E+00 17.7227
3 34 18.5 11.1882 28.5178 17.329583174324767 1.1257850775519345 1.125782E+00 16.79
4 35 19.5 11.1416 24.8904 13.748848620745683 1.1120313994131623 1.112016E+00 15.9505
5 36 20.5 10.799 22.2617 11.462665503003077 1.1148495909446430 1.114837E+00 15.1909
6 37 21.5 10.4286 20.2407 9.8120606977822984 1.0883273766562003 1.088326E+00 14.5004
7 38 22.5 9.94278 18.6226 8.6798154502186105 1.1226471696235678 1.122641E+00 13.87
8 39 23.5 9.58582 17.2886 7.7027776978005074 1.0812823730400283 1.081282E+00 13.2921
9 40 24.5 9.17298 16.1640 6.9910171039692948 1.1357291398206588 1.135727E+00 12.7604
10 41 25.5 8.90514 15.1992 6.2940606362096325 1.0247506562596109 1.024750E+00 12.2696
11 42 26.5 8.50823 14.3597 5.8514655305766166 1.0566966603529035 1.056623E+00 11.8152
12 43 27.5 8.10643 13.6206 5.5141683396092338 1.1102559316987730 1.110249E+00 11.3932
13 44 28.5 7.88766 12.9636 5.0759424686642900 1.2199584965446595 1.219931E+00 11.0003
14 45 29.5 7.26818 12.3747 5.1065238111421625 1.3242588470188625 1.324257E+00 10.6336
15 46 30.5 7.09706 11.8430 4.7459374681947875 1.1976062491245276 1.197496E+00 10.2906
16 47 31.5 7.14983 11.3600 4.2101748526431706 1.2647873086265036 1.264780E+00 9.96904
17 48 32.5 6.99713 10.9189 3.9217710075142054 1.2931721355575376 1.293131E+00 9.66695
18 49 33.5 6.75108 10.5140 3.7629242244631067 1.2185407642949186 1.218421E+00 9.38263
19 50 34.5 6.53101 10.1408 3.6097926804720974 1.1601284796575773 1.160120E+00 9.11455
