j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 16 8.5 5.71683 43.2083 37.491465045138561 5.0541529368748286 5.054153E+00 24.6562
2 17 9.5 9.19872 32.8421 23.643377728206275 4.9951033356531358 4.995085E+00 22.1906
3 18 10.5 9.80155 27.1573 17.355753235711749 4.9350588777777649 4.935025E+00 20.1732
4 19 11.5 9.65232 23.4132 13.760879183298265 4.8793583118518953 4.879316E+00 18.4921
5 20 12.5 9.27402 20.7048 11.430780178162479 4.8284503574589914 4.828413E+00 17.0697
6 21 13.5 8.83413 18.6290 9.7948713122820923 4.7801569308783405 4.780156E+00 15.8504
7 22 14.5 8.39083 16.9740 8.5831654335240160 4.7333699843901531 4.733351E+00 14.7937
8 23 15.5 7.96606 15.6161 7.6500370864678882 4.6925739932282342 4.692367E+00 13.8691
9 24 16.5 7.57329 14.4775 6.9042104258309314 4.6500190951373543 4.650017E+00 13.0533
10 25 17.5 7.20903 13.5061 6.2970711037373954 4.6049570655697432 4.604956E+00 12.3281
11 26 18.5 6.86594 12.6658 5.7998609687525242 4.5739779061846102 4.573978E+00 11.6792
12 27 19.5 6.55951 11.9305 5.3709936956504389 4.5295790093458841 4.529444E+00 11.0953
13 28 20.5 6.27809 11.2807 5.0026065142984004 4.4813355937193924 4.481334E+00 10.5669
14 29 21.5 6.01298 10.7017 4.6887225124606111 4.4331907616497421 4.433165E+00 10.0866
15 30 22.5 5.74944 10.1821 4.4326621954380476 4.4311948648843451 4.430949E+00 9.64807
16 31 23.5 5.53539 9.7128 4.1774134555667297 4.3626292364191102 4.362501E+00 9.24607
17 32 24.5 5.31562 9.2867 3.9710782084752694 4.3590883762781365 4.358857E+00 8.87622
18 33 25.5 5.15168 8.8978 3.7461239900896461 4.2559887957335958 4.255327E+00 8.53483
19 34 26.5 4.92464 8.5413 3.6166602187547814 4.3678874923392979 4.367794E+00 8.21873
20 35 27.5 4.74031 8.2132 3.4728931546940123 4.3159577599690824 4.315699E+00 7.9252
21 36 28.5 4.59302 7.9102 3.3171847887005903 4.2065293985386418 4.206417E+00 7.65192
22 37 29.5 4.3824 7.6294 3.2470027306938860 4.4629612240211101 4.462030E+00 7.39685
23 38 30.5 4.26261 7.3683 3.1056921323566522 4.2619877377417339 4.261974E+00 7.15825
24 39 31.5 4.19876 7.1250 2.9262448871881510 4.1947902244549127 4.194452E+00 6.93455
25 40 32.5 4.11394 6.8976 2.7836551933099343 3.9385894921490681 3.938455E+00 6.72441
26 41 33.5 3.91861 6.6847 2.7660916845696608 3.7648876684416348 3.764349E+00 6.52664
27 42 34.5 3.81846 6.4847 2.6662389054874396 3.5109782979735069 3.510445E+00 6.34016
28 43 35.5 3.71034 6.2967 2.5863563771200053 3.8273772868224110 3.827275E+00 6.16404
29 44 36.5 3.59219 6.1194 2.5272060095764157 3.8215102132396179 3.821077E+00 5.99745
30 45 37.5 3.58448 5.9520 2.3675237463828154 3.6791227986409361 3.678459E+00 5.83962
31 46 38.5 3.46398 5.7937 2.3297224296456074 3.4280010651170034 3.427458E+00 5.68989
32 47 39.5 3.30341 5.6437 2.3402916147855328 3.6573147092697580 3.656260E+00 5.54764
33 48 40.5 3.16156 5.5014 2.3398444288756273 3.8278041078058358 3.826742E+00 5.41233
34 49 41.5 3.42355 5.3663 1.9427484800346455 4.0112713045205863 4.009239E+00 5.28347
35 50 42.5 3.35228 5.2377 1.8854202104125590 4.2136363721511554 4.213378E+00 5.1606
