j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 31 16 6.59445 44.0757 37.481251639627111 0.69561465942340095 6.956145E-01 19.0195
2 32 17 10.3533 33.9878 23.634470285751664 0.68989059499021077 6.898890E-01 17.9327
3 33 18 11.167 28.4721 17.305149861921947 0.67700730800496622 6.770072E-01 16.9633
4 34 19 11.1621 24.8399 13.677776392713215 0.66042816666968529 6.604263E-01 16.0934
5 35 20 10.8904 22.2077 11.317266814608230 0.64654558501416637 6.465440E-01 15.3084
6 36 21 10.4381 20.1838 9.7457232708113164 0.67168521948031545 6.716696E-01 14.5964
7 37 22 9.99235 18.5636 8.5712525884184831 0.64691807639056653 6.469105E-01 13.9476
8 38 23 9.31282 17.2280 7.9151766835987001 0.69482001431717733 6.948174E-01 13.3541
9 39 24 9.18779 16.1021 6.9143110466030260 0.61386269144534755 6.138600E-01 12.8091
10 40 25 8.83146 15.1363 6.3048379776437988 0.69959078488574267 6.995904E-01 12.3067
11 41 26 8.46065 14.2961 5.8354534259920241 0.66007686582548142 6.600515E-01 11.8423
12 42 27 7.92447 13.5565 5.6320321647680993 0.83967324731995507 8.396457E-01 11.4117
13 43 28 7.50341 12.8991 5.3956854307659237 0.73049748733763420 7.304970E-01 11.0113
14 44 29 7.52623 12.3100 4.7837670762561695 0.65418849356365161 6.541809E-01 10.638
15 45 30 7.18752 11.7782 4.5906848312422097 0.70222435068939060 7.022214E-01 10.2892
16 46 31 7.11346 11.2953 4.1818427831633080 0.72977100775470372 7.297570E-01 9.9626
17 47 32 6.73875 10.8542 4.1154468257959094 0.76197044986595963 7.619596E-01 9.65606
18 48 33 6.58314 10.4495 3.8663558843966461 0.56688615674994225 5.668440E-01 9.36782
19 49 34 6.39056 10.0765 3.6859398357483033 0.64361047185104425 6.436013E-01 9.09629
20 50 35 6.09622 9.7315 3.6352816077321339 0.64965264971140801 6.495930E-01 8.84005
