j jp jbar dtheta discrete continuous Bmax(a) Bmax(l) appalpha
1 3 2 -2.42642 35.2644 37.690822002437145 176.27339010176976 1.762734E+02 32.4114
2 4 3 0.109503 24.0948 23.985296770167704 176.29324926339754 1.762932E+02 23.151
3 5 4 0.739839 18.4349 17.695060740214775 175.86703697571861 1.758670E+02 18.0063
4 6 5 0.903117 14.9632 14.060083242477251 175.36473937282645 1.753632E+02 14.7324
5 7 6 0.920907 12.6044 11.683493173693273 174.82533612799992 1.748250E+02 12.4659
6 8 7 0.888727 10.8934 10.004673492324152 174.25136698561653 1.742513E+02 10.8038
7 9 8 0.840078 9.5941 8.7540218725535670 173.63839548622934 1.736332E+02 9.53276
8 10 9 0.787451 8.5731 7.7856494391397897 172.97758366448181 1.729769E+02 8.52931
9 11 10 0.736294 7.7494 7.0131062184367217 172.26653153876089 1.722659E+02 7.717
10 12 11 0.688323 7.0706 6.3822772611598735 171.50388622484655 1.715024E+02 7.04595
11 13 12 0.644134 6.5014 5.8572659878309903 170.68797740072338 1.706781E+02 6.48228
12 14 13 0.603734 6.0173 5.4135660104179264 169.82077334186494 1.698196E+02 6.00211
13 15 14 0.567001 5.6004 5.0333992706830868 168.89330151816421 1.688852E+02 5.58817
14 16 15 0.533398 5.2377 4.7043017551637183 167.90125599567702 1.679011E+02 5.22764
15 17 16 0.502803 4.9191 4.4162972681469554 166.86615005217647 1.668637E+02 4.91082
16 18 17 0.475 4.6371 4.1621001467102667 165.78046429699495 1.657656E+02 4.6302
17 19 18 0.449407 4.3858 3.9363927687176621 164.62332085353637 1.646080E+02 4.37992
18 20 19 0.425802 4.1603 3.7344984644934280 163.42418792578525 1.634090E+02 4.15531
19 21 20 0.404493 3.9569 3.5524074007613309 162.15871685540347 1.621275E+02 3.95261
20 22 21 0.384166 3.7725 3.3883343119110796 160.85965237119481 1.608576E+02 3.76877
21 23 22 0.365996 3.6045 3.2385043223000372 159.46899649807614 1.594444E+02 3.60127
22 24 23 0.348682 3.4509 3.1022184213375765 157.99117703911702 1.579911E+02 3.44802
23 25 24 0.333379 3.3098 2.9764211923227917 156.42141950114353 1.564109E+02 3.30728
24 26 25 0.319337 3.1798 2.8604633472483787 155.07628239532372 1.550446E+02 3.17759
25 27 26 0.304824 3.0597 2.7548758412707266 153.91369590143236 1.538697E+02 3.05768
26 28 27 0.290258 2.9483 2.6580420909183395 152.00696119896151 1.519666E+02 2.94649
27 29 28 0.276348 2.8447 2.5683521835691008 150.25947544577937 1.502351E+02 2.8431
28 30 29 0.267709 2.7482 2.4804906591211457 148.31128532713080 1.483015E+02 2.74673
29 31 30 0.256506 2.6580 2.4014937372808052 147.01555720872886 1.470155E+02 2.65667
30 32 31 0.249814 2.5735 2.3236860654680811 144.71286576704753 1.446966E+02 2.57233
31 33 32 0.241328 2.4943 2.2529723178556438 142.74178107684557 1.426760E+02 2.49318
32 34 33 0.233643 2.4197 2.1860567196577216 141.10764637656382 1.411015E+02 2.41876
33 35 34 0.224793 2.3496 2.1248070645375967 139.46650232794732 1.394459E+02 2.34865
34 36 35 0.222311 2.2833 2.0609886094682262 136.82101653561352 1.367691E+02 2.28249
35 37 36 0.214399 2.2207 2.0063006511544632 134.44625247171470 1.344448E+02 2.21996
36 38 37 0.208705 2.1615 1.9527951394838154 132.91645441935631 1.328347E+02 2.16076
37 39 38 0.204878 2.1053 1.9004216718058382 130.53081958499521 1.305308E+02 2.10464
38 40 39 0.201868 2.0520 1.8501320091374900 127.71297477964060 1.276156E+02 2.05135
39 41 40 0.195099 2.0013 1.8062009321852199 124.09864770970376 1.240971E+02 2.0007
40 42 41 0.192005 1.9530 1.7609954839437618 122.40038373887428 1.223372E+02 1.95249
41 43 42 0.177584 1.9070 1.7294164513309649 120.90506324319838 1.208672E+02 1.90655
42 44 43 0.172204 1.8632 1.6909962022410752 119.16907334708542 1.191655E+02 1.86272
43 45 44 0.158481 1.8213 1.6628194169218937 116.98746941105725 1.169264E+02 1.82086
44 46 45 0.138204 1.7812 1.6429964264079187 116.03294668975067 1.159471E+02 1.78085
45 47 46 0.162357 1.7429 1.5805432655503475 112.43235868721476 1.124145E+02 1.74255
46 48 47 0.156575 1.7062 1.5496253819452963 115.58528276029612 1.154565E+02 1.70586
47 49 48 0.223555 1.6710 1.4474446059748720 118.02899498083157 1.178905E+02 1.67069
48 50 49 0.217991 1.6372 1.4192091886104736 120.57650154865024 1.205526E+02 1.63694
