#j=28 jp=32 wbin=2
#mean_theta cs_sum
-138 0.0051
-136 0.0075
-132 0.0132
-130 0.0163
-128 0.01
-126 0.0465
-124 0.0195
-122 0.0706
-120 0.0371
-118 0.0809
-116 0.1163
-114 0.0847
-112 0.1067
-110 0.1659
-108 0.1916
-106 0.1551
-104 0.3253
-102 0.2949
-100 0.359
-98 0.4915
-96 0.4496
-94 0.517
-92 0.67361
-90 0.6931
-88 0.679221
-86 0.909722
-84 1.08033
-82 1.48615
-80 1.51385
-78 1.34036
-76 1.60496
-74 2.24399
-72 2.43869
-70 2.62731
-68 2.80943
-66 3.82025
-64 3.44753
-62 4.18856
-60 4.83187
-58 5.9186
-56 6.10582
-54 6.74755
-52 7.77156
-50 8.66318
-48 10.8019
-46 11.4936
-44 14.7107
-42 16.5961
-40 20.5927
-38 17.8139
-36 32.9268
-34 38.375
-32 100.108
-30 77.5928
-28 56.6089
-26 135.983
-24 163.05
-22 143.737
-20 164.596
-18 244.507
-16 260.721
-14 345.765
-12 360.044
-10 409.38
-8 472.851
-6 559.312
-4 563.667
-2 587.858
0 621.528
2 587.858
4 563.667
6 559.312
8 472.851
10 409.381
12 360.045
14 345.765
16 260.722
18 244.507
20 164.596
22 143.737
24 163.05
26 135.984
28 56.6094
30 77.5932
32 100.109
34 38.3755
36 32.9274
38 17.8144
40 20.5932
42 16.5967
44 14.7113
46 11.4942
48 10.8025
50 8.66372
52 7.77211
54 6.74809
56 6.10637
58 5.91921
60 4.83244
62 4.18909
64 3.44804
66 3.8208
68 2.80994
70 2.62782
72 2.43924
74 2.24451
76 1.6054
78 1.34074
80 1.51434
82 1.48667
84 1.08078
86 0.910096
88 0.679569
90 0.693469
92 0.67397
94 0.517348
96 0.449882
98 0.491846
100 0.359291
102 0.295126
104 0.325588
106 0.155292
108 0.191766
110 0.166095
112 0.106801
114 0.0848626
116 0.116433
118 0.0810335
120 0.0371668
122 0.070701
124 0.0195679
126 0.0465673
128 0.0100336
130 0.0163679
132 0.0132342
136 0.00753421
138 0.0051342

