 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    5   1488.7300      4.9484    1.117194E+02
    6    151.3050      9.1372    1.341889E+01
    7    338.0113     12.3511    3.458936E+01
    8     81.0402     15.2241    9.398735E+00
    9    163.4041     17.9245    2.118052E+01
   10     51.6487     20.5239    7.399437E+00
   11     99.0607     23.0599    1.554351E+01
   12     36.5018     25.5549    6.225501E+00
   13     63.8969     28.0236    1.176965E+01
   14     27.7304     30.4758    5.486231E+00
   15     46.2163     32.9192    9.774102E+00
   16     23.6490     35.3592    5.324106E+00
   17     35.6017     37.8007    8.500780E+00
   18     21.5769     40.2474    5.446415E+00
   19     29.3767     42.7028    7.816055E+00
   20     19.5205     45.1698    5.460027E+00
   21     23.5378     47.6512    6.904851E+00
   22     17.0096     50.1499    5.221877E+00
   23     19.4495     52.6684    6.236290E+00
   24     14.5967     55.2094    4.879449E+00
   25     16.4361     57.7755    5.718590E+00
   26     13.1878     60.3697    4.768351E+00
   27     14.0929     62.9947    5.287898E+00
   28     11.5254     65.6537    4.481783E+00
   29     12.5172     68.3501    5.038244E+00
   30     11.0368     71.0874    4.592964E+00
   31     11.6420     73.8698    5.003664E+00
   32      9.6772     76.7015    4.291243E+00
   33     11.3134     79.5875    5.171160E+00
   34      9.2839     82.5334    4.370182E+00
   35     11.3732     85.5453    5.508851E+00
   36      9.2615     88.6306    4.612371E+00
   37     10.8307     91.7975    5.541633E+00
   38      8.5946     95.0558    4.514778E+00
   39      9.9195     98.4171    5.346097E+00
   40      8.6304    101.8954    4.769095E+00
   41      9.4340    105.5076    5.341878E+00
   42      7.6350    109.2748    4.427392E+00
   43      9.8148    113.2240    5.825332E+00
   44      7.6215    117.3902    4.627543E+00
   45      9.8488    121.8207    6.114271E+00
   46      7.4630    126.5819    4.734961E+00
   47      9.4105    131.7724    6.098967E+00
   48      6.0294    137.5502    3.989935E+00
   49      9.6042    144.1995    6.486589E+00
   50      4.8999    152.3429    3.376203E+00
   51     19.6638    164.1371    1.381735E+01
