 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   10    424.8434      5.8215    3.513359E+01
   11     40.0642     10.4331    3.628763E+00
   12    140.4709     13.8184    1.382932E+01
   13     34.8549     16.7416    3.705970E+00
   14     73.1598     19.4150    8.354968E+00
   15     27.3752     21.9326    3.341899E+00
   16     45.4404     24.3453    5.905143E+00
   17     22.4498     26.6840    3.094246E+00
   18     31.7656     28.9689    4.628424E+00
   19     19.2239     31.2144    2.952435E+00
   20     24.4918     33.4309    3.954384E+00
   21     17.1637     35.6262    2.906389E+00
   22     21.1389     37.8067    3.746012E+00
   23     15.2015     39.9774    2.813576E+00
   24     18.0711     42.1425    3.487024E+00
   25     13.3606     44.3056    2.683308E+00
   26     15.3573     46.4698    3.205273E+00
   27     12.1074     48.6379    2.622333E+00
   28     14.3434     50.8126    3.219595E+00
   29     11.2758     52.9961    2.619833E+00
   30     13.1318     55.1908    3.154485E+00
   31     10.6758     57.3989    2.648593E+00
   32     12.3507     59.6225    3.161398E+00
   33      9.9616     61.8639    2.628320E+00
   34     11.0746     64.1251    3.009203E+00
   35      9.0220     66.4086    2.522525E+00
   36     10.3220     68.7165    2.967297E+00
   37      8.4603     71.0514    2.498742E+00
   38      9.5084     73.4159    2.883185E+00
   39      7.9668     75.8128    2.478479E+00
   40      9.2660     78.2451    2.955641E+00
   41      7.4003     80.7161    2.418810E+00
   42      8.4503     83.2295    2.828560E+00
   43      6.8716     85.7893    2.354244E+00
   44      7.8774     88.4000    2.760878E+00
   45      6.1779     91.0666    2.213893E+00
   46      7.9116     93.7949    2.897488E+00
   47      6.0960     96.5915    2.280567E+00
   48      7.5908     99.4640    2.899570E+00
   49      6.0070    102.4215    2.341893E+00
   50      7.1871    105.4744    2.858574E+00
   51      5.8741    108.6357    2.382609E+00
   52      6.8035    111.9208    2.813170E+00
   53      5.6759    115.3492    2.391624E+00
   54      6.6384    118.9455    2.849471E+00
   55      3.9797    122.7419    1.739593E+00
   56      6.3029    126.7816    2.804744E+00
   57      4.1503    131.1257    1.879540E+00
   58      7.3262    135.8643    3.375506E+00
   59      4.0576    141.1424    1.901474E+00
   60      7.4573    147.2200    3.553377E+00
   61      3.3277    154.6673    1.611846E+00
   62     15.0623    165.4560    7.414393E+00
