 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
    2  17019.9570      6.0173    1.758523E+03
    3    225.7816     12.0638    3.265924E+01
    4   1090.1017     17.0956    2.027352E+02
    5     80.3132     21.8454    1.825573E+01
    6    278.7162     26.4863    7.487298E+01
    7     59.4375     31.0890    1.842347E+01
    8    131.3544     35.6918    4.614377E+01
    9     38.2679     40.3200    1.502477E+01
   10     82.2416     44.9930    3.568867E+01
   11     28.3325     49.7279    1.346580E+01
   12     53.6380     54.5411    2.770972E+01
   13     20.3904     59.4497    1.137651E+01
   14     42.1055     64.4724    2.523227E+01
   15     18.8923     69.6306    1.210225E+01
   16     34.5736     74.9494    2.357643E+01
   17     17.3053     80.4593    1.251603E+01
   18     30.1262     86.1985    2.303380E+01
   19     15.9742     92.2164    1.287370E+01
   20     26.1359     98.5790    2.214322E+01
   21     14.0897    105.3787    1.251958E+01
   22     24.0845    112.7522    2.239596E+01
   23     13.4803    120.9186    1.309233E+01
   24     24.5564    130.2721    2.486453E+01
   25     13.3207    141.6784    1.403837E+01
   26     35.8713    158.1546    3.928643E+01
