 # lam  B-lambda(j,jp)  angle     normed B-lam*(2*lam+1)
   11    319.0483      5.8358    2.578128E+01
   12     38.8403     10.4289    3.411480E+00
   13    122.3813     13.7845    1.160911E+01
   14     33.3105     16.6701    3.393903E+00
   15     70.7596     19.3000    7.706680E+00
   16     23.9025     21.7692    2.771262E+00
   17     47.4734     24.1294    5.837658E+00
   18     19.5633     26.4119    2.543104E+00
   19     34.6315     28.6376    4.745218E+00
   20     16.2843     30.8208    2.345704E+00
   21     26.6264     32.9722    4.022547E+00
   22     13.4403     35.1000    2.124916E+00
   23     21.4717     37.2103    3.545558E+00
   24     11.8447     39.3084    2.039109E+00
   25     17.7384     41.3985    3.178373E+00
   26     10.4032     43.4841    1.937149E+00
   27     15.3869     45.5684    2.973268E+00
   28      9.6758     47.6542    1.937680E+00
   29     13.0815     49.7438    2.711626E+00
   30      8.7327     51.8397    1.871538E+00
   31     11.7345     53.9439    2.597320E+00
   32      8.1214     56.0586    1.854661E+00
   33     10.4360     58.1857    2.456570E+00
   34      7.4915     60.3272    1.816093E+00
   35      9.3473     62.4850    2.331658E+00
   36      6.8364     64.6612    1.753358E+00
   37      8.2616     66.8578    2.176936E+00
   38      6.1768     69.0769    1.670993E+00
   39      7.6133     71.3208    2.113101E+00
   40      5.7308     73.5918    1.630874E+00
   41      7.2496     75.8924    2.114036E+00
   42      5.4084     78.2252    1.615132E+00
   43      6.7888     80.5933    2.075069E+00
   44      5.1217     82.9998    1.601491E+00
   45      6.2261     85.4483    1.990571E+00
   46      4.9858     87.9426    1.629064E+00
   47      5.9039     90.4872    1.970529E+00
   48      4.6543     93.0869    1.586158E+00
   49      5.9681     95.7474    2.075829E+00
   50      4.8273     98.4751    1.712955E+00
   51      5.7061    101.2776    2.064890E+00
   52      4.7603    104.1635    1.756078E+00
   53      5.7159    107.1432    2.148764E+00
   54      5.0706    110.2292    1.941807E+00
   55      5.6959    113.4368    2.221292E+00
   56      4.1898    116.7850    1.663382E+00
   57      5.8817    120.2978    2.376408E+00
   58      4.8843    124.0067    2.007745E+00
   59      5.9867    127.9541    2.502965E+00
   60      3.5811    132.1995    1.522377E+00
   61      4.8310    136.8314    2.087673E+00
   62      2.3018    141.9914    1.010876E+00
   63      4.8492    147.9340    2.163685E+00
   64      2.2439    155.2168    1.016982E+00
   65     10.3711    165.7682    4.773274E+00
